Date,Year,MonthNumber,Month,YearMonth,Quarter,WeekDayNum,WeekDayEngShort,WeekDayRuShort,WorkDayEng,WorkDayRu,WeekNumber,KZT
2016-01-01 00:00:00.000,2016,1,"January","2016-01","Qtr 1",5,"Fri","ПТ","workday","будний",1,112
2016-01-08 00:00:00.000,2016,1,"January","2016-01","Qtr 1",5,"Fri","ПТ","workday","будний",2,107
2016-01-15 00:00:00.000,2016,1,"January","2016-01","Qtr 1",5,"Fri","ПТ","workday","будний",3,116
2016-01-22 00:00:00.000,2016,1,"January","2016-01","Qtr 1",5,"Fri","ПТ","workday","будний",4,101
2016-01-29 00:00:00.000,2016,1,"January","2016-01","Qtr 1",5,"Fri","ПТ","workday","будний",5,98
2016-02-05 00:00:00.000,2016,2,"February","2016-02","Qtr 1",5,"Fri","ПТ","workday","будний",6,87
2016-02-12 00:00:00.000,2016,2,"February","2016-02","Qtr 1",5,"Fri","ПТ","workday","будний",7,109
2016-02-19 00:00:00.000,2016,2,"February","2016-02","Qtr 1",5,"Fri","ПТ","workday","будний",8,120
2016-02-26 00:00:00.000,2016,2,"February","2016-02","Qtr 1",5,"Fri","ПТ","workday","будний",9,99
2016-03-04 00:00:00.000,2016,3,"March","2016-03","Qtr 1",5,"Fri","ПТ","workday","будний",10,103
2016-03-11 00:00:00.000,2016,3,"March","2016-03","Qtr 1",5,"Fri","ПТ","workday","будний",11,119
2016-03-18 00:00:00.000,2016,3,"March","2016-03","Qtr 1",5,"Fri","ПТ","workday","будний",12,82
2016-03-25 00:00:00.000,2016,3,"March","2016-03","Qtr 1",5,"Fri","ПТ","workday","будний",13,107
2016-04-01 00:00:00.000,2016,4,"April","2016-04","Qtr 2",5,"Fri","ПТ","workday","будний",14,114
2016-04-08 00:00:00.000,2016,4,"April","2016-04","Qtr 2",5,"Fri","ПТ","workday","будний",15,120
2016-04-15 00:00:00.000,2016,4,"April","2016-04","Qtr 2",5,"Fri","ПТ","workday","будний",16,115
2016-04-22 00:00:00.000,2016,4,"April","2016-04","Qtr 2",5,"Fri","ПТ","workday","будний",17,115
2016-04-29 00:00:00.000,2016,4,"April","2016-04","Qtr 2",5,"Fri","ПТ","workday","будний",18,103
2016-05-06 00:00:00.000,2016,5,"May","2016-05","Qtr 2",5,"Fri","ПТ","workday","будний",19,111
2016-05-13 00:00:00.000,2016,5,"May","2016-05","Qtr 2",5,"Fri","ПТ","workday","будний",20,98
2016-05-20 00:00:00.000,2016,5,"May","2016-05","Qtr 2",5,"Fri","ПТ","workday","будний",21,115
2016-05-27 00:00:00.000,2016,5,"May","2016-05","Qtr 2",5,"Fri","ПТ","workday","будний",22,92
2016-06-03 00:00:00.000,2016,6,"June","2016-06","Qtr 2",5,"Fri","ПТ","workday","будний",23,87
2016-06-10 00:00:00.000,2016,6,"June","2016-06","Qtr 2",5,"Fri","ПТ","workday","будний",24,101
2016-06-17 00:00:00.000,2016,6,"June","2016-06","Qtr 2",5,"Fri","ПТ","workday","будний",25,120
2016-06-24 00:00:00.000,2016,6,"June","2016-06","Qtr 2",5,"Fri","ПТ","workday","будний",26,109
2016-07-01 00:00:00.000,2016,7,"July","2016-07","Qtr 3",5,"Fri","ПТ","workday","будний",27,91
2016-07-08 00:00:00.000,2016,7,"July","2016-07","Qtr 3",5,"Fri","ПТ","workday","будний",28,119
2016-07-15 00:00:00.000,2016,7,"July","2016-07","Qtr 3",5,"Fri","ПТ","workday","будний",29,98
2016-07-22 00:00:00.000,2016,7,"July","2016-07","Qtr 3",5,"Fri","ПТ","workday","будний",30,120
2016-07-29 00:00:00.000,2016,7,"July","2016-07","Qtr 3",5,"Fri","ПТ","workday","будний",31,116
2016-08-05 00:00:00.000,2016,8,"August","2016-08","Qtr 3",5,"Fri","ПТ","workday","будний",32,112
2016-08-12 00:00:00.000,2016,8,"August","2016-08","Qtr 3",5,"Fri","ПТ","workday","будний",33,98
2016-08-19 00:00:00.000,2016,8,"August","2016-08","Qtr 3",5,"Fri","ПТ","workday","будний",34,116
2016-08-26 00:00:00.000,2016,8,"August","2016-08","Qtr 3",5,"Fri","ПТ","workday","будний",35,103
2016-09-02 00:00:00.000,2016,9,"September","2016-09","Qtr 3",5,"Fri","ПТ","workday","будний",36,87
2016-09-09 00:00:00.000,2016,9,"September","2016-09","Qtr 3",5,"Fri","ПТ","workday","будний",37,108
2016-09-16 00:00:00.000,2016,9,"September","2016-09","Qtr 3",5,"Fri","ПТ","workday","будний",38,104
2016-09-23 00:00:00.000,2016,9,"September","2016-09","Qtr 3",5,"Fri","ПТ","workday","будний",39,108
2016-09-30 00:00:00.000,2016,9,"September","2016-09","Qtr 3",5,"Fri","ПТ","workday","будний",40,110
2016-10-07 00:00:00.000,2016,10,"October","2016-10","Qtr 4",5,"Fri","ПТ","workday","будний",41,114
2016-10-14 00:00:00.000,2016,10,"October","2016-10","Qtr 4",5,"Fri","ПТ","workday","будний",42,84
2016-10-21 00:00:00.000,2016,10,"October","2016-10","Qtr 4",5,"Fri","ПТ","workday","будний",43,108
2016-10-28 00:00:00.000,2016,10,"October","2016-10","Qtr 4",5,"Fri","ПТ","workday","будний",44,83
2016-11-04 00:00:00.000,2016,11,"November","2016-11","Qtr 4",5,"Fri","ПТ","workday","будний",45,114
2016-11-11 00:00:00.000,2016,11,"November","2016-11","Qtr 4",5,"Fri","ПТ","workday","будний",46,81
2016-11-18 00:00:00.000,2016,11,"November","2016-11","Qtr 4",5,"Fri","ПТ","workday","будний",47,111
2016-11-25 00:00:00.000,2016,11,"November","2016-11","Qtr 4",5,"Fri","ПТ","workday","будний",48,107
2016-12-02 00:00:00.000,2016,12,"December","2016-12","Qtr 4",5,"Fri","ПТ","workday","будний",49,97
2016-12-09 00:00:00.000,2016,12,"December","2016-12","Qtr 4",5,"Fri","ПТ","workday","будний",50,102
2016-12-16 00:00:00.000,2016,12,"December","2016-12","Qtr 4",5,"Fri","ПТ","workday","будний",51,92
2016-12-23 00:00:00.000,2016,12,"December","2016-12","Qtr 4",5,"Fri","ПТ","workday","будний",52,107
2016-12-30 00:00:00.000,2016,12,"December","2016-12","Qtr 4",5,"Fri","ПТ","workday","будний",53,112
2017-01-06 00:00:00.000,2017,1,"January","2017-01","Qtr 1",5,"Fri","ПТ","workday","будний",2,120
2017-01-13 00:00:00.000,2017,1,"January","2017-01","Qtr 1",5,"Fri","ПТ","workday","будний",3,113
2017-01-20 00:00:00.000,2017,1,"January","2017-01","Qtr 1",5,"Fri","ПТ","workday","будний",4,100
2017-01-27 00:00:00.000,2017,1,"January","2017-01","Qtr 1",5,"Fri","ПТ","workday","будний",5,105
2017-02-03 00:00:00.000,2017,2,"February","2017-02","Qtr 1",5,"Fri","ПТ","workday","будний",6,91
2017-02-10 00:00:00.000,2017,2,"February","2017-02","Qtr 1",5,"Fri","ПТ","workday","будний",7,117
2017-02-17 00:00:00.000,2017,2,"February","2017-02","Qtr 1",5,"Fri","ПТ","workday","будний",8,81
2017-02-24 00:00:00.000,2017,2,"February","2017-02","Qtr 1",5,"Fri","ПТ","workday","будний",9,108
2017-03-03 00:00:00.000,2017,3,"March","2017-03","Qtr 1",5,"Fri","ПТ","workday","будний",10,107
2017-03-10 00:00:00.000,2017,3,"March","2017-03","Qtr 1",5,"Fri","ПТ","workday","будний",11,104
2017-03-17 00:00:00.000,2017,3,"March","2017-03","Qtr 1",5,"Fri","ПТ","workday","будний",12,117
2017-03-24 00:00:00.000,2017,3,"March","2017-03","Qtr 1",5,"Fri","ПТ","workday","будний",13,99
2017-03-31 00:00:00.000,2017,3,"March","2017-03","Qtr 1",5,"Fri","ПТ","workday","будний",14,113
2017-04-07 00:00:00.000,2017,4,"April","2017-04","Qtr 2",5,"Fri","ПТ","workday","будний",15,107
2017-04-14 00:00:00.000,2017,4,"April","2017-04","Qtr 2",5,"Fri","ПТ","workday","будний",16,101
2017-04-21 00:00:00.000,2017,4,"April","2017-04","Qtr 2",5,"Fri","ПТ","workday","будний",17,119
2017-04-28 00:00:00.000,2017,4,"April","2017-04","Qtr 2",5,"Fri","ПТ","workday","будний",18,115
2017-05-05 00:00:00.000,2017,5,"May","2017-05","Qtr 2",5,"Fri","ПТ","workday","будний",19,111
2017-05-12 00:00:00.000,2017,5,"May","2017-05","Qtr 2",5,"Fri","ПТ","workday","будний",20,83
2017-05-19 00:00:00.000,2017,5,"May","2017-05","Qtr 2",5,"Fri","ПТ","workday","будний",21,104
2017-05-26 00:00:00.000,2017,5,"May","2017-05","Qtr 2",5,"Fri","ПТ","workday","будний",22,88
2017-06-02 00:00:00.000,2017,6,"June","2017-06","Qtr 2",5,"Fri","ПТ","workday","будний",23,88
2017-06-09 00:00:00.000,2017,6,"June","2017-06","Qtr 2",5,"Fri","ПТ","workday","будний",24,94
2017-06-16 00:00:00.000,2017,6,"June","2017-06","Qtr 2",5,"Fri","ПТ","workday","будний",25,116
2017-06-23 00:00:00.000,2017,6,"June","2017-06","Qtr 2",5,"Fri","ПТ","workday","будний",26,104
2017-06-30 00:00:00.000,2017,6,"June","2017-06","Qtr 2",5,"Fri","ПТ","workday","будний",27,88
2017-07-07 00:00:00.000,2017,7,"July","2017-07","Qtr 3",5,"Fri","ПТ","workday","будний",28,80
2017-07-14 00:00:00.000,2017,7,"July","2017-07","Qtr 3",5,"Fri","ПТ","workday","будний",29,113
2017-07-21 00:00:00.000,2017,7,"July","2017-07","Qtr 3",5,"Fri","ПТ","workday","будний",30,111
2017-07-28 00:00:00.000,2017,7,"July","2017-07","Qtr 3",5,"Fri","ПТ","workday","будний",31,80
2017-08-04 00:00:00.000,2017,8,"August","2017-08","Qtr 3",5,"Fri","ПТ","workday","будний",32,94
2017-08-11 00:00:00.000,2017,8,"August","2017-08","Qtr 3",5,"Fri","ПТ","workday","будний",33,91
2017-08-18 00:00:00.000,2017,8,"August","2017-08","Qtr 3",5,"Fri","ПТ","workday","будний",34,80
2017-08-25 00:00:00.000,2017,8,"August","2017-08","Qtr 3",5,"Fri","ПТ","workday","будний",35,115
2017-09-01 00:00:00.000,2017,9,"September","2017-09","Qtr 3",5,"Fri","ПТ","workday","будний",36,91
2017-09-08 00:00:00.000,2017,9,"September","2017-09","Qtr 3",5,"Fri","ПТ","workday","будний",37,89
2017-09-15 00:00:00.000,2017,9,"September","2017-09","Qtr 3",5,"Fri","ПТ","workday","будний",38,120
2017-09-22 00:00:00.000,2017,9,"September","2017-09","Qtr 3",5,"Fri","ПТ","workday","будний",39,99
2017-09-29 00:00:00.000,2017,9,"September","2017-09","Qtr 3",5,"Fri","ПТ","workday","будний",40,97
2017-10-06 00:00:00.000,2017,10,"October","2017-10","Qtr 4",5,"Fri","ПТ","workday","будний",41,105
2017-10-13 00:00:00.000,2017,10,"October","2017-10","Qtr 4",5,"Fri","ПТ","workday","будний",42,99
2017-10-20 00:00:00.000,2017,10,"October","2017-10","Qtr 4",5,"Fri","ПТ","workday","будний",43,91
2017-10-27 00:00:00.000,2017,10,"October","2017-10","Qtr 4",5,"Fri","ПТ","workday","будний",44,95
2017-11-03 00:00:00.000,2017,11,"November","2017-11","Qtr 4",5,"Fri","ПТ","workday","будний",45,112
2017-11-10 00:00:00.000,2017,11,"November","2017-11","Qtr 4",5,"Fri","ПТ","workday","будний",46,106
2017-11-17 00:00:00.000,2017,11,"November","2017-11","Qtr 4",5,"Fri","ПТ","workday","будний",47,84
2017-11-24 00:00:00.000,2017,11,"November","2017-11","Qtr 4",5,"Fri","ПТ","workday","будний",48,100
2017-12-01 00:00:00.000,2017,12,"December","2017-12","Qtr 4",5,"Fri","ПТ","workday","будний",49,106
2017-12-08 00:00:00.000,2017,12,"December","2017-12","Qtr 4",5,"Fri","ПТ","workday","будний",50,115
2017-12-15 00:00:00.000,2017,12,"December","2017-12","Qtr 4",5,"Fri","ПТ","workday","будний",51,83
2017-12-22 00:00:00.000,2017,12,"December","2017-12","Qtr 4",5,"Fri","ПТ","workday","будний",52,120
2017-12-29 00:00:00.000,2017,12,"December","2017-12","Qtr 4",5,"Fri","ПТ","workday","будний",53,116
2018-01-05 00:00:00.000,2018,1,"January","2018-01","Qtr 1",5,"Fri","ПТ","workday","будний",1,96
2018-01-12 00:00:00.000,2018,1,"January","2018-01","Qtr 1",5,"Fri","ПТ","workday","будний",2,108
2018-01-19 00:00:00.000,2018,1,"January","2018-01","Qtr 1",5,"Fri","ПТ","workday","будний",3,84
2018-01-26 00:00:00.000,2018,1,"January","2018-01","Qtr 1",5,"Fri","ПТ","workday","будний",4,104
2018-02-02 00:00:00.000,2018,2,"February","2018-02","Qtr 1",5,"Fri","ПТ","workday","будний",5,112
2018-02-09 00:00:00.000,2018,2,"February","2018-02","Qtr 1",5,"Fri","ПТ","workday","будний",6,110
2018-02-16 00:00:00.000,2018,2,"February","2018-02","Qtr 1",5,"Fri","ПТ","workday","будний",7,84
2018-02-23 00:00:00.000,2018,2,"February","2018-02","Qtr 1",5,"Fri","ПТ","workday","будний",8,99
2018-03-02 00:00:00.000,2018,3,"March","2018-03","Qtr 1",5,"Fri","ПТ","workday","будний",9,80
2018-03-09 00:00:00.000,2018,3,"March","2018-03","Qtr 1",5,"Fri","ПТ","workday","будний",10,86
2018-03-16 00:00:00.000,2018,3,"March","2018-03","Qtr 1",5,"Fri","ПТ","workday","будний",11,108
2018-03-23 00:00:00.000,2018,3,"March","2018-03","Qtr 1",5,"Fri","ПТ","workday","будний",12,103
2018-03-30 00:00:00.000,2018,3,"March","2018-03","Qtr 1",5,"Fri","ПТ","workday","будний",13,83
2018-04-06 00:00:00.000,2018,4,"April","2018-04","Qtr 2",5,"Fri","ПТ","workday","будний",14,102
2018-04-13 00:00:00.000,2018,4,"April","2018-04","Qtr 2",5,"Fri","ПТ","workday","будний",15,89
2018-04-20 00:00:00.000,2018,4,"April","2018-04","Qtr 2",5,"Fri","ПТ","workday","будний",16,110
2018-04-27 00:00:00.000,2018,4,"April","2018-04","Qtr 2",5,"Fri","ПТ","workday","будний",17,103
2018-05-04 00:00:00.000,2018,5,"May","2018-05","Qtr 2",5,"Fri","ПТ","workday","будний",18,107
2018-05-11 00:00:00.000,2018,5,"May","2018-05","Qtr 2",5,"Fri","ПТ","workday","будний",19,105
2018-05-18 00:00:00.000,2018,5,"May","2018-05","Qtr 2",5,"Fri","ПТ","workday","будний",20,84
2018-05-25 00:00:00.000,2018,5,"May","2018-05","Qtr 2",5,"Fri","ПТ","workday","будний",21,104
2018-06-01 00:00:00.000,2018,6,"June","2018-06","Qtr 2",5,"Fri","ПТ","workday","будний",22,116
2018-06-08 00:00:00.000,2018,6,"June","2018-06","Qtr 2",5,"Fri","ПТ","workday","будний",23,120
2018-06-15 00:00:00.000,2018,6,"June","2018-06","Qtr 2",5,"Fri","ПТ","workday","будний",24,96
2018-06-22 00:00:00.000,2018,6,"June","2018-06","Qtr 2",5,"Fri","ПТ","workday","будний",25,85
2018-06-29 00:00:00.000,2018,6,"June","2018-06","Qtr 2",5,"Fri","ПТ","workday","будний",26,81
2018-07-06 00:00:00.000,2018,7,"July","2018-07","Qtr 3",5,"Fri","ПТ","workday","будний",27,120
2018-07-13 00:00:00.000,2018,7,"July","2018-07","Qtr 3",5,"Fri","ПТ","workday","будний",28,94
2018-07-20 00:00:00.000,2018,7,"July","2018-07","Qtr 3",5,"Fri","ПТ","workday","будний",29,119
2018-07-27 00:00:00.000,2018,7,"July","2018-07","Qtr 3",5,"Fri","ПТ","workday","будний",30,90
