Index,Letter,Value
1,"M",1
1,"i",2
1,"c",3
1,"r",4
1,"o",5
1,"s",6
1,"o",7
1,"f",8
1,"t",9
2,"B",1
2,"a",2
2,"r",3
2,"c",4
2,"l",5
2,"a",6
2,"y",7
2,"s",8
2," ",9
2,"(",10
2,"a",11
2,"B",12
2,"c",13
2,")",14
3,"c",1
3,"a",2
3,"s",3
3,"e",4
3,"y",5
3,"'",6
3,"s",7
4,"e",1
4,"r",2
4,"n",3
4,"s",4
4,"t",5
4," ",6
4,"a",7
4,"n",8
4,"d",9
4," ",10
4,"y",11
4,"o",12
4,"u",13
4,"n",14
4,"g",15
5,"a",1
5,"s",2
5,"t",3
5,"r",4
5,"a",5
5,"z",6
5,"e",7
5,"n",8
5,"c",9
5,"a",10
