Omzetten Ridder in €,Jaar-Maand,Waarde
Transport service,2020 - 9,4069
Transport service,2020 - 6,2425
Transport service,2020 - 2,4350
Service uren,2020 - 11,0
Service onderdelen,2020 - 10,21695
Transport service,2020 - 8,1460
Transport verhuur,2020 - 10,28645
Verhuur,2020 - 7,64839
Onderdelen,2020 - 1,33333
Onderdelen,2020 - 11,0
Transport verhuur,2020 - 5,18811
Service onderdelen,2020 - 7,13387
Machines,2020 - 7,448510
Onderdelen,2020 - 5,36719
Service onderdelen,2020 - 8,11417
Service onderdelen,2020 - 3,22469
Machines,2020 - 1,523580
Machines,2020 - 11,0
Transport verkoop,2020 - 6,13601
Service uren,2020 - 2,18405
Verhuur,2020 - 5,67822
Transport verhuur,2020 - 8,28865
Machines,2020 - 4,399034
Transport verhuur,2020 - 9,27063
Service uren,2020 - 5,13663
Onderdelen,2020 - 10,95287
Verhuur,2020 - 4,63812
Onderdelen,2020 - 12,0
Verhuur,2020 - 10,134462
Transport verkoop,2020 - 8,5112
Service onderdelen,2020 - 5,12854
Transport service,2020 - 1,3180
Transport verhuur,2020 - 11,0
Onderdelen,2020 - 6,44162
Verhuur,2020 - 9,82174
Transport verkoop,2020 - 2,9436
Service onderdelen,2020 - 12,0
Machines,2020 - 5,635185
Verhuur,2020 - 12,0
Service onderdelen,2020 - 11,0
Onderdelen,2020 - 8,29691
Service uren,2020 - 8,10760
Service onderdelen,2020 - 4,12413
Machines,2020 - 8,174329
Transport service,2020 - 7,1855
Service onderdelen,2020 - 2,20341
Service uren,2020 - 6,19883
Machines,2020 - 2,567869
Service onderdelen,2020 - 1,21788
Onderdelen,2020 - 4,29496
Machines,2020 - 6,667272
Verhuur,2020 - 3,102882
Onderdelen,2020 - 9,83248
Transport service,2020 - 4,3615
Onderdelen,2020 - 7,47670
Transport verhuur,2020 - 3,26066
Verhuur,2020 - 1,76328
Service uren,2020 - 1,17044
Transport verkoop,2020 - 9,11595
Service uren,2020 - 12,0
Transport verkoop,2020 - 7,10970
Verhuur,2020 - 8,111436
Transport verkoop,2020 - 3,11742
Transport verhuur,2020 - 6,29026
Verhuur,2020 - 11,0
Transport verhuur,2020 - 7,18232
Transport verhuur,2020 - 2,22019
Service uren,2020 - 10,16648
Transport service,2020 - 5,1170
Verhuur,2020 - 6,90170
Transport verkoop,2020 - 11,0
Transport verkoop,2020 - 1,5669
Transport service,2020 - 12,0
Transport verkoop,2020 - 10,14582
Service onderdelen,2020 - 9,18466
Service uren,2020 - 7,12950
Transport verkoop,2020 - 12,0
Transport verhuur,2020 - 4,20988
Transport service,2020 - 10,4912
Verhuur,2020 - 2,128199
Service onderdelen,2020 - 6,19560
Onderdelen,2020 - 2,35354
Transport verkoop,2020 - 5,7855
Machines,2020 - 10,536989
Onderdelen,2020 - 3,51046
Machines,2020 - 12,0
Service uren,2020 - 4,11025
Transport service,2020 - 3,6475
Service uren,2020 - 3,19607
Transport service,2020 - 11,0
Machines,2020 - 9,476230
Transport verhuur,2020 - 1,26763
Transport verhuur,2020 - 12,0
Machines,2020 - 3,570103
Service uren,2020 - 9,17017
Transport verkoop,2020 - 4,8299
