CodigoVenda,DataVenda,Quantidade,ValorUnitario,CodigoCliente,CodigoProduto,CodigoVendedor
"10","08/05/2010 00:00",30000,0.34,"5","1","2"
"13","04/06/2021 00:00",4200,0.34,"5","1","4"
"3","01/02/2010 00:00",4200,0.34,"5","1","4"
"12","02/06/2021 00:00",730,2,"2","2","5"
"14","04/06/2021 00:00",250,7,"3","1","2"
"15","05/06/2021 00:00",4500,0.34,"4","1","1"
"16","05/06/2021 00:00",11200,0.34,"5","1","3"
"4","02/02/2010 00:00",250,7,"3","1","2"
"5","03/02/2010 00:00",4500,0.34,"4","1","1"
"6","04/03/2010 00:00",11200,0.34,"5","1","3"
"11","01/06/2021 00:00",4000,0.34,"1","1","2"
"1","01/02/2010 00:00",4000,0.34,"1","1","2"
"18","07/06/2021 00:00",12000,0.34,"7","1","2"
"8","06/03/2010 00:00",12000,0.34,"7","1","2"
"17","06/06/2021 00:00",12500,0.34,"6","1","2"
"7","05/03/2010 00:00",12500,0.34,"6","1","2"
"19","07/06/2021 00:00",17500,0.34,"8","1","3"
"9","07/04/2010 00:00",17500,0.34,"8","1","3"
