DateKey,Apps,Sales,DurationGroup
20170508,1,0,<90days
20180326,1,0,>180days
20171204,1,0,<180Days
20161107,1,0,>180days
20170320,1,1,<180Days
20160523,1,1,<180Days
20160718,1,0,<90days
20180108,1,0,<180Days
20170109,1,1,<180Days
20171113,1,0,>180days
20170814,1,0,>180days
20180416,1,0,>180days
20170814,1,0,>180days
20160404,1,1,<90days
20160627,1,0,<180Days
20160919,1,0,>180days
20170130,1,0,>180days
20180409,1,0,<180Days
20160502,1,1,<90days
20160516,1,1,<90days
20170717,1,0,>180days
20180129,1,0,>180days
20160606,1,1,<90days
20160905,1,0,<90days
20171113,1,0,>180days
20160418,1,0,<90days
20171204,1,0,<90days
20180122,1,0,>180days
20170828,1,0,<180Days
20180611,1,0,<180Days
20171127,1,0,>180days
20160425,1,1,<90days
20170522,1,1,<180Days
20180219,1,0,<180Days
20160704,1,0,<90days
20161121,1,0,>180days
20170724,1,1,<180Days
20170206,1,1,<90days
20171127,1,0,<180Days
20170417,1,0,<180Days
20180319,1,0,>180days
20161003,1,0,>180days
20160404,1,1,>180days
20161212,1,0,<90days
20160718,1,0,<90days
20180319,1,0,<90days
20161107,1,0,>180days
20160404,1,0,>180days
20160418,1,1,>180days
20180604,1,0,>180days
20170522,1,0,<180Days
20171009,1,0,>180days
20160919,1,0,<90days
20170109,1,1,>180days
20160711,1,0,<90days
20170424,1,0,<180Days
20171204,1,0,>180days
20161024,1,0,<90days
20160418,1,1,<90days
20160905,1,0,<90days
20160530,1,0,<180Days
20161010,1,0,<180Days
20170403,1,1,<180Days
20160509,1,0,<90days
20180326,1,0,<90days
20161219,1,0,>180days
20160606,1,0,<90days
20161114,1,1,<180Days
20160411,1,1,>180days
20170515,1,0,<90days
20161003,1,0,<90days
20161003,1,0,<90days
20170807,1,1,<180Days
20161114,1,0,<180Days
20170206,1,0,>180days
20170807,1,0,>180days
20171225,1,0,<90days
20170116,1,0,<90days
20160711,1,1,>180days
20160620,1,0,<180Days
20171009,1,0,<90days
20170703,1,0,<90days
20170130,1,0,<180Days
20160502,1,0,>180days
20160704,1,0,<90days
20171016,1,0,<180Days
20170320,1,0,>180days
20161128,1,1,>180days
20180115,1,0,<180Days
20160620,1,0,>180days
20161107,1,0,>180days
20160926,1,0,>180days
20180226,1,0,<90days
20161024,1,0,<90days
20161121,1,0,>180days
20161017,1,1,<180Days
20170130,1,0,>180days
20160801,1,1,<90days
20170605,1,0,<90days
20171127,1,0,<180Days
