State,Suburb,variable,value
 VIC,Altona,Postcode,3018
 QLD,Maroochydore,Postcode,4558
 WA,Joondalup,Postcode,6027
 NSW,Nowra,Postcode,2541
 VIC,Sunbury,Postcode,3429
 VIC,Werribee,Postcode,3030
 VIC,Bendigo,Postcode,3550
 QLD,Noosaville,Postcode,4566
 NSW,Chatswood,Postcode,2067
 ACT,Belconnen,Postcode,2617
 QLD,Burleigh Waters,Postcode,4220
 VIC,Mildura,Postcode,3500
 QLD,Toombul,Postcode,4012
 NSW,Wagga Wagga,Postcode,2650
 QLD,Rockhampton,Postcode,4700
 NSW,Artarmon,Postcode,2064
 NSW,Rydalmere,Postcode,2116
 NSW,Dural,Postcode,2158
 WA,Esperance,Postcode,6450
 VIC,Hastings,Postcode,3915
 QLD,Yeppoon,Postcode,4703
 VIC,Epping,Postcode,3076
 VIC,Croydon,Postcode,3136
 NSW,Lithgow,Postcode,2790
 QLD,Mackay,Postcode,4740
 QLD,Caloundra,Postcode,4551
 NSW,Castle Hill,Postcode,2154
 VIC,Shepparton,Postcode,3630
 NSW,Dubbo,Postcode,2830
 VIC,Chadstone,Postcode,3148
 WA,Inglewood,Postcode,6052
 QLD,Atherton,Postcode,4883
 NT,Darwin,Postcode,800
 WA,Bussleton,Postcode,6280
 NSW,Ashfield,Postcode,2131
 QLD,Southport,Postcode,4215
 VIC,Dandenong,Postcode,3175
 QLD,Gympie,Postcode,4570
 NSW,Mascot,Postcode,2020
 VIC,Frankston,Postcode,3199
 QLD,Gladstone,Postcode,4680
 NSW,Bathurst,Postcode,2795
 SA,Prospect,Postcode,5082
 NT,Alice Springs,Postcode,870
 NSW,Orange,Postcode,2800
 VIC,Scoresby,Postcode,3179
 NSW,Ulladulla,Postcode,2539
 SA,Noarlunga,Postcode,5168
 NSW,Lidcombe,Postcode,2141
 NSW,Tweed Heads,Postcode,2485
 NSW,Armidale,Postcode,2350
 NSW,Narrabeen,Postcode,2101
 QLD,Ipswich,Postcode,4305
 NSW,Campbelltown,Postcode,2560
 VIC,Mornington,Postcode,3931
 NSW,Ballina,Postcode,2478
 VIC,Ringwood,Postcode,3134
