Brand,Month,Seasonality Factor,Tot Ret $ Annual,Tot Qty Annual,$ Fcast Monthly Brand,Quantity Fcast Monthly Brand,Index
"BuildNow","January",0.02,25000,5000,"500","100",1
"BuildNow","February",0.04,25000,5000,"1000","200",2
"BuildNow","March",0.05,25000,5000,"1250","250",3
"BuildNow","April",0.05,25000,5000,"1250","250",4
"BuildNow","May",0.05,25000,5000,"1250","250",5
"BuildNow","June",0.03,25000,5000,"750","150",6
"BuildNow","July",0.04,25000,5000,"1000","200",7
"BuildNow","August",0.06,25000,5000,"1500","300",8
"BuildNow","September",0.1,25000,5000,"2500","500",9
"BuildNow","October",0.12,25000,5000,"3000","600",10
"BuildNow","November",0.2,25000,5000,"5000","1000",11
"BuildNow","December",0.24,25000,5000,"6000","1200",12
"LookSharp","January",0.02,1200000,180000,"24000","3600",13
"LookSharp","February",0.02,1200000,180000,"24000","3600",14
"LookSharp","March",0.03,1200000,180000,"36000","5400",15
"LookSharp","April",0.02,1200000,180000,"24000","3600",16
"LookSharp","May",0.02,1200000,180000,"24000","3600",17
"LookSharp","June",0.03,1200000,180000,"36000","5400",18
"LookSharp","July",0.04,1200000,180000,"48000","7200",19
"LookSharp","August",0.03,1200000,180000,"36000","5400",20
"LookSharp","September",0.1,1200000,180000,"120000","18000",21
"LookSharp","October",0.12,1200000,180000,"144000","21600",22
"LookSharp","November",0.24,1200000,180000,"288000","43200",23
"LookSharp","December",0.33,1200000,180000,"396000","59400",24
"Newbi","January",0.05,40000,20000,"2000","1000",25
"Newbi","February",0.05,40000,20000,"2000","1000",26
"Newbi","March",0.1,40000,20000,"4000","2000",27
"Newbi","April",0.15,40000,20000,"6000","3000",28
"Newbi","May",0.17,40000,20000,"6800","3400",29
"Newbi","June",0.17,40000,20000,"6800","3400",30
"Newbi","July",0.22,40000,20000,"8800","4400",31
"Newbi","August",0.09,40000,20000,"3600","1800",32
"SmoothDrive","January",0.02,1000000,266667,"20000","5333.34",33
"SmoothDrive","February",0.02,1000000,266667,"20000","5333.34",34
"SmoothDrive","March",0.03,1000000,266667,"30000","8000.01",35
"SmoothDrive","April",0.02,1000000,266667,"20000","5333.34",36
"SmoothDrive","May",0.02,1000000,266667,"20000","5333.34",37
"SmoothDrive","June",0.03,1000000,266667,"30000","8000.01",38
"SmoothDrive","July",0.04,1000000,266667,"40000","10666.68",39
"SmoothDrive","August",0.03,1000000,266667,"30000","8000.01",40
"SmoothDrive","September",0.1,1000000,266667,"100000","26666.7",41
"SmoothDrive","October",0.12,1000000,266667,"120000","32000.04",42
"SmoothDrive","November",0.24,1000000,266667,"240000","64000.08",43
"SmoothDrive","December",0.33,1000000,266667,"330000","88000.11",44
"Stealth","January",0.02,925000,63068,"18500","1261.36",45
"Stealth","February",0.02,925000,63068,"18500","1261.36",46
"Stealth","March",0.03,925000,63068,"27750","1892.04",47
"Stealth","April",0.02,925000,63068,"18500","1261.36",48
"Stealth","May",0.02,925000,63068,"18500","1261.36",49
"Stealth","June",0.03,925000,63068,"27750","1892.04",50
"Stealth","July",0.04,925000,63068,"37000","2522.72",51
"Stealth","August",0.03,925000,63068,"27750","1892.04",52
"Stealth","September",0.1,925000,63068,"92500","6306.8",53
"Stealth","October",0.12,925000,63068,"111000","7568.16",54
"Stealth","November",0.24,925000,63068,"222000","15136.32",55
"Stealth","December",0.33,925000,63068,"305250","20812.44",56
"Wheelers","January",0.02,350000,70000,"7000","1400",57
"Wheelers","February",0.02,350000,70000,"7000","1400",58
"Wheelers","March",0.02,350000,70000,"7000","1400",59
"Wheelers","April",0.02,350000,70000,"7000","1400",60
"Wheelers","May",0.02,350000,70000,"7000","1400",61
"Wheelers","June",0.02,350000,70000,"7000","1400",62
"Wheelers","July",0.02,350000,70000,"7000","1400",63
"Wheelers","August",0.02,350000,70000,"7000","1400",64
"Wheelers","September",0.03,350000,70000,"10500","2100",65
"Wheelers","October",0.03,350000,70000,"10500","2100",66
"Wheelers","November",0.34,350000,70000,"119000","23800",67
"Wheelers","December",0.44,350000,70000,"154000","30800",68
"ZEGO","January",0.02,2200000,178378,"44000","3567.56",69
"ZEGO","February",0.02,2200000,178378,"44000","3567.56",70
"ZEGO","March",0.03,2200000,178378,"66000","5351.34",71
"ZEGO","April",0.02,2200000,178378,"44000","3567.56",72
"ZEGO","May",0.02,2200000,178378,"44000","3567.56",73
"ZEGO","June",0.03,2200000,178378,"66000","5351.34",74
"ZEGO","July",0.04,2200000,178378,"88000","7135.12",75
"ZEGO","August",0.03,2200000,178378,"66000","5351.34",76
"ZEGO","September",0.1,2200000,178378,"220000","17837.8",77
"ZEGO","October",0.12,2200000,178378,"264000","21405.36",78
"ZEGO","November",0.24,2200000,178378,"528000","42810.72",79
"ZEGO","December",0.33,2200000,178378,"726000","58864.74",80
"ZORVEL","January",0.02,145000,2146,"2900","42.92",81
"ZORVEL","February",0.02,145000,2146,"2900","42.92",82
"ZORVEL","March",0.02,145000,2146,"2900","42.92",83
"ZORVEL","April",0.02,145000,2146,"2900","42.92",84
"ZORVEL","May",0.02,145000,2146,"2900","42.92",85
"ZORVEL","June",0.02,145000,2146,"2900","42.92",86
"ZORVEL","July",0.02,145000,2146,"2900","42.92",87
"ZORVEL","August",0.02,145000,2146,"2900","42.92",88
"ZORVEL","September",0.03,145000,2146,"4350","64.38",89
"ZORVEL","October",0.03,145000,2146,"4350","64.38",90
"ZORVEL","November",0.34,145000,2146,"49300","729.64",91
"ZORVEL","December",0.44,145000,2146,"63800","944.24",92
