Store Index,variable,value
1,Retail,Top Dollar
2,Retail,Top Dollar
3,Retail,Top Dollar
4,Retail,Top Dollar
5,Retail,Top Dollar
6,Retail,Top Dollar
7,Retail,Top Dollar
8,Retail,Top Dollar
9,Retail,Top Dollar
10,Retail,Top Dollar
11,Retail,Top Dollar
12,Retail,Top Dollar
13,Retail,Top Dollar
14,Retail,Top Dollar
15,Retail,Top Dollar
16,Retail,Top Dollar
17,Retail,Top Dollar
18,Retail,Top Dollar
19,Retail,Top Dollar
20,Retail,Top Dollar
21,Retail,Top Dollar
22,Retail,Top Dollar
23,Retail,Top Dollar
24,Retail,Top Dollar
25,Retail,Top Dollar
26,Retail,CryptoMrt
27,Retail,CryptoMrt
28,Retail,CryptoMrt
29,Retail,CryptoMrt
30,Retail,CryptoMrt
31,Retail,CryptoMrt
32,Retail,CryptoMrt
33,Retail,CryptoMrt
34,Retail,CryptoMrt
35,Retail,CryptoMrt
36,Retail,CryptoMrt
37,Retail,CryptoMrt
38,Retail,CryptoMrt
39,Retail,CryptoMrt
40,Retail,CryptoMrt
41,Retail,CryptoMrt
42,Retail,CryptoMrt
43,Retail,CryptoMrt
44,Retail,CryptoMrt
45,Retail,CryptoMrt
46,Retail,CryptoMrt
47,Retail,CryptoMrt
48,Retail,CryptoMrt
49,Retail,Cost Plus
50,Retail,Cost Plus
51,Retail,Cost Plus
52,Retail,Cost Plus
53,Retail,Cost Plus
54,Retail,Cost Plus
55,Retail,Cost Plus
56,Retail,Cost Plus
57,Retail,Cost Plus
58,Retail,Cost Plus
59,Retail,Cost Plus
60,Retail,Cost Plus
61,Retail,Cost Plus
62,Retail,Hockey & More
63,Retail,Hockey & More
64,Retail,Hockey & More
1,Retail_idx,3
2,Retail_idx,3
3,Retail_idx,3
4,Retail_idx,3
5,Retail_idx,3
6,Retail_idx,3
7,Retail_idx,3
8,Retail_idx,3
9,Retail_idx,3
10,Retail_idx,3
11,Retail_idx,3
12,Retail_idx,3
13,Retail_idx,3
14,Retail_idx,3
15,Retail_idx,3
16,Retail_idx,3
17,Retail_idx,3
18,Retail_idx,3
19,Retail_idx,3
20,Retail_idx,3
21,Retail_idx,3
22,Retail_idx,3
23,Retail_idx,3
24,Retail_idx,3
25,Retail_idx,3
26,Retail_idx,2
27,Retail_idx,2
28,Retail_idx,2
29,Retail_idx,2
30,Retail_idx,2
31,Retail_idx,2
32,Retail_idx,2
33,Retail_idx,2
34,Retail_idx,2
35,Retail_idx,2
36,Retail_idx,2
37,Retail_idx,2
38,Retail_idx,2
39,Retail_idx,2
40,Retail_idx,2
41,Retail_idx,2
42,Retail_idx,2
43,Retail_idx,2
44,Retail_idx,2
45,Retail_idx,2
46,Retail_idx,2
47,Retail_idx,2
48,Retail_idx,2
49,Retail_idx,1
50,Retail_idx,1
51,Retail_idx,1
52,Retail_idx,1
53,Retail_idx,1
54,Retail_idx,1
55,Retail_idx,1
56,Retail_idx,1
57,Retail_idx,1
58,Retail_idx,1
59,Retail_idx,1
60,Retail_idx,1
61,Retail_idx,1
62,Retail_idx,4
63,Retail_idx,4
64,Retail_idx,4
1,City, ATHERTON
2,City, MANALAPAN
3,City, LOS ALTOS
4,City, PALO ALTO
5,City,ROSS
6,City, SAGAPONACK
7,City, WOODY CREEK
8,City, BEVERLY HILLS
9,City,LONGMEADOW
10,City,COLORADO SPRINGS
11,City,STOCKTON
12,City,PHILADELPHIA
13,City,TUCSON
14,City,Hartford
