Property_Number,api_no,well_type,time_from,time_to,activity_phase,event_objective_1,Min of INT1
"10412J","4247538085","HORIZONTAL",2020-02-11 00:00:00.000,2020-02-11 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-11 00:00:00.000,2020-02-11 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-04 00:00:00.000,2020-02-04 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-03-01 00:00:00.000,2020-03-01 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-03-01 00:00:00.000,2020-03-01 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-03-01 00:00:00.000,2020-03-01 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-03-01 00:00:00.000,2020-03-02 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-03-01 00:00:00.000,2020-03-01 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-03-01 00:00:00.000,2020-03-01 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-03-01 00:00:00.000,2020-03-01 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-03-01 00:00:00.000,2020-03-01 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-25 00:00:00.000,2020-02-25 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-25 00:00:00.000,2020-02-25 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-25 00:00:00.000,2020-02-25 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-25 00:00:00.000,2020-02-25 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-03-01 00:00:00.000,2020-03-01 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-25 00:00:00.000,2020-02-25 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-26 00:00:00.000,2020-02-26 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-27 00:00:00.000,2020-02-27 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-26 00:00:00.000,2020-02-26 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-26 00:00:00.000,2020-02-27 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-26 00:00:00.000,2020-02-26 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
"10412J","4247538085","HORIZONTAL",2020-02-26 00:00:00.000,2020-02-26 00:00:00.000,"DINT1","INTERMEDIATE",2020-01-28 00:00:00.000
