Year,variable,value
1997,Alabama,104087400000
1998,Alabama,109404300000
1999,Alabama,115030900000
2000,Alabama,119242400000
2001,Alabama,122449300000
2002,Alabama,127792300000
2003,Alabama,133739200000
2004,Alabama,146524700000
2005,Alabama,155970400000
2006,Alabama,163853600000
2007,Alabama,169678400000
2008,Alabama,172686800000
2009,Alabama,168348000000
2010,Alabama,174753000000
2011,Alabama,181349800000
2012,Alabama,186299000000
2013,Alabama,191481000000
2014,Alabama,194211000000
2015,Alabama,200402700000
2016,Alabama,203829800000
2017,Alabama,210364400000
2018,Alabama,221735500000
1997,Alaska,25744800000
1998,Alaska,24170400000
1999,Alaska,24732600000
2000,Alaska,26778300000
2001,Alaska,28420400000
2002,Alaska,29605300000
2003,Alaska,31799700000
2004,Alaska,34970700000
2005,Alaska,39774800000
2006,Alaska,44435300000
2007,Alaska,48972600000
2008,Alaska,54752400000
2009,Alaska,49585900000
2010,Alaska,52882500000
2011,Alaska,56259900000
2012,Alaska,57670100000
2013,Alaska,56622800000
2014,Alaska,55523400000
2015,Alaska,50641600000
2016,Alaska,49363400000
2017,Alaska,51803100000
2018,Alaska,54734100000
1997,Arizona,132418000000
1998,Arizona,143392400000
1999,Arizona,155344500000
2000,Arizona,164611600000
2001,Arizona,171474200000
2002,Arizona,179413300000
2003,Arizona,192751200000
2004,Arizona,205420800000
2005,Arizona,228231200000
2006,Arizona,248230700000
2007,Arizona,262322000000
2008,Arizona,259366700000
2009,Arizona,243929400000
2010,Arizona,248210000000
2011,Arizona,257947800000
2012,Arizona,268288800000
2013,Arizona,275199100000
2014,Arizona,284430000000
2015,Arizona,297141200000
2016,Arizona,311091000000
2017,Arizona,327495800000
2018,Arizona,348297100000
1997,Arkansas,59865600000
1998,Arkansas,62442500000
1999,Arkansas,66816700000
2000,Arkansas,68770000000
2001,Arkansas,70601400000
2002,Arkansas,73950400000
2003,Arkansas,78218800000
2004,Arkansas,84624500000
2005,Arkansas,89610000000
2006,Arkansas,94384500000
2007,Arkansas,96948200000
2008,Arkansas,98955300000
2009,Arkansas,97058900000
2010,Arkansas,101690000000
2011,Arkansas,106085400000
2012,Arkansas,108745200000
2013,Arkansas,114251500000
2014,Arkansas,117336700000
2015,Arkansas,118761200000
2016,Arkansas,120374800000
2017,Arkansas,123383100000
2018,Arkansas,128418900000
1997,California,1070523600000
1998,California,1147841600000
1999,California,1247093000000
2000,California,1366561000000
2001,California,1384111200000
2002,California,1436430900000
2003,California,1527294000000
2004,California,1632216900000
2005,California,1753866200000
2006,California,1874737300000
2007,California,1955856000000
2008,California,1990678200000
2009,California,1920061800000
2010,California,1974614500000
2011,California,2050056800000
2012,California,2144497300000
2013,California,2262771200000
2014,California,2395162300000
2015,California,2553772200000
2016,California,2657797600000
2017,California,2819110700000
2018,California,2997732800000
1997,Colorado,136675300000
1998,Colorado,150381700000
1999,Colorado,164226800000
2000,Colorado,180605500000
2001,Colorado,187571900000
2002,Colorado,190962800000
2003,Colorado,196483700000
2004,Colorado,203980200000
2005,Colorado,219907900000
2006,Colorado,231205900000
2007,Colorado,246043500000
2008,Colorado,255566800000
2009,Colorado,248593600000
2010,Colorado,255140500000
2011,Colorado,264431600000
2012,Colorado,273519500000
2013,Colorado,288305200000
2014,Colorado,306571100000
2015,Colorado,318554900000
2016,Colorado,329368300000
2017,Colorado,350004400000
2018,Colorado,371749600000
1997,Connecticut,138648800000
1998,Connecticut,145495400000
1999,Connecticut,152338100000
2000,Connecticut,165898700000
2001,Connecticut,173127200000
2002,Connecticut,176208200000
2003,Connecticut,181339700000
2004,Connecticut,198662400000
2005,Connecticut,208766200000
2006,Connecticut,222889100000
2007,Connecticut,237542700000
2008,Connecticut,240910900000
2009,Connecticut,236393200000
2010,Connecticut,237653400000
2011,Connecticut,236523700000
2012,Connecticut,243801000000
2013,Connecticut,246632000000
2014,Connecticut,248865200000
2015,Connecticut,260072600000
2016,Connecticut,263696400000
2017,Connecticut,268310500000
2018,Connecticut,275726900000
1997,Delaware,32967700000
1998,Delaware,36783200000
1999,Delaware,40363600000
2000,Delaware,43389400000
2001,Delaware,46448300000
2002,Delaware,45757900000
2003,Delaware,47761600000
2004,Delaware,51449400000
2005,Delaware,52154100000
2006,Delaware,55067400000
2007,Delaware,56278500000
2008,Delaware,54787500000
2009,Delaware,56871200000
2010,Delaware,57447400000
2011,Delaware,60357400000
2012,Delaware,61975800000
2013,Delaware,60666100000
2014,Delaware,66891000000
2015,Delaware,70969400000
2016,Delaware,69549700000
2017,Delaware,70774800000
2018,Delaware,73481300000
1997,District of Columbia,52451900000
1998,District of Columbia,54879800000
1999,District of Columbia,58832100000
2000,District of Columbia,61095500000
2001,District of Columbia,65565900000
2002,District of Columbia,70054700000
2003,District of Columbia,74090300000
2004,District of Columbia,80471300000
2005,District of Columbia,85304900000
2006,District of Columbia,88517200000
2007,District of Columbia,93970000000
2008,District of Columbia,99478500000
2009,District of Columbia,100894600000
2010,District of Columbia,106120300000
2011,District of Columbia,110076200000
2012,District of Columbia,112736500000
2013,District of Columbia,114891000000
2014,District of Columbia,119841000000
2015,District of Columbia,125211900000
2016,District of Columbia,129826100000
2017,District of Columbia,134042700000
2018,District of Columbia,140660900000
1997,Florida,401723000000
1998,Florida,430064200000
1999,Florida,458318600000
2000,Florida,489488100000
2001,Florida,516689600000
2002,Florida,548540300000
2003,Florida,583725700000
2004,Florida,635525500000
2005,Florida,696741100000
2006,Florida,744464200000
2007,Florida,768661000000
2008,Florida,750501600000
2009,Florida,724582200000
2010,Florida,737791100000
2011,Florida,746787500000
2012,Florida,769309100000
2013,Florida,800704100000
2014,Florida,839484100000
2015,Florida,895146200000
2016,Florida,938774200000
2017,Florida,985665400000
2018,Florida,1039236400000
1997,Georgia,242596200000
1998,Georgia,264894900000
1999,Georgia,288994300000
2000,Georgia,307611600000
2001,Georgia,318753000000
2002,Georgia,326929600000
2003,Georgia,340410600000
2004,Georgia,364255200000
2005,Georgia,386785000000
2006,Georgia,402144600000
2007,Georgia,415131900000
2008,Georgia,412911900000
2009,Georgia,407024500000
2010,Georgia,416883800000
2011,Georgia,429574000000
2012,Georgia,444132200000
2013,Georgia,460585100000
2014,Georgia,485816700000
2015,Georgia,513565600000
2016,Georgia,539525100000
2017,Georgia,566473600000
2018,Georgia,592153400000
1997,Hawaii,37654900000
1998,Hawaii,37624400000
1999,Hawaii,39250400000
2000,Hawaii,41500200000
2001,Hawaii,42894300000
2002,Hawaii,45447100000
2003,Hawaii,48929100000
2004,Hawaii,53761800000
2005,Hawaii,58667900000
2006,Hawaii,62365000000
2007,Hawaii,65233500000
2008,Hawaii,66864700000
2009,Hawaii,65692000000
2010,Hawaii,68196900000
2011,Hawaii,70482600000
2012,Hawaii,73582700000
2013,Hawaii,75788300000
2014,Hawaii,77854300000
2015,Hawaii,82710000000
2016,Hawaii,85843800000
2017,Hawaii,89428900000
2018,Hawaii,93797900000
1997,Idaho,29439000000
1998,Idaho,30983900000
1999,Idaho,34138200000
2000,Idaho,37992800000
2001,Idaho,37384100000
2002,Idaho,38715300000
2003,Idaho,40341800000
2004,Idaho,43739000000
2005,Idaho,47962900000
2006,Idaho,50976300000
2007,Idaho,53852100000
2008,Idaho,55546000000
2009,Idaho,53775000000
2010,Idaho,55170700000
2011,Idaho,56488100000
2012,Idaho,57764400000
2013,Idaho,61017700000
2014,Idaho,63521800000
2015,Idaho,66004300000
2016,Idaho,69029400000
2017,Idaho,72723200000
2018,Idaho,77052000000
1997,Illinois,415770700000
1998,Illinois,436166700000
1999,Illinois,459322100000
2000,Illinois,487212700000
2001,Illinois,502260300000
2002,Illinois,514063800000
2003,Illinois,529455400000
2004,Illinois,558748400000
2005,Illinois,586693900000
2006,Illinois,621859900000
2007,Illinois,647862100000
2008,Illinois,646366600000
2009,Illinois,644690100000
2010,Illinois,662637800000
2011,Illinois,688288900000
2012,Illinois,720702300000
2013,Illinois,739627900000
2014,Illinois,765347700000
2015,Illinois,792999400000
2016,Illinois,806315500000
2017,Illinois,826817800000
2018,Illinois,865310400000
1997,Indiana,170545300000
1998,Indiana,184582100000
1999,Indiana,193100600000
2000,Indiana,203052900000
2001,Indiana,204581100000
2002,Indiana,212430300000
2003,Indiana,223495300000
2004,Indiana,236935800000
2005,Indiana,243738300000
2006,Indiana,255054600000
2007,Indiana,269053600000
2008,Indiana,272845600000
