Branch_Code,Branch_Name,Branch_ID
"033","Tỉnh Hưng Yên",1
"004","Tỉnh Cao Bằng",2
"042","Tỉnh Hà Tĩnh",3
"034","Tỉnh Thái Bình",4
"096","Tỉnh Cà Mau",5
"049","Tỉnh Quảng Nam",6
"083","Tỉnh Bến Tre",7
"095","Tỉnh Bạc Liêu",8
"031","Thành phố Hải Phòng",9
"017","Tỉnh Hòa Bình",10
"020","Tỉnh Lạng Sơn",11
"056","Tỉnh Khánh Hòa",12
"035","Tỉnh Hà Nam",13
"036","Tỉnh Nam Định",14
"022","Tỉnh Quảng Ninh",15
"066","Tỉnh Đắk Lắk",16
"072","Tỉnh Tây Ninh",17
"026","Tỉnh Vĩnh Phúc",18
"075","Tỉnh Đồng Nai",19
"062","Tỉnh Kon Tum",20
"064","Tỉnh Gia Lai",21
"079","Thành phố Hồ Chí Minh",22
"037","Tỉnh Ninh Bình",23
"086","Tỉnh Vĩnh Long",24
"093","Tỉnh Hậu Giang",25
"010","Tỉnh Lào Cai",26
"011","Tỉnh Điện Biên",27
"068","Tỉnh Lâm Đồng",28
"045","Tỉnh Quảng Trị",29
"001","Thành phố Hà Nội",30
"091","Tỉnh Kiên Giang",31
"015","Tỉnh Yên Bái",32
"052","Tỉnh Bình Định",33
"084","Tỉnh Trà Vinh",34
"044","Tỉnh Quảng Bình",35
"024","Tỉnh Bắc Giang",36
"087","Tỉnh Đồng Tháp",37
"038","Tỉnh Thanh Hóa",38
"019","Tỉnh Thái Nguyên",39
"077","Tỉnh Bà Rịa - Vũng Tàu",40
"094","Tỉnh Sóc Trăng",41
"070","Tỉnh Bình Phước",42
"074","Tỉnh Bình Dương",43
"089","Tỉnh An Giang",44
"058","Tỉnh Ninh Thuận",45
"027","Tỉnh Bắc Ninh",46
"082","Tỉnh Tiền Giang",47
"030","Tỉnh Hải Dương",48
"046","Tỉnh Thừa Thiên Huế",49
"002","Tỉnh Hà Giang",50
"080","Tỉnh Long An",51
"014","Tỉnh Sơn La",52
"060","Tỉnh Bình Thuận",53
"051","Tỉnh Quảng Ngãi",54
"067","Tỉnh Đắk Nông",55
"048","Thành phố Đà Nẵng",56
"012","Tỉnh Lai Châu",57
"092","Thành phố Cần Thơ",58
"040","Tỉnh Nghệ An",59
"008","Tỉnh Tuyên Quang",60
"006","Tỉnh Bắc Kạn",61
"054","Tỉnh Phú Yên",62
"025","Tỉnh Phú Thọ",63
