Store_ID,Product_ID,Stock_On_Hand,hold on price
1,28,10,109.9
2,10,10,149.9
2,32,10,149.9
3,28,10,109.9
4,26,10,249.9
5,32,10,149.9
5,34,10,259.9
6,16,10,99.9
6,29,10,199.9
7,3,10,39.9
7,6,10,149.9
7,25,10,29.9
8,1,10,159.9
8,5,10,99.9
9,3,10,39.9
10,9,10,109.9
11,26,10,249.9
11,30,10,199.9
12,12,10,119.9
12,28,10,109.9
14,9,10,109.9
14,11,10,209.9
14,24,10,199.9
14,30,10,199.9
15,7,10,159.9
17,12,10,119.9
18,4,10,129.9
18,16,10,99.9
18,35,10,79.9
19,23,10,99.9
20,31,10,89.9
21,6,10,149.9
22,1,10,159.9
22,17,10,199.9
24,13,10,209.9
24,31,10,89.9
24,32,10,149.9
25,23,10,99.9
25,24,10,199.9
25,32,10,149.9
27,13,10,209.9
28,7,10,159.9
28,25,10,29.9
29,7,10,159.9
29,8,10,69.9
29,21,10,99.9
30,3,10,39.9
30,14,10,109.9
30,33,10,129.9
31,9,10,109.9
31,28,10,109.9
32,2,10,129.9
33,1,10,159.9
34,15,10,59.9
35,7,10,159.9
35,17,10,199.9
35,30,10,199.9
37,9,10,109.9
37,33,10,129.9
38,18,10,399.9
40,1,10,159.9
40,11,10,209.9
40,21,10,99.9
40,23,10,99.9
41,35,10,79.9
42,2,10,129.9
42,12,10,119.9
43,15,10,59.9
44,17,10,199.9
45,11,10,209.9
46,24,10,199.9
47,11,10,209.9
47,29,10,199.9
48,18,10,399.9
48,20,10,249.9
49,28,10,109.9
50,24,10,199.9
1,2,0,0
1,5,0,0
1,34,0,0
2,1,0,0
2,9,0,0
2,11,0,0
3,15,0,0
3,29,0,0
4,34,0,0
5,11,0,0
5,12,0,0
5,15,0,0
5,21,0,0
5,28,0,0
6,1,0,0
7,9,0,0
7,28,0,0
8,9,0,0
8,13,0,0
8,14,0,0
8,15,0,0
11,21,0,0
13,1,0,0
13,9,0,0
13,11,0,0
13,12,0,0
13,28,0,0
14,15,0,0
14,21,0,0
14,29,0,0
15,12,0,0
16,28,0,0
18,28,0,0
19,11,0,0
19,15,0,0
19,33,0,0
20,21,0,0
