Country,Población,Cantidad Población
"Afghanistan",34656032,"10 M - 100 M"
"Algeria",40606052,"10 M - 100 M"
"Angola",28813463,"10 M - 100 M"
"Argentina",43847430,"10 M - 100 M"
"Australia",24127159,"10 M - 100 M"
"Belgium",11348159,"10 M - 100 M"
"Benin",10872298,"10 M - 100 M"
"Bolivia",10887882,"10 M - 100 M"
"Burkina Faso",18646433,"10 M - 100 M"
"Burundi",10524117,"10 M - 100 M"
"Cambodia",15762370,"10 M - 100 M"
"Cameroon",23439189,"10 M - 100 M"
"Canada",36286425,"10 M - 100 M"
"Chad",14452543,"10 M - 100 M"
"Chile",17909754,"10 M - 100 M"
"Colombia",48653419,"10 M - 100 M"
"Democratic Republic of the Congo",78736153,"10 M - 100 M"
"Côte d'Ivoire",23695919,"10 M - 100 M"
"Cuba",11475982,"10 M - 100 M"
"Czech Republic",10561633,"10 M - 100 M"
"Dominican Republic",10648791,"10 M - 100 M"
"Ecuador",16385068,"10 M - 100 M"
"Egypt",95688681,"10 M - 100 M"
"France",66896109,"10 M - 100 M"
"Germany",82667685,"10 M - 100 M"
"Ghana",28206728,"10 M - 100 M"
"Greece",10746740,"10 M - 100 M"
"Guatemala",16582469,"10 M - 100 M"
"Guinea",12395924,"10 M - 100 M"
"Haiti",10847334,"10 M - 100 M"
"Iran",80277428,"10 M - 100 M"
"Iraq",37202572,"10 M - 100 M"
"Italy",60600590,"10 M - 100 M"
"Kazakhstan",17797032,"10 M - 100 M"
"Kenya",48461567,"10 M - 100 M"
"North Korea",25368620,"10 M - 100 M"
"South Korea",51245707,"10 M - 100 M"
"Madagascar",24894551,"10 M - 100 M"
"Malawi",18091575,"10 M - 100 M"
"Malaysia",31187265,"10 M - 100 M"
"Mali",17994837,"10 M - 100 M"
"Morocco",35276786,"10 M - 100 M"
"Mozambique",28829476,"10 M - 100 M"
"Myanmar",52885223,"10 M - 100 M"
"Nepal",28982771,"10 M - 100 M"
"Netherlands",17018408,"10 M - 100 M"
"Niger",20672987,"10 M - 100 M"
"Peru",31773839,"10 M - 100 M"
"Poland",37948016,"10 M - 100 M"
"Portugal",10324611,"10 M - 100 M"
"Romania",19705301,"10 M - 100 M"
"Rwanda",11917508,"10 M - 100 M"
"Saudi Arabia",32275687,"10 M - 100 M"
"Senegal",15411614,"10 M - 100 M"
"Somalia",14317996,"10 M - 100 M"
"South Africa",55908865,"10 M - 100 M"
"Spain",46443959,"10 M - 100 M"
"Sri Lanka",21203000,"10 M - 100 M"
"Sudan",39578828,"10 M - 100 M"
"South Sudan",12230730,"10 M - 100 M"
"Syria",18430453,"10 M - 100 M"
"Tanzania",55572201,"10 M - 100 M"
"Thailand",68863514,"10 M - 100 M"
"Tunisia",11403248,"10 M - 100 M"
"Turkey",79512426,"10 M - 100 M"
"Uganda",41487965,"10 M - 100 M"
"Ukraine",45004645,"10 M - 100 M"
"United Kingdom",65637239,"10 M - 100 M"
"Uzbekistan",31848200,"10 M - 100 M"
"Venezuela",31568179,"10 M - 100 M"
"Vietnam",92701100,"10 M - 100 M"
"Yemen",27584213,"10 M - 100 M"
"Zambia",16591390,"10 M - 100 M"
"Zimbabwe",16150362,"10 M - 100 M"
"Albania",2876101,"1 M -10 M"
"Armenia",2924816,"1 M -10 M"
"Austria",8747358,"1 M -10 M"
"Azerbaijan",9762274,"1 M -10 M"
"Bahrain",1425171,"1 M -10 M"
"Belarus",9507120,"1 M -10 M"
"Bosnia and Herzegovina",3516816,"1 M -10 M"
"Botswana",2250260,"1 M -10 M"
"Bulgaria",7127822,"1 M -10 M"
"Central African Republic",4594621,"1 M -10 M"
