País,Esperanza de vida,Esperanza de vida (Años promedio)
"Albania",78.3,"70 a 80"
"Algeria",76.8,"70 a 80"
"American Samoa",75.4,"70 a 80"
"Antigua and Barbuda",76.5,"70 a 80"
"Argentina",77.1,"70 a 80"
"Armenia",74.6,"70 a 80"
"Aruba",76.8,"70 a 80"
"Azerbaijan",72.5,"70 a 80"
"The Bahamas",72.4,"70 a 80"
"Bahrain",78.9,"70 a 80"
"Bangladesh",73.2,"70 a 80"
"Barbados",75.3,"70 a 80"
"Belarus",72.7,"70 a 80"
"Bhutan",70.1,"70 a 80"
"Bosnia and Herzegovina",76.7,"70 a 80"
"Brazil",73.8,"70 a 80"
"British Virgin Islands",78.6,"70 a 80"
"Brunei",77.2,"70 a 80"
"Bulgaria",74.5,"70 a 80"
"Cabo Verde",72.1,"70 a 80"
"Chile",78.8,"70 a 80"
"China",75.5,"70 a 80"
"Colombia",75.7,"70 a 80"
"Costa Rica",78.6,"70 a 80"
"Croatia",75.9,"70 a 80"
"Cuba",78.7,"70 a 80"
"Curacao",77.82,"70 a 80"
"Cyprus",78.7,"70 a 80"
"Czech Republic",78.6,"70 a 80"
"Denmark",79.4,"70 a 80"
"Dominica",77,"70 a 80"
"Dominican Republic",78.1,"70 a 80"
"Ecuador",76.8,"70 a 80"
"Egypt",72.7,"70 a 80"
"El Salvador",74.7,"70 a 80"
"Estonia",76.7,"70 a 80"
"Fiji",72.7,"70 a 80"
"French Polynesia",77.2,"70 a 80"
"Georgia",76.2,"70 a 80"
"Gibraltar",79.4,"70 a 80"
"Greenland",72.4,"70 a 80"
"Grenada",74.3,"70 a 80"
"Guam",79.58,"70 a 80"
"Guatemala",72.3,"70 a 80"
"Honduras",71.1,"70 a 80"
"Hungary",75.9,"70 a 80"
"Indonesia",72.7,"70 a 80"
"Iran",71.4,"70 a 80"
"Iraq",74.9,"70 a 80"
"Jamaica",73.6,"70 a 80"
"Jordan",74.6,"70 a 80"
"Kazakhstan",70.8,"70 a 80"
"North Korea",70.4,"70 a 80"
"Kosovo",71.6,"70 a 80"
"Kuwait",78,"70 a 80"
"Kyrgyzstan",70.7,"70 a 80"
"Latvia",74.5,"70 a 80"
"Lebanon",77.6,"70 a 80"
"Libya",76.5,"70 a 80"
"Lithuania",74.9,"70 a 80"
"Macedonia",76.2,"70 a 80"
"Malaysia",75,"70 a 80"
"Maldives",75.6,"70 a 80"
"Marshall Islands",73.1,"70 a 80"
"Mauritius",75.6,"70 a 80"
"Mexico",75.9,"70 a 80"
"Micronesia",72.9,"70 a 80"
"Moldova",70.7,"70 a 80"
"Montserrat",74.4,"70 a 80"
"Morocco",76.9,"70 a 80"
"Nepal",70.7,"70 a 80"
"New Caledonia",77.7,"70 a 80"
"Nicaragua",73.2,"70 a 80"
"Northern Mariana Islands",78,"70 a 80"
"Oman",75.5,"70 a 80"
"Palau",73.1,"70 a 80"
"Panama",78.6,"70 a 80"
"Paraguay",77.2,"70 a 80"
"Peru",73.7,"70 a 80"
"Poland",77.6,"70 a 80"
"Portugal",79.3,"70 a 80"
"Puerto Rico",79.4,"70 a 80"
"Qatar",78.7,"70 a 80"
"Romania",75.1,"70 a 80"
"Russia",70.3,"70 a 80"
"Samoa",73.7,"70 a 80"
"Saudi Arabia",75.3,"70 a 80"
"Serbia",75.5,"70 a 80"
"Seychelles",74.7,"70 a 80"
"Sint Maarten",78.1,"70 a 80"
"Slovakia",77.1,"70 a 80"
"Slovenia",78.2,"70 a 80"
"Solomon Islands",75.3,"70 a 80"
"Sri Lanka",76.8,"70 a 80"
"Saint Kitts and Nevis",75.7,"70 a 80"
"Saint Lucia",77.8,"70 a 80"
"Saint Vincent and the Grenadines",75.3,"70 a 80"
"Suriname",72.2,"70 a 80"
"Syria",74.9,"70 a 80"
"Thailand",74.7,"70 a 80"
"Tonga",76.2,"70 a 80"
"Trinidad and Tobago",72.9,"70 a 80"
"Tunisia",76.1,"70 a 80"
"Turkey",74.8,"70 a 80"
"Turkmenistan",70.1,"70 a 80"
"Turks and Caicos Islands",79.8,"70 a 80"
"Ukraine",71.8,"70 a 80"
"United Arab Emirates",77.5,"70 a 80"
"United States",79.8,"70 a 80"
"Uruguay",77.2,"70 a 80"
"Uzbekistan",73.8,"70 a 80"
"Vanuatu",73.4,"70 a 80"
"Venezuela",75.8,"70 a 80"
"Vietnam",73.4,"70 a 80"
"Virgin Islands",80,"70 a 80"
"West Bank",75,"70 a 80"
"Afghanistan",51.3,"0 a 60"
"Andorra",82.8,"80 o más"
"Angola",56,"0 a 60"
"Australia",82.2,"80 o más"
"Austria",81.5,"80 o más"
"Belgium",81,"80 o más"
"Belize",68.7,"60 a 70"
"Benin",61.9,"60 a 70"
"Bermuda",81.3,"80 o más"
"Bolivia",69.2,"60 a 70"
"Botswana",54.5,"0 a 60"
"Burkina Faso",55.5,"0 a 60"
"Burundi",60.5,"60 a 70"
"Cambodia",64.5,"60 a 70"
"Cameroon",58.5,"0 a 60"
"Canada",81.9,"80 o más"
"Cayman Islands",81.2,"80 o más"
"Central African Republic",52.3,"0 a 60"
"Chad",50.2,"0 a 60"
