order id,close date
1,2019-01-01 00:00:00.000
2,2019-01-02 00:00:00.000
3,2019-01-03 00:00:00.000
4,2019-01-04 00:00:00.000
5,2019-01-05 00:00:00.000
6,2019-01-01 00:00:00.000
7,2019-01-02 00:00:00.000
8,2019-01-01 00:00:00.000
9,2019-01-02 00:00:00.000
10,2019-01-03 00:00:00.000
11,2019-01-04 00:00:00.000
12,2019-01-02 00:00:00.000
13,2019-01-03 00:00:00.000
14,2019-01-04 00:00:00.000
15,2019-01-01 00:00:00.000
16,2019-01-02 00:00:00.000
17,2019-01-03 00:00:00.000
18,2019-01-04 00:00:00.000
19,2019-01-06 00:00:00.000
