DispatchCode,Protocol Name
1,"Protocol 1: Abdominal Pain/Problems"
2,"Protocol 2: Allergies (Reactions)/Envenomations (Stings/Bites)"
3,"Protocol 3: Animal Bites/Attacks"
4,"Protocol 4: Assault/Sexual Assault"
5,"Protocol 5: Back Pain (Non-Traumatic or Non-Recent Trauma)"
6,"Protocol 6: Breathing Problems"
7,"Protocol 7: Burns (Scalds)/Explosion (Blast)"
8,"Protocol 8: Carbon Monoxide/Inhalation/HAZMAT/CBRN"
9,"Protocol 9: Cardiac or Respiratory Arrest/Death"
10,"Protocol 10: Chest Pain (Non-Traumatic)"
11,"Protocol 11: Choking"
12,"Protocol 12: Convulsions/Seizures"
13,"Protocol 13: Diabetic Problems"
14,"Protocol 14: Drowning (near)/Diving/SCUBA Accident"
15,"Protocol 15: Electrocution/Lightning"
16,"Protocol 16: Eye Problems/Injuries"
17,"Protocol 17: Falls"
18,"Protocol 18: Headache"
19,"Protocol 19: Heart Problems/AICD"
20,"Protocol 20: Heat/Cold Exposure"
