State,State Abbr,BA OR HIGHER,OBESITY %
"Colorado","CO",0.36,0.21
"District of Columbia","DC",0.46,0.22
"Nevada","NV",0.25,0.22
"Connecticut","CT",0.35,0.23
"Utah","UT",0.31,0.23
"Hawaii","HI",0.27,0.23
"Massachusetts","MA",0.37,0.23
"Montana","MT",0.26,0.23
"Vermont","VA",0.34,0.23
"New Jersey","NJ",0.35,0.24
"New York","NY",0.31,0.24
"California","CA",0.32,0.24
"Arizona","AZ",0.28,0.24
"Alaska","AK",0.26,0.25
"Minnesota","MN",0.33,0.25
"New Hampshire","NH",0.35,0.25
"New Mexico","NM",0.25,0.25
"Wyoming","WY",0.23,0.25
"Rhode Island","RI",0.27,0.26
"Washington","WA",0.3,0.26
"Virginia","VT",0.33,0.26
"Wisconsin","WI",0.26,0.26
"Idaho","ID",0.24,0.27
"Florida","FL",0.26,0.27
"Maine","ME",0.24,0.27
"Oregon","OR",0.26,0.27
"Nebraska","NE",0.25,0.27
"Maryland","MD",0.35,0.27
"North Dakota","ND",0.25,0.27
"South Dakota","SD",0.26,0.27
"North Carolina","NC",0.23,0.28
"Delaware","DE",0.27,0.28
"Illinois","IL",0.27,0.28
"Iowa","IA",0.24,0.28
"Pennsylvania","PA",0.25,0.29
"Ohio","OH",0.25,0.29
"Kansas","KS",0.3,0.29
"Georgia","GA",0.28,0.3
"Indiana","IN",0.21,0.3
"Arkansas","AR",0.19,0.3
"Oklahoma","OK",0.23,0.3
"Missouri","MO",0.28,0.31
"Tennessee","TN",0.24,0.31
"Michigan","MI",0.24,0.31
"Louisiana","LA",0.22,0.31
"Texas","TX",0.25,0.31
"Kentucky","KY",0.21,0.31
"South Carolina","SC",0.25,0.32
"Alabama","AL",0.22,0.32
"West Virginia","WV",0.15,0.33
"Mississippi","MS",0.2,0.34
