Company Name,Number of Records,Quantity,Quantity (bins)
"Blogtags",1,49,48
"Brightbean",1,49,48
"Browsecat",1,49,48
"Skyble",1,49,48
"Jabbercube",1,49,48
"Yata",1,49,48
"Realbridge",1,49,48
"Oyope",1,49,48
"Brightbean",1,49,48
"Topiczoom",1,49,48
"Geba",1,49,48
"Shufflebeat",1,49,48
"Twinte",1,49,48
"Cogibox",1,49,48
"Bluejam",1,49,48
"Tazzy",1,49,48
"Yakijo",1,49,48
"Mynte",1,49,48
"Demimbu",1,49,48
"Feedfish",1,49,48
"Feedfish",1,49,48
"Vidoo",1,49,48
"Meembee",1,49,48
"Roomm",1,49,48
"Yakitri",1,49,48
"Roomm",1,49,48
"Realblab",1,49,48
"Riffpath",1,49,48
"Skinder",1,49,48
"Skipstorm",1,49,48
"Chatterbridge",1,49,48
"Yodo",1,49,48
"Blogtags",1,49,48
"Realbuzz",1,49,48
"Fivespan",1,49,48
"Zava",1,49,48
"Mynte",1,49,48
"Topicware",1,49,48
"Dabtype",1,49,48
"Jayo",1,49,48
"Mybuzz",1,49,48
"Thoughtmix",1,49,48
"Oyoyo",1,49,48
"Yambee",1,49,48
"Innotype",1,49,48
"Zoozzy",1,49,48
"Skiba",1,49,48
"Feedfish",1,49,48
"Lazz",1,49,48
"Fadeo",1,49,48
"Kwinu",1,49,48
"Topicware",1,49,48
"Innojam",1,49,48
"Demivee",1,49,48
"Wordware",1,49,48
"Twiyo",1,49,48
"Blogtag",1,49,48
"Zoozzy",1,49,48
"Mynte",1,49,48
"Edgeblab",1,49,48
"Camimbo",1,49,48
"Photobean",1,49,48
"Browsecat",1,49,48
"Yodel",1,49,48
"Shufflester",1,49,48
"Aimbu",1,49,48
"Jaloo",1,49,48
"Flipstorm",1,49,48
"Trunyx",1,49,48
"Zoomdog",1,49,48
"Flashset",1,49,48
"Jayo",1,49,48
"Zoovu",1,49,48
"Feedbug",1,49,48
"Voomm",1,49,48
"Photofeed",1,49,48
"Skalith",1,49,48
"Skiptube",1,49,48
"Jaxworks",1,49,48
"Zoonoodle",1,49,48
"Blogtag",1,49,48
"Realbuzz",1,49,48
"Oozz",1,49,48
"Mynte",1,49,48
"Photospace",1,49,48
"Babblestorm",1,50,50
"Photospace",1,50,50
"Tagchat",1,50,50
"Oyonder",1,50,50
"Riffpedia",1,50,50
"Livefish",1,50,50
"Skimia",1,50,50
"Brainsphere",1,50,50
"Digitube",1,50,50
"Kanoodle",1,50,50
"Reallinks",1,50,50
"Jabberstorm",1,50,50
"Voolith",1,50,50
"Avamm",1,50,50
"Buzzdog",1,50,50
"Eadel",1,50,50
"Tazz",1,50,50
"Dazzlesphere",1,50,50
"Divanoodle",1,50,50
"Tekfly",1,50,50
"Thoughtsphere",1,50,50
"Muxo",1,50,50
"Quaxo",1,50,50
"Yamia",1,50,50
"Browsezoom",1,50,50
"Yoveo",1,50,50
"Geba",1,50,50
"Zoombox",1,50,50
"Topicware",1,50,50
"Meedoo",1,50,50
"Blogpad",1,50,50
"Buzzbean",1,50,50
"Bluezoom",1,50,50
"Realmix",1,50,50
"Browsebug",1,50,50
"Skiptube",1,50,50
"Mudo",1,50,50
"Realcube",1,50,50
"Divape",1,50,50
"Skinder",1,50,50
"Oyope",1,50,50
"Miboo",1,50,50
"Skyble",1,50,50
"Wordify",1,50,50
"Wikivu",1,50,50
"Kazu",1,50,50
"Trudoo",1,50,50
"Chatterbridge",1,50,50
"Vitz",1,50,50
"Fivespan",1,50,50
"Realfire",1,50,50
"Oozz",1,50,50
"Tazz",1,50,50
"Kazu",1,50,50
"Leexo",1,50,50
"Eamia",1,50,50
"Babbleblab",1,50,50
"Brightdog",1,50,50
"Topicstorm",1,50,50
"Kaymbo",1,50,50
"Thoughtmix",1,50,50
"Dabtype",1,50,50
"Feedspan",1,50,50
"Fanoodle",1,50,50
"Yotz",1,50,50
"Quatz",1,50,50
"Divavu",1,50,50
"Kwimbee",1,50,50
"Dynabox",1,50,50
"Oodoo",1,50,50
"Agimba",1,50,50
"Gabtype",1,50,50
"Devpulse",1,50,50
"Babbleopia",1,50,50
"Avaveo",1,50,50
"Yambee",1,50,50
"Snaptags",1,50,50
"Gigabox",1,50,50
"Voomm",1,50,50
"Wordtune",1,50,50
"Twitterworks",1,51,50
"Chatterpoint",1,51,50
"Abatz",1,51,50
"Kwinu",1,51,50
"Rhyloo",1,51,50
"Yambee",1,51,50
"Twitterwire",1,51,50
"Quatz",1,51,50
"Oyoyo",1,51,50
"Realmix",1,51,50
"Meeveo",1,51,50
"Geba",1,51,50
"Voonix",1,51,50
"Photolist",1,51,50
"Twitterbridge",1,51,50
"Devify",1,51,50
"Oyondu",1,51,50
"Jaxbean",1,51,50
"Jabbercube",1,51,50
"Teklist",1,51,50
"Wordify",1,51,50
"Skidoo",1,51,50
"Kamba",1,51,50
"Dynabox",1,51,50
"Skilith",1,51,50
"Zoonoodle",1,51,50
"Photojam",1,51,50
"Latz",1,51,50
"Thoughtstorm",1,51,50
"Yozio",1,51,50
"Centidel",1,51,50
"Rhynyx",1,51,50
"Bluezoom",1,51,50
"Innojam",1,51,50
"Thoughtbridge",1,51,50
"Devpulse",1,51,50
"Topicstorm",1,51,50
"Thoughtblab",1,51,50
"Oba",1,51,50
"Feedmix",1,51,50
"Gabcube",1,51,50
"InnoZ",1,51,50
"Zoombeat",1,51,50
"Photobug",1,51,50
"Photobug",1,51,50
"Oyope",1,51,50
"Mynte",1,51,50
"Fliptune",1,51,50
"Minyx",1,51,50
"Jabberstorm",1,51,50
"Skynoodle",1,51,50
"Dabvine",1,51,50
"Gabspot",1,51,50
"Avavee",1,51,50
"Bubblemix",1,51,50
"Innotype",1,51,50
"Flashdog",1,51,50
"Livepath",1,51,50
"Plajo",1,51,50
"Jaxspan",1,51,50
"Voonyx",1,51,50
"Riffwire",1,51,50
"Chatterbridge",1,51,50
"Talane",1,51,50
"Demizz",1,51,50
"Agimba",1,51,50
"Youspan",1,51,50
"Voomm",1,51,50
"Brainlounge",1,51,50
"Linklinks",1,51,50
"Viva",1,51,50
"Jabbercube",1,51,50
"Oyonder",1,51,50
"Abata",1,51,50
"Quire",1,51,50
"Divanoodle",1,51,50
"Brainsphere",1,51,50
"Feedfish",1,51,50
"Roombo",1,51,50
"Buzzshare",1,51,50
"Innojam",1,51,50
"Tekfly",1,48,48
"Bubblebox",1,48,48
"Photospace",1,48,48
"Kanoodle",1,48,48
"Jabbercube",1,48,48
"Jabbersphere",1,48,48
"Jetpulse",1,48,48
"InnoZ",1,48,48
"Jaxnation",1,48,48
"Livetube",1,48,48
"Buzzdog",1,48,48
"Photobean",1,48,48
"Zoonder",1,48,48
"Midel",1,48,48
"Flashspan",1,48,48
"Leenti",1,48,48
"Dabshots",1,48,48
"Voonix",1,48,48
"Topicware",1,48,48
"Zoomcast",1,48,48
"Brainlounge",1,48,48
"Bubblebox",1,48,48
"Eare",1,48,48
"Skidoo",1,48,48
"Realblab",1,48,48
"Dabfeed",1,48,48
"Flipbug",1,48,48
"Vimbo",1,48,48
"Kimia",1,48,48
"Jaloo",1,48,48
"Browsecat",1,48,48
"Blognation",1,48,48
"Brainsphere",1,48,48
"Roombo",1,48,48
"Oyoyo",1,48,48
"Innojam",1,48,48
"Dabjam",1,48,48
"Skimia",1,48,48
"Brainsphere",1,48,48
"Yodel",1,48,48
"Jayo",1,48,48
"Voonix",1,48,48
"Fiveclub",1,48,48
"Thoughtblab",1,48,48
"Vidoo",1,48,48
"Jabbersphere",1,48,48
"Linktype",1,48,48
"Roodel",1,48,48
"Zoomzone",1,48,48
"Realfire",1,48,48
"Avamm",1,48,48
"Tanoodle",1,48,48
"Skynoodle",1,48,48
"Topicshots",1,48,48
"Oyope",1,48,48
"Dynazzy",1,48,48
"Skyble",1,48,48
"Mymm",1,48,48
"Thoughtworks",1,48,48
"Reallinks",1,48,48
"Voolith",1,48,48
"Jabberstorm",1,48,48
"Youbridge",1,48,48
"Blogpad",1,48,48
"Riffwire",1,48,48
"Brightdog",1,48,48
"Pixonyx",1,48,48
"Voonder",1,48,48
"Skimia",1,48,48
"Skinder",1,48,48
"Edgewire",1,48,48
"JumpXS",1,48,48
"Meevee",1,48,48
"Buzzdog",1,54,54
"Gigaclub",1,54,54
"Skynoodle",1,54,54
"Aimbu",1,54,54
"Quatz",1,54,54
"Kimia",1,54,54
"Skimia",1,54,54
"Oyope",1,54,54
"Zoovu",1,54,54
"Skaboo",1,54,54
"Gabcube",1,54,54
"Youspan",1,54,54
"Skipfire",1,54,54
"Twitterwire",1,54,54
"Blognation",1,54,54
"Blogtag",1,54,54
"Realblab",1,54,54
"Rhycero",1,54,54
"Tazz",1,54,54
"Dynazzy",1,54,54
"Photofeed",1,54,54
"Roodel",1,54,54
"Gigabox",1,54,54
"Browsedrive",1,54,54
"Fliptune",1,54,54
"Latz",1,54,54
"Plambee",1,54,54
"Gevee",1,54,54
"Thoughtstorm",1,54,54
"Devshare",1,54,54
"Npath",1,54,54
"Yata",1,54,54
"Thoughtstorm",1,54,54
"Dynazzy",1,54,54
"Devify",1,54,54
"Cogibox",1,54,54
"Topicblab",1,54,54
"Rhynoodle",1,54,54
"Zooveo",1,54,54
"Dabjam",1,54,54
"Cogidoo",1,54,54
"Zava",1,54,54
"Feedspan",1,54,54
"Oozz",1,54,54
"Skiba",1,54,54
"Kwideo",1,54,54
"Twitterbeat",1,54,54
"Jabbertype",1,54,54
"Thoughtbridge",1,54,54
"Chatterbridge",1,54,54
"Brightdog",1,54,54
"Gabvine",1,54,54
"Mybuzz",1,54,54
"Meezzy",1,54,54
"Voomm",1,54,54
"Miboo",1,54,54
"Skyba",1,54,54
"Meevee",1,54,54
"Meemm",1,54,54
"Trupe",1,54,54
"Vinder",1,54,54
"Skipstorm",1,54,54
"Jatri",1,54,54
"Katz",1,54,54
"Vinte",1,54,54
"Kazio",1,42,42
"Skinder",1,52,52
"Ntag",1,52,52
"Demizz",1,57,56
"Quamba",1,42,42
"Skalith",1,46,46
"Pixope",1,45,44
"Abatz",1,46,46
"Wikizz",1,57,56
"Linklinks",1,47,46
"Realcube",1,47,46
"Thoughtsphere",1,58,58
"Rhyzio",1,46,46
"Devify",1,52,52
"Wikido",1,47,46
"Realfire",1,42,42
"Feedmix",1,45,44
"Podcat",1,44,44
"Demizz",1,46,46
"Zoomzone",1,43,42
"Zoomzone",1,45,44
"Skajo",1,55,54
"Abata",1,44,44
"Skyndu",1,52,52
"Tekfly",1,44,44
"Feednation",1,46,46
"Topicblab",1,43,42
"Skilith",1,55,54
"Photobug",1,56,56
"Thoughtmix",1,44,44
