Item Number,Category,Product Name
12346,"Monitors","VINTEZ 24 Inch - Gold - High Clarity - Computer Privacy Screen Filter for Widescreen Computer Monitor - Anti-Scratch Protector Film for Data confidentiality - 16:9 Aspect Ratio"
18432,"Premium Computers","Razer Blade 15 Gaming Laptop 2019: Intel Core i7-9750H 6 Core, NVIDIA GeForce RTX 2060, 15.6"" FHD 1080p 144Hz, 16GB RAM, 512GB SSD, CNC Aluminum, Chroma RGB Lighting, Thunderbolt 3, Quartz Pink"
18439,"Tablets","Apple iPad (Wi-Fi, 32GB) - White (Previous Model)"
18442,"Tablets","Fire HD 8 Tablet (10"" HD Display, 16 GB) - Black"
18443,"Tablets","Apple iPad (Wi-Fi, 16GB) - White (Previous Model)"
18446,"Low Cost Computers","2020 HP 14“ Laptop (AMD A9-9425 up to 3.7 GHz, 4GB DDR4 RAM, 128GB SSD, AMD Radeon R5 Graphic, Wi-Fi, Bluetooth, HDMI, Windows 10 Home)"
18491,"Monitors","27 Inch 16:9 Aspect Ratio Computer Privacy Screen Filter for Widescreen Computer Monitor 23.6""x13.3"" Anti-Glare - Anti-Scratch Protector Film for Data Confidentiality - We Offer 2 Different 27"" Sizes"
18520,"Tablets","Apple iPad (Wi-Fi, 32GB) - Space Gray (Previous Model)"
18581,"Computer Monitors","27''W Inch Privacy Screen Filter for Desktop Computer Widescreen Monitor - Anti-Glare, Blocks 96% UV,Anti-Scratch with 16:9 Aspect Ratio"
18595,"Tablets","Apple iPad (Wi-Fi, 16GB) - Space Gray (Previous Model)"
18596,"Tablets","Apple iPad (Wi-Fi, 64GB) - Space Gray (Previous Model)"
25600,"Tablets","Fire HD 8 Tablet (12"" HD Display, 16 GB) - Black"
25613,"Tablets","Fire HD 8 Tablet (8"" HD Display, 16 GB) - Black"
25621,"Premium Computers","Dell Latitude 5300 13.3-inch FHD 512GB SSD Touchscreen 2-in-1 Laptop (16GB RAM, Quad-Core i7-8665U up to 4.8GHz, Integrated UHD 620 Graphics, Windows 10 Pro) Black"
25635,"Monitors","Acer SB220Q bi 21.5 inches Full HD (1920 x 1080) IPS Ultra-Thin Zero Frame Monitor (HDMI & VGA port)"
25636,"Tablets","Fire HD 8 Tablet (8"" HD Display, 32 GB) - White"
26473,"Low Cost Computers","2020 HP Premium 14"" Micro-Edge Laptop Computer, AMD A9-9425 up to 3.7GHz, 4GB DDR4 RAM, 128GB PCIe SSD, WiFi, Bluetooth 4.2, USB Type-C, HDMI, Webcam, Silver, Windows 10 Home, YZAKKA Accessories"
26626,"Premium Computers","HP ENVY 13 Inch Thin Laptop w/ Fingerprint Reader, 4K Touchscreen, Intel Core i7-8565U, NVIDIA GeForce MX250 Graphics, 16GB SDRAM, 512GB SSD, Windows 10 Home (13-aq0044nr, Natural Silver)"
26858,"Tablets","Fire HD 8 Tablet (8"" HD Display, 16 GB) - White"
26992,"Tablets","Apple iPad (Wi-Fi, 64GB) - White (Previous Model)"
29744,"Premium Computers","2020 HP 15.6"" Touchscreen Laptop Computer, 10th Gen Intel Quard-Core i5 1035G1(Beats i7-7500U), 32GB DDR4 RAM, 2TB PCIe SSD, AC WiFi, Silver, Windows 10 Home + YZAKKA External DVD Drive"
98028,"Premium Computers","Lenovo ThinkPad T490s Business Laptop, 14.0"" FHD (1920 x 1080) IPS Touchscreen Notebook, Intel i7-8665U Processor, 8GB DDR4 RAM, 512GB PCIe SSD, Windows 10 Pro 64-bit"
