Date,Province,Electricity Distributed Gwh
2002-01-01 00:00:00.000,"Western Cape",1605
2002-02-01 00:00:00.000,"Western Cape",1578
2002-03-01 00:00:00.000,"Western Cape",1716
2002-04-01 00:00:00.000,"Western Cape",1587
2002-05-01 00:00:00.000,"Western Cape",1666
2002-06-01 00:00:00.000,"Western Cape",1736
2002-07-01 00:00:00.000,"Western Cape",1832
2002-08-01 00:00:00.000,"Western Cape",1796
2002-09-01 00:00:00.000,"Western Cape",1658
2002-10-01 00:00:00.000,"Western Cape",1721
2002-11-01 00:00:00.000,"Western Cape",1690
2002-12-01 00:00:00.000,"Western Cape",1688
2003-01-01 00:00:00.000,"Western Cape",1710
2003-02-01 00:00:00.000,"Western Cape",1656
2003-03-01 00:00:00.000,"Western Cape",1803
2003-04-01 00:00:00.000,"Western Cape",1691
2003-05-01 00:00:00.000,"Western Cape",1703
2003-06-01 00:00:00.000,"Western Cape",1776
2003-07-01 00:00:00.000,"Western Cape",1854
2003-08-01 00:00:00.000,"Western Cape",1825
2003-09-01 00:00:00.000,"Western Cape",1733
2003-10-01 00:00:00.000,"Western Cape",1775
2003-11-01 00:00:00.000,"Western Cape",1738
2003-12-01 00:00:00.000,"Western Cape",1750
2004-01-01 00:00:00.000,"Western Cape",1786
2004-02-01 00:00:00.000,"Western Cape",1778
2004-03-01 00:00:00.000,"Western Cape",1859
2004-04-01 00:00:00.000,"Western Cape",1729
2004-05-01 00:00:00.000,"Western Cape",1845
2004-06-01 00:00:00.000,"Western Cape",1826
2004-07-01 00:00:00.000,"Western Cape",1934
2004-08-01 00:00:00.000,"Western Cape",1936
2004-09-01 00:00:00.000,"Western Cape",1809
2004-10-01 00:00:00.000,"Western Cape",1822
2004-11-01 00:00:00.000,"Western Cape",1815
2004-12-01 00:00:00.000,"Western Cape",1807
2005-01-01 00:00:00.000,"Western Cape",1835
2005-02-01 00:00:00.000,"Western Cape",1736
2005-03-01 00:00:00.000,"Western Cape",1869
2005-04-01 00:00:00.000,"Western Cape",1798
2005-05-01 00:00:00.000,"Western Cape",1906
2005-06-01 00:00:00.000,"Western Cape",1891
2005-07-01 00:00:00.000,"Western Cape",1933
2005-08-01 00:00:00.000,"Western Cape",2029
2005-09-01 00:00:00.000,"Western Cape",1875
2005-10-01 00:00:00.000,"Western Cape",1866
2005-11-01 00:00:00.000,"Western Cape",1868
2005-12-01 00:00:00.000,"Western Cape",1868
2006-01-01 00:00:00.000,"Western Cape",1898
2006-02-01 00:00:00.000,"Western Cape",1752
2006-03-01 00:00:00.000,"Western Cape",1919
2006-04-01 00:00:00.000,"Western Cape",1842
2006-05-01 00:00:00.000,"Western Cape",1930
2006-06-01 00:00:00.000,"Western Cape",1888
2006-07-01 00:00:00.000,"Western Cape",1975
2006-08-01 00:00:00.000,"Western Cape",1980
2006-09-01 00:00:00.000,"Western Cape",1834
2006-10-01 00:00:00.000,"Western Cape",1874
2006-11-01 00:00:00.000,"Western Cape",1868
2006-12-01 00:00:00.000,"Western Cape",1904
2007-01-01 00:00:00.000,"Western Cape",1987
2007-02-01 00:00:00.000,"Western Cape",1868
2007-03-01 00:00:00.000,"Western Cape",2055
2007-04-01 00:00:00.000,"Western Cape",1900
2007-05-01 00:00:00.000,"Western Cape",2038
2007-06-01 00:00:00.000,"Western Cape",2030
2007-07-01 00:00:00.000,"Western Cape",2076
2007-08-01 00:00:00.000,"Western Cape",2083
2007-09-01 00:00:00.000,"Western Cape",1955
2007-10-01 00:00:00.000,"Western Cape",2000
2007-11-01 00:00:00.000,"Western Cape",1935
2007-12-01 00:00:00.000,"Western Cape",1914
2008-01-01 00:00:00.000,"Western Cape",1929
2008-02-01 00:00:00.000,"Western Cape",1850
2008-03-01 00:00:00.000,"Western Cape",1974
2008-04-01 00:00:00.000,"Western Cape",1897
2008-05-01 00:00:00.000,"Western Cape",2008
2008-06-01 00:00:00.000,"Western Cape",1998
2008-07-01 00:00:00.000,"Western Cape",2102
2008-08-01 00:00:00.000,"Western Cape",2021
2008-09-01 00:00:00.000,"Western Cape",1991
2008-10-01 00:00:00.000,"Western Cape",1967
2008-11-01 00:00:00.000,"Western Cape",1841
2008-12-01 00:00:00.000,"Western Cape",1903
2009-01-01 00:00:00.000,"Western Cape",1941
2009-02-01 00:00:00.000,"Western Cape",1846
2009-03-01 00:00:00.000,"Western Cape",2056
2009-04-01 00:00:00.000,"Western Cape",1864
2009-05-01 00:00:00.000,"Western Cape",1917
2009-06-01 00:00:00.000,"Western Cape",1925
2009-07-01 00:00:00.000,"Western Cape",1976
2009-08-01 00:00:00.000,"Western Cape",2001
2009-09-01 00:00:00.000,"Western Cape",1887
2009-10-01 00:00:00.000,"Western Cape",1852
2009-11-01 00:00:00.000,"Western Cape",1842
2009-12-01 00:00:00.000,"Western Cape",1890
2010-01-01 00:00:00.000,"Western Cape",1978
2010-02-01 00:00:00.000,"Western Cape",1871
2010-03-01 00:00:00.000,"Western Cape",2060
2010-04-01 00:00:00.000,"Western Cape",1874
2010-05-01 00:00:00.000,"Western Cape",1924
2010-06-01 00:00:00.000,"Western Cape",1959
2010-07-01 00:00:00.000,"Western Cape",2045
2010-08-01 00:00:00.000,"Western Cape",2004
2010-09-01 00:00:00.000,"Western Cape",1872
2010-10-01 00:00:00.000,"Western Cape",1917
2010-11-01 00:00:00.000,"Western Cape",1916
2010-12-01 00:00:00.000,"Western Cape",1927
2011-01-01 00:00:00.000,"Western Cape",1984
2011-02-01 00:00:00.000,"Western Cape",1912
2011-03-01 00:00:00.000,"Western Cape",2057
2011-04-01 00:00:00.000,"Western Cape",1888
2011-05-01 00:00:00.000,"Western Cape",1978
2011-06-01 00:00:00.000,"Western Cape",1976
2011-07-01 00:00:00.000,"Western Cape",2018
2011-08-01 00:00:00.000,"Western Cape",2001
2011-09-01 00:00:00.000,"Western Cape",1915
2011-10-01 00:00:00.000,"Western Cape",1913
2011-11-01 00:00:00.000,"Western Cape",1927
2011-12-01 00:00:00.000,"Western Cape",1934
2012-01-01 00:00:00.000,"Western Cape",2040
2012-02-01 00:00:00.000,"Western Cape",1950
2012-03-01 00:00:00.000,"Western Cape",2064
2012-04-01 00:00:00.000,"Western Cape",1886
2012-05-01 00:00:00.000,"Western Cape",2004
2012-06-01 00:00:00.000,"Western Cape",1995
2012-07-01 00:00:00.000,"Western Cape",2044
2012-08-01 00:00:00.000,"Western Cape",2044
2012-09-01 00:00:00.000,"Western Cape",1905
2012-10-01 00:00:00.000,"Western Cape",1932
2012-11-01 00:00:00.000,"Western Cape",1888
2012-12-01 00:00:00.000,"Western Cape",1929
2013-01-01 00:00:00.000,"Western Cape",1988
2013-02-01 00:00:00.000,"Western Cape",1853
2013-03-01 00:00:00.000,"Western Cape",2026
2013-04-01 00:00:00.000,"Western Cape",1895
2013-05-01 00:00:00.000,"Western Cape",1989
2013-06-01 00:00:00.000,"Western Cape",1938
2013-07-01 00:00:00.000,"Western Cape",1989
2013-08-01 00:00:00.000,"Western Cape",2016
2013-09-01 00:00:00.000,"Western Cape",1922
2013-10-01 00:00:00.000,"Western Cape",1819
2013-11-01 00:00:00.000,"Western Cape",1844
2013-12-01 00:00:00.000,"Western Cape",1930
2014-01-01 00:00:00.000,"Western Cape",1976
2014-02-01 00:00:00.000,"Western Cape",1902
2014-03-01 00:00:00.000,"Western Cape",1986
2014-04-01 00:00:00.000,"Western Cape",1898
2014-05-01 00:00:00.000,"Western Cape",1971
2014-06-01 00:00:00.000,"Western Cape",1939
2014-07-01 00:00:00.000,"Western Cape",2059
2014-08-01 00:00:00.000,"Western Cape",1965
2014-09-01 00:00:00.000,"Western Cape",1882
2014-10-01 00:00:00.000,"Western Cape",1953
2014-11-01 00:00:00.000,"Western Cape",1870
2014-12-01 00:00:00.000,"Western Cape",1866
2015-01-01 00:00:00.000,"Western Cape",1961
2015-02-01 00:00:00.000,"Western Cape",1820
2015-03-01 00:00:00.000,"Western Cape",1971
2015-04-01 00:00:00.000,"Western Cape",1823
2015-05-01 00:00:00.000,"Western Cape",1901
2015-06-01 00:00:00.000,"Western Cape",1884
2015-07-01 00:00:00.000,"Western Cape",1967
2015-08-01 00:00:00.000,"Western Cape",1943
