years,Revenue (R billion),Operating profit (R billion),Total debt (R billion),Employee benefit expenses (R billion),Number of employees,Electrical output capacity (GWh)
2010,"71.1",2.3,,,36.547,232.812
2011,"91.4",,178.5,,39.034,237.43
2012,"114.7",13.2,213.3,20.1,44.913,224.785
2013,"128.8",18.8,236.7,,46.624,216.561
2014,"138.3",16.5,234.5,25.6,46.919,
2015,"147.7",3.6,277.4,25.9,46.49,226.3
2016,"164.2",5.1,306.9,29.2,47.978,238.599
2017,"177.1",0.888,336.7,33.1,47.658,220.166
2018,"177.4",-233,348.1,29.4,48.628,221.936
2019,"179.8",-207,387.2,33.3,46.665,218.939
