name,location,date,text,municipality,hashtags,polarity score
"Eskom Hld SOC Ltd","Gauteng, South African",2020-09-16 10:41:19.000,"@the_concurrer Your query has been sent to Customer Services.","","",0
"Eskom Hld SOC Ltd","Gauteng, South African",2020-09-16 10:27:30.000,"@DrLMahlare Hi, can you DM us your email address? We will ask Customer Services to send you the process.","","",0
"Eskom Hld SOC Ltd","Gauteng, South African",2020-09-15 20:29:50.000,"@Prince00557024 Separate post","","",0
"Eskom Hld SOC Ltd","Gauteng, South African",2020-09-14 08:28:45.000,"@GOTH_NERD Hi, your query has been escalated.","","",0
"Eskom Hld SOC Ltd","Gauteng, South African",2020-09-14 08:03:02.000,"Did you know that electricity tapped from high-voltage powerlines is not usable for household consumption? It can d… https://t.co/3hWRe6DNzL","","",0
"Eskom Hld SOC Ltd","Gauteng, South African",2020-09-13 10:00:07.000,"Only Eskom trained and authorized personnel are allowed to work on the power lines and other Eskom equipment. Commu… https://t.co/ukNNitMNQw","","",0
"Eskom Hld SOC Ltd","Gauteng, South African",2020-09-13 07:13:29.000,"@ViroCMN This is not correct.  Prepaid tarrif is based on usage. You can acquire more information here https://t.co/lRVHqFvrPY","","",0
"Eskom Hld SOC Ltd","Gauteng, South African",2020-09-12 12:14:05.000,"@KingRodeo3 We have escalated to Customer Services.","","",0
"Eskom Hld SOC Ltd","Gauteng, South African",2020-09-11 17:55:59.000,"RT @PresidencyZA: The Political Task Team on Eskom, chaired by Deputy President @DDMabuza, has today, 11 September 2020, met to discuss pro…","","",0
"Eskom Hld SOC Ltd","Gauteng, South African",2020-09-11 14:33:03.000,"@littlemouse13 Hi, your query has been escalated to Customer Services.","","",0
"Eskom Hld SOC Ltd","Gauteng, South African",2020-09-11 08:00:11.000,"Many South Africans who build homes/dwellings under powerlines are electrocuted because of the material used to bui… https://t.co/dhYzapKlzm","","",0
"Eskom Hld SOC Ltd","Gauteng, South African",2020-09-10 12:23:56.000,"@Maggie88456270 Hi, are you an Eskom or municipal customer?","","",0
"Eskom Hld SOC Ltd","Gauteng, South African",2020-09-10 11:30:04.000,"Prepaid pricing is based on usage/consumption rate.  The more you use in a month, the higher your cost.  For inform… https://t.co/JEFQrnDPeZ","","",0
"Eskom Hld SOC Ltd","Gauteng, South African",2020-09-10 09:09:08.000,"@Ihlekeng Hi, we will escalate.","","",0
"Eskom Hld SOC Ltd","Gauteng, South African",2020-09-10 07:29:12.000,"Millions of South Africans are still working from home despite the country moving to Level 2 last month. It’s impor… https://t.co/VfIwS4cDxU","","",0
"Eskom Hld SOC Ltd","Gauteng, South African",2020-09-08 20:12:41.000,"@DeonJoubert_ We have just been given an etr of 11.30pm","","",0
"Eskom Hld SOC Ltd","Gauteng, South African",2020-09-08 05:33:16.000,"@MashibaK Stage 2 has been canceled. Stage 1  will be implemented from 16:00 until 22:00.","","",0
"Eskom Hld SOC Ltd","Gauteng, South African",2020-09-07 13:43:11.000,"https://t.co/tvqotCDfAD","","",0
"Eskom Hld SOC Ltd","Gauteng, South African",2020-09-07 12:31:51.000,"@LalieKama What is your question?","","",0
"Eskom Hld SOC Ltd","Gauteng, South African",2020-09-07 09:20:25.000,"@Manono85 Escalated to Customer Services for feedback","","",0
"Eskom Hld SOC Ltd","Gauteng, South African",2020-09-07 09:15:57.000,"@Jaxskaapie Will enquire from Customer Services","","",0
"Eskom Hld SOC Ltd","Gauteng, South African",2020-09-07 08:58:45.000,"@NdwenjaneAN @DBE_SA @ElijahMhlanga @Lesufi @teamgde Escalated for feedback","","",0
"Eskom Hld SOC Ltd","Gauteng, South African",2020-09-06 08:45:08.000,"@Djthakhie Will escalate to Customer Services","","",0
"Eskom Hld SOC Ltd","Gauteng, South African",2020-09-06 08:43:22.000,"@Mosibud53124457 @City_Ekurhuleni We have just been informed the work from Eskom side has been completed and the li… https://t.co/Rbd7fSjCyj","","",0
"Eskom Hld SOC Ltd","Gauteng, South African",2020-09-06 06:51:12.000,"RT @CityPowerJhb: Outage at New Road 88/11kV SS updated at 08:25. https://t.co/rKH6cUcpV2","","",0
"Eskom Hld SOC Ltd","Gauteng, South African",2020-09-06 06:50:30.000,"RT @City_Ekurhuleni: POWER UPDATE: KEMPTON PARK/THEMBISA - The Eskom Esselen/Tembisa 88kV lines are down due vandalism. Thembisa and surrou…","","",0
"Eskom Hld SOC Ltd","Gauteng, South African",2020-09-05 16:25:37.000,"@Magaliessiginfo @candy007james We are following up with Customer Services.","","",0
"Eskom Hld SOC Ltd","Gauteng, South African",2020-09-04 07:00:02.000,"Visit our loadshedding website at https://t.co/II84Rx8ztf to understand the concept of loadshedding and how to inte… https://t.co/Hg3LTBpqyJ","","",0
"Eskom Hld SOC Ltd","Gauteng, South African",2020-09-03 09:09:05.000,"@pinkykhoabane 😂😂😂😂. I'll DM you","","",0
"Eskom Hld SOC Ltd","Gauteng, South African",2020-09-02 15:27:05.000,"@Mkabayi11 @errandwowor Eskom does have an app for loadshedding and MyEskom app for customer related queries","","",0
"Eskom Hld SOC Ltd","Gauteng, South African",2020-09-02 12:52:03.000,"@Mkabayi11 Eskom se Push is a private app. It has nothing to do with Eskom","","",0
"Eskom Hld SOC Ltd","Gauteng, South African",2020-09-02 12:47:04.000,"@Mkabayi11 Eskom se Push is not an Eskom app.  You can only buy electricity directly from Eskom, if you are supplie… https://t.co/FCxiSIFZlk","","",0
"Eskom Hld SOC Ltd","Gauteng, South African",2020-09-02 12:41:34.000,"@MbanaAram Its on our timeline","","",0
"Eskom Hld SOC Ltd","Gauteng, South African",2020-09-02 09:45:05.000,"Only Eskom trained and authorized personnel are allowed to work on the power lines and other Eskom equipment. Commu… https://t.co/bxdcMxDfrP","","",0
"Eskom Hld SOC Ltd","Gauteng, South African",2020-09-02 06:02:31.000,"@Kgetsa275 Eskom is loadshedding at stage 2 currently @EskomSePush","","",0
"Eskom Hld SOC Ltd","Gauteng, South African",2020-09-01 17:04:26.000,"@SmileyNdadamala It will start at 8 and finish at the time as per your schedule","","",0
"Eskom Hld SOC Ltd","Gauteng, South African",2020-08-31 16:15:01.000,"MyEskom App provides Eskom customers with self-service capabilities such as: 
account billing, meter reading functi… https://t.co/TEmZ4BBFyY","","",0
"Eskom Hld SOC Ltd","Gauteng, South African",2020-08-31 14:46:58.000,"@OdwaMketsu What assistance do you require?","","",0
"Eskom Hld SOC Ltd","Gauteng, South African",2020-08-31 10:30:03.000,"Did you know that the peak period for electricity in South Africa is between 17:00 and 21:00?  Reducing your electr… https://t.co/B3AIbtx7o4","","",0
"Eskom Hld SOC Ltd","Gauteng, South African",2020-08-30 12:30:34.000,"@mpumez If you are supplied by Mkhambathini Munic, you need to report to them","","",0
"Eskom Hld SOC Ltd","Gauteng, South African",2020-08-30 08:32:26.000,"@val2226 @EskomSpokesper1 @EskomFoundation Eskom has two Apps. MyEskom is the loadshedding app. You need to download MyEskom Customer App.","","",0
"Eskom Hld SOC Ltd","Gauteng, South African",2020-08-30 08:30:32.000,"@CFo87763678 Hi. 08600 37566.","","",0
"Eskom Hld SOC Ltd","Gauteng, South African",2020-08-29 13:28:16.000,"@Bryn84 Escalated to Customer Services. Awaiting feedback","","",0
"Eskom Hld SOC Ltd","Gauteng, South African",2020-08-28 06:33:02.000,"Prepaid pricing is based on usage/consumption rate.  The more you use in a month, the higher your cost.  For inform… https://t.co/R2wW2lYTG8","","",0
"Eskom Hld SOC Ltd","Gauteng, South African",2020-08-27 12:34:02.000,"@kgomotsoguster1 Received.  Your query has been escalated to Customer Services to follow-up.","","",0
"Eskom Hld SOC Ltd","Gauteng, South African",2020-08-27 11:37:10.000,"@brie_msimanga We have escalated to Customer Services.","","",0
"Eskom Hld SOC Ltd","Gauteng, South African",2020-08-27 08:18:49.000,"@TrevorBZungu Hi.  You may query your bill by sending an email to customerservices@eskom.co.za","","",0
"Eskom Hld SOC Ltd","Gauteng, South African",2020-08-26 16:17:01.000,"Did you know that you can conveniently purchase your prepaid electricity on your banking app or on the EasyPay webs… https://t.co/07IqN79prD","","",0
"Eskom Hld SOC Ltd","Gauteng, South African",2020-08-26 10:00:04.000,"Nothing is for mahala. If you tamper with electrical boxes and installations in an attempt to access electricity fo… https://t.co/xCM1FLQ0lz","","",0
