Year,Province,Population
1996-01-01 00:00:00.000,"Gauteng",7348423
1996-01-01 00:00:00.000,"KwaZulu-Natal",8417021
1996-01-01 00:00:00.000,"Eastern Cape",6302525
1996-01-01 00:00:00.000,"Western Cape",3956875
1996-01-01 00:00:00.000,"Limpopo",4929368
1996-01-01 00:00:00.000,"Mpumalanga",2800711
1996-01-01 00:00:00.000,"North West",3354825
1996-01-01 00:00:00.000,"Free State",2633504
1996-01-01 00:00:00.000,"Northern Cape",840321
2001-01-01 00:00:00.000,"Gauteng",8837178
2001-01-01 00:00:00.000,"KwaZulu-Natal",9426017
2001-01-01 00:00:00.000,"Eastern Cape",6436763
2001-01-01 00:00:00.000,"Western Cape",4524335
2001-01-01 00:00:00.000,"Limpopo",5273642
2001-01-01 00:00:00.000,"Mpumalanga",3122990
2001-01-01 00:00:00.000,"North West",3669349
2001-01-01 00:00:00.000,"Free State",2706775
2001-01-01 00:00:00.000,"Northern Cape",822727
2011-01-01 00:00:00.000,"Gauteng",12272263
2011-01-01 00:00:00.000,"KwaZulu-Natal",10267300
2011-01-01 00:00:00.000,"Eastern Cape",6562053
2011-01-01 00:00:00.000,"Western Cape",5822734
2011-01-01 00:00:00.000,"Limpopo",5404868
2011-01-01 00:00:00.000,"Mpumalanga",4039939
2011-01-01 00:00:00.000,"North West",3509953
2011-01-01 00:00:00.000,"Free State",2745590
2011-01-01 00:00:00.000,"Northern Cape",1145861
2016-01-01 00:00:00.000,"Gauteng",13399724
2016-01-01 00:00:00.000,"KwaZulu-Natal",11065240
2016-01-01 00:00:00.000,"Eastern Cape",6279730
2016-01-01 00:00:00.000,"Western Cape",6996976
2016-01-01 00:00:00.000,"Limpopo",5799090
2016-01-01 00:00:00.000,"Mpumalanga",4335964
2016-01-01 00:00:00.000,"North West",3748435
2016-01-01 00:00:00.000,"Free State",2834714
2016-01-01 00:00:00.000,"Northern Cape",1193780
2020-01-01 00:00:00.000,"Gauteng",15488137
2020-01-01 00:00:00.000,"KwaZulu-Natal",11531628
2020-01-01 00:00:00.000,"Eastern Cape",7055741
2020-01-01 00:00:00.000,"Western Cape",6734001
2020-01-01 00:00:00.000,"Limpopo",5852533
2020-01-01 00:00:00.000,"Mpumalanga",4679786
2020-01-01 00:00:00.000,"North West",4108816
2020-01-01 00:00:00.000,"Free State",2928903
2020-01-01 00:00:00.000,"Northern Cape",1292786
