h_a,xG,xGA,npxG,npxGA,shots,shots_against,goals_scored,goals_against,xpts,npxGD,%team_id
"h",1.44499,0.980166,1.44499,0.980166,5,2,3,1,1.7799,0.464824,1
"h",3.4984,1.41088,2.62648,1.41088,14,7,3,1,2.6395,1.2156,1
"a",3.69008,1.31408,3.69008,0.55291,14,7,4,1,2.6982999999999997,3.1371700000000002,1
"h",1.52247,0.640726,1.52247,0.640726,3,4,2,1,2.0689,0.881744,1
"h",2.50961,1.10934,2.50961,1.10934,23,2,2,1,2.2782,1.40027,1
"h",0.431464,1.13312,0.431464,1.13312,2,8,1,1,0.6785,-0.70165599999999984,2
"a",0.536077,0.89818,0.536077,0.89818,13,8,0,1,0.9174,-0.36210299999999995,2
"a",0.454305,0.962129,0.454305,0.962129,6,5,2,1,0.79509999999999992,-0.507824,2
"h",1.84818,0.982614,1.84818,0.982614,7,12,2,1,2.0334,0.865566,2
"a",0.140573,2.71181,0.140573,1.95064,4,15,0,1,0.0507,-1.8100669999999999,2
"a",0.455206,0.527571,0.455206,0.527571,5,2,0,1,1.192,-0.072365000000000013,2
"h",1.0267,1.82051,1.0267,1.82051,18,4,0,1,0.715,-0.79381000000000013,2
"a",1.13312,0.431464,1.13312,0.431464,8,2,1,1,2.0072,0.70165599999999984,3
"h",0.729786,0.287902,0.729786,0.287902,3,6,0,1,1.7654,0.44188400000000005,3
"a",1.30098,1.37258,1.30098,1.37258,1,8,2,1,1.3241999999999998,-0.071599999999999886,3
"h",1.62169,0.248256,1.62169,0.248256,16,8,0,1,2.5013,1.373434,3
"h",1.82799,0.561554,1.06682,0.561554,6,2,2,1,2.4263,0.5052660000000001,3
"h",0.238829,1.01763,0.238829,1.01763,3,6,0,1,0.496,-0.77880100000000008,3
"h",0.501329,1.13821,0.501329,1.13821,4,6,2,1,0.7686,-0.63688099999999992,3
"a",1.6853,1.79548,1.6853,1.79548,7,3,2,1,1.2564000000000002,-0.11017999999999994,4
"h",1.47438,1.25373,0.71321,1.25373,6,12,2,1,1.5399,-0.54052,4
"a",0.649566,1.36836,0.649566,0.607196,5,4,1,1,0.6482,0.042370000000000019,4
"h",1.43123,0.227321,0.670063,0.227321,6,1,1,1,2.5305999999999997,0.44274199999999997,4
"a",1.2607,1.14679,1.2607,1.14679,10,5,1,1,1.428,0.11390999999999996,4
"a",1.4872,1.34236,1.4872,1.34236,6,8,1,1,1.5093,0.14484000000000008,4
"h",1.20118,1.11736,1.20118,1.11736,2,3,0,1,1.4464,0.08382,4
"a",0.78663,0.763458,0.78663,0.763458,11,10,1,1,1.3281,0.023172000000000081,4
"h",2.18053,0.509681,1.41937,0.509681,11,4,1,1,2.6221,0.909689,4
"h",0.747557,0.572994,0.747557,0.572994,13,11,1,1,1.5013,0.17456300000000002,4
"a",1.19738,1.70979,1.19738,1.70979,8,10,1,1,0.9332,-0.51240999999999981,4
"h",1.71102,1.52078,1.71102,1.52078,2,9,1,1,1.5185,0.19023999999999996,5
"h",0.775574,1.09928,0.775574,1.09928,9,7,0,1,1.0198,-0.32370600000000005,5
"h",2.72901,0.834312,2.72901,0.834312,2,2,3,1,2.609,1.894698,5
"a",0.674072,3.00585,0.674072,3.00585,5,16,1,1,0.1748,-2.331778,5
"a",0.604599,1.70609,0.604599,1.70609,6,4,0,1,0.5245,-1.1014910000000002,5
"h",0.772721,1.83387,0.772721,1.83387,5,14,1,1,0.5867,-1.061149,5
"h",1.16081,1.95722,1.16081,1.95722,1,6,0,1,0.6067,-0.79641000000000006,5
"a",0.255988,1.03765,0.255988,1.03765,2,7,1,1,0.546,-0.781662,5
"a",0.573638,2.08462,0.573638,1.32345,4,6,1,1,0.3479,-0.749812,6
"h",0.194202,1.69244,0.194202,1.69244,4,9,0,1,0.2603,-1.498238,6
"h",3.79243,1.52634,3.79243,0.765173,12,4,3,1,2.7201000000000004,3.027257,6
"h",3.00585,0.674072,3.00585,0.674072,16,5,1,1,2.7323000000000004,2.331778,6
"h",2.34525,0.563367,1.58408,0.563367,5,2,1,1,2.6473,1.020713,6
"a",0.908574,0.990877,0.908574,0.990877,7,7,2,1,1.2695999999999998,-0.082303000000000015,6
"h",3.20239,0.627528,3.20239,0.627528,14,0,1,1,2.8005,2.574862,6
"a",2.8285,0.474029,1.30616,0.474029,14,6,3,1,2.8468999999999998,0.832131,6
"h",0.763458,0.78663,0.763458,0.78663,10,11,1,1,1.3023,-0.023172000000000081,6
"a",0.613757,0.901703,0.613757,0.901703,2,6,0,1,1.0597,-0.28794600000000004,6
"a",0.572994,0.747557,0.572994,0.747557,11,13,1,1,1.1167,-0.17456300000000002,6
"h",1.36836,0.649566,0.607196,0.649566,4,5,1,1,2.0753,-0.042370000000000019,7
"h",2.25588,0.721813,2.25588,0.721813,9,4,1,1,2.4970999999999997,1.5340669999999998,7
"a",0.707328,1.9818,0.707328,1.22063,4,5,0,1,0.3847,-0.51330200000000015,7
"a",0.520593,0.870376,0.520593,0.870376,3,13,0,1,0.9988,-0.34978300000000007,7
"h",2.09864,1.27556,2.09864,1.27556,8,5,3,1,1.996,0.82308,7
"a",0.509681,2.18053,0.509681,1.41937,4,11,1,1,0.23170000000000002,-0.909689,7
"a",1.22883,0.296411,0.467662,0.296411,3,2,1,1,2.3404000000000003,0.17125100000000004,7
"h",0.624023,1.12339,0.624023,1.12339,3,7,0,1,0.8432,-0.49936700000000012,7
"a",0.818403,1.71917,0.818403,1.71917,2,4,4,1,0.59629999999999994,-0.9007670000000001,7
"h",1.03765,0.255988,1.03765,0.255988,7,2,1,1,2.1414,0.781662,7
"h",2.38863,0.580601,2.38863,0.580601,4,6,3,1,2.6311,1.8080289999999999,8
"h",1.80386,1.82061,1.80386,1.82061,7,4,3,1,1.3254000000000001,-0.016750000000000043,8
"a",1.32211,1.0496,1.32211,1.0496,2,12,1,1,1.5787,0.27250999999999981,8
"h",0.854165,2.03034,0.854165,2.03034,8,9,0,1,0.5223,-1.1761749999999997,8
"a",0.968075,1.19813,0.968075,0.436957,9,3,0,1,1.0775,0.531118,8
"h",1.06108,1.05723,1.06108,1.05723,5,8,2,1,1.3362999999999998,0.0038500000000001311,8
"a",0.627528,3.20239,0.627528,3.20239,0,14,1,1,0.1248,-2.574862,8
"h",1.2384,0.860245,1.2384,0.860245,1,5,0,1,1.6768,0.37815499999999991,8
"h",0.770819,1.93422,0.770819,1.93422,6,10,0,1,0.4503,-1.163401,8
"a",1.52078,1.71102,1.52078,1.71102,9,2,1,1,1.1537,-0.19023999999999996,10
"a",1.42995,1.17668,1.42995,1.17668,13,10,1,1,1.5584000000000002,0.25327000000000011,10
"a",0.446173,1.83082,0.446173,1.83082,4,4,0,1,0.348,-1.384647,10
"h",1.71313,0.858644,0.951964,0.858644,4,2,1,1,2.0893,0.09332000000000007,10
"a",1.16855,0.661887,1.16855,0.661887,5,2,2,1,1.8229,0.506663,10
"h",1.96551,0.795292,1.96551,0.795292,5,4,1,1,2.3402000000000003,1.1702180000000002,10
"h",2.04186,0.960493,2.04186,0.960493,8,2,3,1,2.1539,1.0813669999999997,10
"h",1.12992,1.15904,1.12992,1.15904,11,9,0,1,1.3423,-0.029120000000000035,10
"a",1.27371,1.44084,1.27371,0.679671,3,2,2,1,1.1889,0.59403899999999987,9
"h",0.8001,2.75058,0.8001,2.75058,6,14,0,1,0.28190000000000004,-1.9504799999999998,9
"a",1.00254,1.16789,1.00254,1.16789,5,7,2,1,1.1802000000000001,-0.16535000000000011,9
"a",0.795292,1.96551,0.795292,1.96551,4,5,1,1,0.452,-1.1702180000000002,9
"h",1.70979,1.19738,1.70979,1.19738,10,8,1,1,1.799,0.51240999999999981,9
"h",2.08462,0.573638,1.32345,0.573638,6,4,1,1,2.4875,0.749812,11
"a",2.86067,0.512263,2.86067,0.512263,10,1,4,1,2.786,2.348407,11
