ProductKey,ProductCode,ProductName,Cost,Color,ListPrice,ProductModel
2,"BA-8327","Bearing Ball",,"NA",,""
3,"BE-2349","BB Ball Bearing",,"NA",,""
4,"BE-2908","Headset Ball Bearings",,"NA",,""
1,"AR-5381","Adjustable Race",,"NA",,""
5,"BL-2036","Blade",,"NA",,""
13,"CS-2812","Chain Stays",,"NA",,""
17,"EC-M092","Mountain End Caps",,"NA",,""
22,"FW-1000","Flat Washer 1",,"NA",,""
26,"FW-3800","Flat Washer 4",,"NA",,""
30,"FW-9160","Flat Washer 7",,"NA",,""
34,"GP-0982","Guide Pulley",,"NA",,""
38,"HJ-1213","Thin-Jam Hex Nut 9",,"NA",,""
42,"HJ-3410","Thin-Jam Hex Nut 15",,"NA",,""
46,"HJ-5161","Thin-Jam Hex Nut 3",,"NA",,""
50,"HJ-7161","Thin-Jam Hex Nut 7",,"NA",,""
54,"HN-1024","Hex Nut 5",,"NA",,""
58,"HN-1224","Hex Nut 7",,"NA",,""
62,"HN-3416","Hex Nut 23",,"NA",,""
66,"HN-5161","Hex Nut 10",,"NA",,""
70,"HN-5818","Hex Nut 21",,"NA",,""
74,"HN-8320","Hex Nut 4",,"NA",,""
78,"HT-8019","Head Tube",,"NA",,""
82,"LE-1000","External Lock Washer 3",,"NA",,""
86,"LE-3800","External Lock Washer 7",,"NA",,""
90,"LE-8000","External Lock Washer 2",,"NA",,""
94,"LI-1400","Internal Lock Washer 5",,"NA",,""
98,"LI-6000","Internal Lock Washer 1",,"NA",,""
102,"LJ-1220","Thin-Jam Lock Nut 10",,"NA",,""
106,"LJ-3416","Thin-Jam Lock Nut 16",,"NA",,""
110,"LJ-5162","Thin-Jam Lock Nut 4",,"NA",,""
114,"LJ-7162","Thin-Jam Lock Nut 8",,"NA",,""
118,"LN-1032","Lock Nut 6",,"NA",,""
122,"LN-1420","Lock Nut 8",,"NA",,""
126,"LN-3816","Lock Nut 12",,"NA",,""
130,"LN-5162","Lock Nut 11",,"NA",,""
134,"LN-6320","Lock Nut 3",,"NA",,""
138,"LN-9080","Lock Nut 19",,"NA",,""
142,"LW-1000","Lock Washer 4",,"NA",,""
146,"LW-3400","Lock Washer 13",,"NA",,""
150,"LW-5800","Lock Washer 12",,"NA",,""
154,"LW-9160","Lock Washer 11",,"NA",,""
158,"MP-2066","Metal Plate 2",,"NA",,""
162,"MS-1256","Metal Sheet 3",,"NA",,""
166,"MS-2348","Metal Sheet 6",,"NA",,""
170,"NI-9522","HL Nipple",,"NA",,""
174,"PA-632U","Paint - Blue",,"NA",,""
178,"RA-7490","Cone-Shaped Race",,"NA",,""
182,"RM-M823","HL Mountain Rim",,"NA",,""
186,"RM-T801","Touring Rim",,"NA",,""
190,"SA-R127","LL Road Seat Assembly",,"NA",,""
194,"SA-T612","ML Touring Seat Assembly",,"NA",,""
198,"SH-4562","LL Shell",,"NA",,""
202,"SM-9087","Stem",,"NA",,""
206,"ST-9828","Seat Tube",,"NA",,""
12,"CR-9981","Crown Race",,"NA",,""
