Datum,Bron,Type,Commentaar,ID
2020-07-01 00:00:00.000,"Totaal","Highlights","juli Totaal Highlights test","1"
2020-07-01 00:00:00.000,"Totaal","Actions taken","juli Totaal Actions test","2"
2020-07-01 00:00:00.000,"Internal Audit","Highlights","juli Internal Audit Highlights test","3"
2020-07-01 00:00:00.000,"Internal Audit","Actions taken","juli Internal Audit Actions test","4"
2020-07-01 00:00:00.000,"PWC","Highlights","juli PWC Highlights test","5"
2020-07-01 00:00:00.000,"PWC","Actions taken","juli PWC Actions test","6"
2020-07-01 00:00:00.000,"Other","Highlights","juli Other Highlights test","7"
2020-07-01 00:00:00.000,"Other","Actions taken","juli Other Actions test","8"
2020-08-01 00:00:00.000,"Totaal","Highlights","aug Totaal Highlights test","1"
2020-08-01 00:00:00.000,"Totaal","Actions taken","aug Totaal Actions test","2"
2020-08-01 00:00:00.000,"Internal Audit","Highlights","aug Internal Audit Highlights test","3"
2020-08-01 00:00:00.000,"Internal Audit","Actions taken","aug Internal Audit Actions test","4"
2020-08-01 00:00:00.000,"PWC","Highlights","aug PWC Highlights test","5"
2020-08-01 00:00:00.000,"PWC","Actions taken","augPWC Actions test","6"
2020-08-01 00:00:00.000,"Other","Highlights","aug Other Highlights test","7"
2020-08-01 00:00:00.000,"Other","Actions taken","aug Other Actions test","8"
2020-11-01 00:00:00.000,"Totaal","Highlights","nov Totaal Highlights test
- test 1","1"
2020-11-01 00:00:00.000,"Totaal","Actions taken","- actie 1  november
- actie 2  november","2"
2020-11-01 00:00:00.000,"Internal Audit","Highlights","nov Internal Audit Highlights test","3"
2020-11-01 00:00:00.000,"Internal Audit","Actions taken","nov Internal Audit Actions test","4"
2020-11-01 00:00:00.000,"PWC","Highlights","nov PWC Highlights test","5"
2020-11-01 00:00:00.000,"PWC","Actions taken","nov PWC Actions test","6"
2020-11-01 00:00:00.000,"Other","Highlights","nov Other Highlights test","7"
2020-11-01 00:00:00.000,"Other","Actions taken","nov Other Actions test","8"
