Title,Date,Notes,Bunting,Division,Region
Early May bank holiday (VE day),2020-05-08 00:00:00.000,,True,Northern Ireland,Northern Ireland
New Year’s Day,2018-01-01 00:00:00.000,,True,England & Wales,England
Christmas Day,2023-12-25 00:00:00.000,,True,England & Wales,Wales
Summer bank holiday,2017-08-28 00:00:00.000,,True,England & Wales,Wales
Christmas Day,2022-12-27 00:00:00.000,Substitute day,True,England & Wales,Wales
Christmas Day,2021-12-27 00:00:00.000,Substitute day,True,Northern Ireland,Northern Ireland
Summer bank holiday,2018-08-06 00:00:00.000,,True,Scotland,Scotland
Christmas Day,2022-12-27 00:00:00.000,Substitute day,True,Northern Ireland,Northern Ireland
Spring bank holiday,2018-05-28 00:00:00.000,,True,England & Wales,England
Good Friday,2021-04-02 00:00:00.000,,False,England & Wales,Wales
Boxing Day,2018-12-26 00:00:00.000,,True,Scotland,Scotland
Early May bank holiday,2021-05-03 00:00:00.000,,True,Scotland,Scotland
2nd January,2019-01-02 00:00:00.000,,True,Scotland,Scotland
St Andrew’s Day,2019-12-02 00:00:00.000,Substitute day,True,Scotland,Scotland
Summer bank holiday,2018-08-27 00:00:00.000,,True,England & Wales,Wales
St Andrew’s Day,2022-11-30 00:00:00.000,,True,Scotland,Scotland
2nd January,2018-01-02 00:00:00.000,,True,Scotland,Scotland
Early May bank holiday,2019-05-06 00:00:00.000,,True,England & Wales,England
Battle of the Boyne (Orangemen’s Day),2017-07-12 00:00:00.000,,False,Northern Ireland,Northern Ireland
Christmas Day,2020-12-25 00:00:00.000,,True,England & Wales,England
Christmas Day,2022-12-27 00:00:00.000,Substitute day,True,Scotland,Scotland
Boxing Day,2019-12-26 00:00:00.000,,True,England & Wales,England
St Patrick’s Day,2017-03-17 00:00:00.000,,True,Northern Ireland,Northern Ireland
Christmas Day,2018-12-25 00:00:00.000,,True,England & Wales,Wales
New Year’s Day,2017-01-02 00:00:00.000,Substitute day,True,Northern Ireland,Northern Ireland
Good Friday,2020-04-10 00:00:00.000,,False,England & Wales,England
Christmas Day,2022-12-27 00:00:00.000,Substitute day,True,England & Wales,England
Summer bank holiday,2018-08-27 00:00:00.000,,True,England & Wales,England
Easter Monday,2022-04-18 00:00:00.000,,True,England & Wales,England
Boxing Day,2017-12-26 00:00:00.000,,True,Northern Ireland,Northern Ireland
New Year’s Day,2019-01-01 00:00:00.000,,True,Scotland,Scotland
Platinum Jubilee bank holiday,2022-06-03 00:00:00.000,,True,England & Wales,England
Christmas Day,2020-12-25 00:00:00.000,,True,Northern Ireland,Northern Ireland
Christmas Day,2023-12-25 00:00:00.000,,True,Northern Ireland,Northern Ireland
New Year’s Day,2021-01-01 00:00:00.000,,True,England & Wales,England
New Year’s Day,2022-01-03 00:00:00.000,Substitute day,True,England & Wales,Wales
Christmas Day,2019-12-25 00:00:00.000,,True,England & Wales,England
Spring bank holiday,2018-05-28 00:00:00.000,,True,Scotland,Scotland
Good Friday,2023-04-07 00:00:00.000,,False,Northern Ireland,Northern Ireland
