OrderID,ProductID,UnitPrice,Quantity
"O101","P111",5,6
"O101","P116",5,15
"O102","P107",30,6
"O102","P109",97,6
"O102","P117",5,15
"O103","P108",40,15
"O103","P110",31,15
"O103","P117",5,6
"O104","P104",22,15
"O104","P109",97,6
"O104","P111",5,6
"O105","P105",21.35,6
"O105","P111",5,15
"O105","P112",5,15
"O105","P115",10,15
"O106","P106",25,15
"O106","P109",97,6
"O107","P106",25,15
"O107","P112",5,6
"O107","P113",2,15
"O107","P117",5,6
"O108","P113",2,15
"O109","P114",2,6
"O109","P116",4,15
"O110","P110",31,15
"O110","P117",5,6
"O111","P108",40,15
"O111","P117",5,15
"O112","P117",5,6
