ProductID,ProductName,SupplierID,CategoryID,QuantityPerUnit,UnitPrice,UnitsInStock,UnitsOnOrder
"P101","Chai","S101","CA101","10 boxes x 20 bags",18,390,0
"P102","Chang","S101","CA101","24 - 12 oz bottles",19,170,40
"P103","Aniseed Syrup","S101","CA102","12 - 550 ml bottles",10,130,70
"P104","Chef Anton's Cajun Seasoning","S102","CA102","48 - 6 oz jars",22,530,0
"P105","Chef Anton's Gumbo Mix","S102","CA102","36 boxes",21.35,100,0
"P106","Grandma's Boysenberry Spread","S103","CA102","12 - 8 oz jars",25,120,0
"P107","Uncle Bob's Organic Dried Pears","S103","CA107","12 - 1 lb pkgs.",30,159,0
"P108","Northwoods Cranberry Sauce","S103","CA102","12 - 12 oz jars",40,601,0
"P109","Mishi Kobe Niku","S104","CA106","18 - 500 g pkgs.",97,290,0
"P110","Ikura","S105","CA108","12 - 200 ml jars",31,310,0
"P111","Pen","S105","CA109","10 Packets X 20 boxes",5,310,0
"P112","Markers","S106","CA109","10 Packets X 20 boxes",5,350,0
"P113","Paper clips","S106","CA109","10 Packets X 20 boxes",2,500,0
"P114","Blind clips","S106","CA109","10 Packets X 20 boxes",2,500,0
"P115","Stapler","S107","CA109","20 boxes",10,500,0
"P116","Glue sticks","S108","CA109","10 Packets X 20 boxes",5,400,0
"P117","Highlighters","S108","CA109","10 Packets X 20 boxes",5,400,0
"P118","Butter","S109","CA104","12 - 200 ml jars",15,400,0
"P119","Cheese","S109","CA104","12 - 200 ml jars",10,300,0
"P120","Milk","S109","CA104","12 - 200 ml jars",3,300,0
"P121","Whey","S110","CA104","12 - 200 ml jars",10,200,0
