PlayerID,Player,Position,Age,MarketValue
177907,"Harry Maguire","Centre-Back",26,50000000
326031,"Matthijs de Ligt","Centre-Back",20,75000000
281963,"Lucas Hernández","Centre-Back",23,70000000
401530,"Éder Militão","Centre-Back",21,50000000
104752,"Konstantinos Manolas","Centre-Back",28,45000000
353366,"Benjamin Pavard","Centre-Back",23,30000000
229005,"Abdou Diallo","Centre-Back",23,35000000
39728,"Mats Hummels","Centre-Back",30,35000000
495666,"William Saliba","Centre-Back",18,12000000
355915,"Cristian Romero","Centre-Back",21,15000000
411975,"Jules Koundé","Centre-Back",20,15000000
281769,"Mario Hermoso","Centre-Back",24,25000000
260827,"Joachim Andersen","Centre-Back",23,25000000
253677,"Tyrone Mings","Centre-Back",26,5000000
212847,"Adam Webster","Centre-Back",24,9000000
156501,"Felipe","Centre-Back",30,20000000
340879,"Merih Demiral","Centre-Back",21,15000000
249730,"Guillermo Maripán","Centre-Back",25,15000000
329145,"Diego Carlos","Centre-Back",26,13000000
361260,"Ozan Kabak","Centre-Back",19,15000000
401356,"Edson Álvarez","Centre-Back",21,7500000
413403,"Ezri Konsa","Centre-Back",21,3500000
338672,"Zinho Vanheusden","Centre-Back",20,10000000
312678,"Léo Duarte","Centre-Back",23,4000000
263361,"Maximilian Wöber","Centre-Back",21,10000000
239962,"Denis Vavro","Centre-Back",23,6000000
187491,"Timo Baumgartl","Centre-Back",23,9000000
148657,"Tomas Kalas","Centre-Back",26,4000000
85789,"Martin Hinteregger","Centre-Back",27,16000000
288253,"Jeremiah St. Juste","Centre-Back",22,7500000
46741,"David Luiz","Centre-Back",32,20000000
287247,"Krystian Bielik","Centre-Back",21,2000000
201737,"Christopher Jullien","Centre-Back",26,6000000
358250,"Joseph Aidoo","Centre-Back",24,4000000
193469,"Björn Engels","Centre-Back",25,6000000
357884,"Fernando Calero","Centre-Back",24,10000000
480762,"Lisandro Martínez","Centre-Back",21,6000000
469781,"Marcos Senesi","Centre-Back",22,7000000
125314,"Pontus Jansson","Centre-Back",28,6000000
121477,"Craig Dawson","Centre-Back",29,6000000
182923,"Stefano Denswil","Centre-Back",26,6000000
