TransferID,PlayerID,TransferFee,TeamLeftID,TeamJoinedID
544,60394,2500000,127,79
1651,109436,0,30,2036
660,314295,2000000,379,167
804,263431,1200000,1322,62
6984,283127,35000,1416,1095
987,148344,670000,504,1053
2785,282631,0,6418,2402
1253,324503,250000,80,403
2694,55911,0,830,2063
1260,391742,250000,41,105
472,203043,3000000,472,1533
1049,260846,500000,409,4
3115,83430,0,405,703
1892,37152,0,405,1110
789,458537,1300000,1274,206
3330,62064,0,6954,1283
227,126737,8000000,681,150
22,323704,40000000,131,964
1046,182688,500000,605,11282
603,428302,2200000,358,641
1769,122421,0,1090,200
105,525287,17000000,6195,294
344,392570,5000000,46,6574
3875,41581,0,2843,2844
81,165895,20000000,6574,46
840,56830,1000000,1025,410
563,456535,2500000,2696,415
933,164108,800000,4083,19
3493,74295,0,187,269
609,308278,2000000,46,1532
3296,221986,0,648,2296
3248,182936,0,122,7179
3537,55801,0,1038,4171
465,113036,3200000,1148,984
1127,243879,400000,504,1290
256,84765,7500000,749,6574
3397,324829,0,321,10004
615,140748,2000000,416,199
4287,121686,0,371,80
1074,248330,500000,3368,703
1722,9594,0,281,58
3326,118375,0,12301,19806
1726,53359,0,3008,221
1056,146918,500000,964,1083
876,223560,1000000,1244,210
1858,5782,0,6890,36
571,368559,2500000,1025,698
3211,333942,0,91,1557
2292,240497,0,2293,19789
1077,268670,500000,1244,12321
4131,312245,0,568,23287
2394,89541,0,3551,5724
3773,45383,0,720,331
64,134294,22200000,31,180
3303,106825,0,527,3336
2344,147993,0,13499,312
4226,9335,0,931,1075
1110,262851,430000,7097,1418
4446,109598,0,868,380
237,193469,8000000,1421,405
1581,183309,0,452,938
1315,225874,200000,6195,324
3909,76100,0,614,221
832,383372,1000000,2861,58
390,287600,4000000,862,252
3533,180271,0,5138,10870
2448,45347,0,1096,24724
936,416484,800000,128,1091
53,411975,25000000,40,368
2689,148789,0,1106,7097
1294,322984,225000,399,349
506,307807,3000000,122,1421
1657,209291,0,1148,2814
4019,137589,0,1194,2454
2485,468198,0,358,124
564,487688,2500000,142,418
170,291422,11100000,989,350
1343,167189,176000,163,938
2998,45513,0,3654,126
2953,27349,0,2457,2462
145,295183,12500000,3057,610
2682,149435,0,12574,333
249,183299,7800000,466,350
542,422380,2500000,127,33
484,98539,3000000,964,41231
3841,44230,0,7769,10217
3225,142033,0,131,648
1573,448696,0,1053,2414
1356,193006,150000,42,349
543,296378,2500000,82,60
432,248732,3500000,294,276
1201,193534,300000,109,79
1198,335191,300000,434,255
423,163683,3750000,749,862
488,349583,3000000,609,585
735,147524,1500000,1084,3709
299,476344,6000000,131,150
3446,75295,0,52,30
1057,208542,500000,1162,520
618,248054,2000000,1041,452
