Date,Day Name,Start of Week,Start of Month,Month Name,Start of Year,Year,Day of Week,Weekend,Short Month,Short Day
2016-01-01 00:00:00.000,"Friday",2015-12-28 00:00:00.000,2016-01-01 00:00:00.000,"January",2016-01-01 00:00:00.000,2016,5,"Weekday","JAN","FRI"
2016-01-02 00:00:00.000,"Saturday",2015-12-28 00:00:00.000,2016-01-01 00:00:00.000,"January",2016-01-01 00:00:00.000,2016,6,"Weekend","JAN","SAT"
2016-01-03 00:00:00.000,"Sunday",2015-12-28 00:00:00.000,2016-01-01 00:00:00.000,"January",2016-01-01 00:00:00.000,2016,7,"Weekend","JAN","SUN"
2016-01-04 00:00:00.000,"Monday",2016-01-04 00:00:00.000,2016-01-01 00:00:00.000,"January",2016-01-01 00:00:00.000,2016,1,"Weekday","JAN","MON"
2016-01-05 00:00:00.000,"Tuesday",2016-01-04 00:00:00.000,2016-01-01 00:00:00.000,"January",2016-01-01 00:00:00.000,2016,2,"Weekday","JAN","TUE"
2016-01-06 00:00:00.000,"Wednesday",2016-01-04 00:00:00.000,2016-01-01 00:00:00.000,"January",2016-01-01 00:00:00.000,2016,3,"Weekday","JAN","WED"
2016-01-07 00:00:00.000,"Thursday",2016-01-04 00:00:00.000,2016-01-01 00:00:00.000,"January",2016-01-01 00:00:00.000,2016,4,"Weekday","JAN","THU"
2016-01-08 00:00:00.000,"Friday",2016-01-04 00:00:00.000,2016-01-01 00:00:00.000,"January",2016-01-01 00:00:00.000,2016,5,"Weekday","JAN","FRI"
2016-01-09 00:00:00.000,"Saturday",2016-01-04 00:00:00.000,2016-01-01 00:00:00.000,"January",2016-01-01 00:00:00.000,2016,6,"Weekend","JAN","SAT"
2016-01-10 00:00:00.000,"Sunday",2016-01-04 00:00:00.000,2016-01-01 00:00:00.000,"January",2016-01-01 00:00:00.000,2016,7,"Weekend","JAN","SUN"
2016-01-11 00:00:00.000,"Monday",2016-01-11 00:00:00.000,2016-01-01 00:00:00.000,"January",2016-01-01 00:00:00.000,2016,1,"Weekday","JAN","MON"
2016-01-12 00:00:00.000,"Tuesday",2016-01-11 00:00:00.000,2016-01-01 00:00:00.000,"January",2016-01-01 00:00:00.000,2016,2,"Weekday","JAN","TUE"
2016-01-13 00:00:00.000,"Wednesday",2016-01-11 00:00:00.000,2016-01-01 00:00:00.000,"January",2016-01-01 00:00:00.000,2016,3,"Weekday","JAN","WED"
2016-01-14 00:00:00.000,"Thursday",2016-01-11 00:00:00.000,2016-01-01 00:00:00.000,"January",2016-01-01 00:00:00.000,2016,4,"Weekday","JAN","THU"
2016-01-15 00:00:00.000,"Friday",2016-01-11 00:00:00.000,2016-01-01 00:00:00.000,"January",2016-01-01 00:00:00.000,2016,5,"Weekday","JAN","FRI"
2016-01-16 00:00:00.000,"Saturday",2016-01-11 00:00:00.000,2016-01-01 00:00:00.000,"January",2016-01-01 00:00:00.000,2016,6,"Weekend","JAN","SAT"
2016-01-17 00:00:00.000,"Sunday",2016-01-11 00:00:00.000,2016-01-01 00:00:00.000,"January",2016-01-01 00:00:00.000,2016,7,"Weekend","JAN","SUN"
2016-01-18 00:00:00.000,"Monday",2016-01-18 00:00:00.000,2016-01-01 00:00:00.000,"January",2016-01-01 00:00:00.000,2016,1,"Weekday","JAN","MON"
2016-01-19 00:00:00.000,"Tuesday",2016-01-18 00:00:00.000,2016-01-01 00:00:00.000,"January",2016-01-01 00:00:00.000,2016,2,"Weekday","JAN","TUE"
2016-01-20 00:00:00.000,"Wednesday",2016-01-18 00:00:00.000,2016-01-01 00:00:00.000,"January",2016-01-01 00:00:00.000,2016,3,"Weekday","JAN","WED"
2016-01-21 00:00:00.000,"Thursday",2016-01-18 00:00:00.000,2016-01-01 00:00:00.000,"January",2016-01-01 00:00:00.000,2016,4,"Weekday","JAN","THU"
2016-01-22 00:00:00.000,"Friday",2016-01-18 00:00:00.000,2016-01-01 00:00:00.000,"January",2016-01-01 00:00:00.000,2016,5,"Weekday","JAN","FRI"
2016-01-23 00:00:00.000,"Saturday",2016-01-18 00:00:00.000,2016-01-01 00:00:00.000,"January",2016-01-01 00:00:00.000,2016,6,"Weekend","JAN","SAT"
2016-01-24 00:00:00.000,"Sunday",2016-01-18 00:00:00.000,2016-01-01 00:00:00.000,"January",2016-01-01 00:00:00.000,2016,7,"Weekend","JAN","SUN"
2016-01-25 00:00:00.000,"Monday",2016-01-25 00:00:00.000,2016-01-01 00:00:00.000,"January",2016-01-01 00:00:00.000,2016,1,"Weekday","JAN","MON"
2016-01-26 00:00:00.000,"Tuesday",2016-01-25 00:00:00.000,2016-01-01 00:00:00.000,"January",2016-01-01 00:00:00.000,2016,2,"Weekday","JAN","TUE"
2016-01-27 00:00:00.000,"Wednesday",2016-01-25 00:00:00.000,2016-01-01 00:00:00.000,"January",2016-01-01 00:00:00.000,2016,3,"Weekday","JAN","WED"
2016-01-28 00:00:00.000,"Thursday",2016-01-25 00:00:00.000,2016-01-01 00:00:00.000,"January",2016-01-01 00:00:00.000,2016,4,"Weekday","JAN","THU"
2016-01-29 00:00:00.000,"Friday",2016-01-25 00:00:00.000,2016-01-01 00:00:00.000,"January",2016-01-01 00:00:00.000,2016,5,"Weekday","JAN","FRI"
2016-01-30 00:00:00.000,"Saturday",2016-01-25 00:00:00.000,2016-01-01 00:00:00.000,"January",2016-01-01 00:00:00.000,2016,6,"Weekend","JAN","SAT"
2016-01-31 00:00:00.000,"Sunday",2016-01-25 00:00:00.000,2016-01-01 00:00:00.000,"January",2016-01-01 00:00:00.000,2016,7,"Weekend","JAN","SUN"
2016-02-01 00:00:00.000,"Monday",2016-02-01 00:00:00.000,2016-02-01 00:00:00.000,"February",2016-01-01 00:00:00.000,2016,1,"Weekday","FEB","MON"
2016-02-02 00:00:00.000,"Tuesday",2016-02-01 00:00:00.000,2016-02-01 00:00:00.000,"February",2016-01-01 00:00:00.000,2016,2,"Weekday","FEB","TUE"
2016-02-03 00:00:00.000,"Wednesday",2016-02-01 00:00:00.000,2016-02-01 00:00:00.000,"February",2016-01-01 00:00:00.000,2016,3,"Weekday","FEB","WED"
2016-02-04 00:00:00.000,"Thursday",2016-02-01 00:00:00.000,2016-02-01 00:00:00.000,"February",2016-01-01 00:00:00.000,2016,4,"Weekday","FEB","THU"
2016-02-05 00:00:00.000,"Friday",2016-02-01 00:00:00.000,2016-02-01 00:00:00.000,"February",2016-01-01 00:00:00.000,2016,5,"Weekday","FEB","FRI"
2016-02-06 00:00:00.000,"Saturday",2016-02-01 00:00:00.000,2016-02-01 00:00:00.000,"February",2016-01-01 00:00:00.000,2016,6,"Weekend","FEB","SAT"
