Symbol,Sector,Percent,Sensitivity
"* Cash","* Cash",1,"Other"
"^SP500TR","Other",1,"Other"
"VT","Other",1,"Other"
"VEA","Communic.",0.0547,"Sensitive"
"VEA","Cons.Cycl.",0.1184,"Cyclical"
"VEA","Cons.Defens.",0.1088,"Defensive"
"VEA","Energy",0.0665,"Sensitive"
"VEA","Financial",0.2157,"Cyclical"
"VEA","Healthcare",0.097,"Defensive"
"VEA","Industrials",0.1135,"Sensitive"
"VEA","Material",0.0915,"Cyclical"
"VEA","Real Estate",0.0286,"Cyclical"
"VEA","Technology",0.0644,"Sensitive"
"VEA","Utilities",0.0409,"Defensive"
"VOO","Communic.",0.0383,"Sensitive"
"VOO","Cons.Cycl.",0.1125,"Cyclical"
"VOO","Cons.Defens.",0.108,"Defensive"
"VOO","Energy",0.1035,"Sensitive"
"VOO","Financial",0.1524,"Cyclical"
"VOO","Healthcare",0.1271,"Defensive"
"VOO","Industrials",0.1161,"Sensitive"
"VOO","Material",0.0327,"Cyclical"
"VOO","Other",0.0001,"Other"
"VOO","Real Estate",0.0167,"Cyclical"
"VOO","Technology",0.1647,"Sensitive"
"VOO","Utilities",0.0279,"Defensive"
"VWO","Communic.",0.1069,"Sensitive"
"VWO","Cons.Cycl.",0.0792,"Cyclical"
"VWO","Cons.Defens.",0.0907,"Defensive"
"VWO","Energy",0.1136,"Sensitive"
"VWO","Financial",0.2666,"Cyclical"
"VWO","Healthcare",0.0163,"Defensive"
"VWO","Industrials",0.0516,"Sensitive"
"VWO","Material",0.0928,"Cyclical"
"VWO","Other",-0.0002,"Other"
"VWO","Real Estate",0.0255,"Cyclical"
"VWO","Technology",0.118,"Sensitive"
"VWO","Utilities",0.039,"Defensive"
