ID,ProductName,ProductGroup,ProductCategory,GroupPhoto
202,"Product 202","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
203,"Product 203","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
210,"Product 210","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
231,"Product 231","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
235,"Product 235","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
238,"Product 238","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
240,"Product 240","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
1216,"Product 1216","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
1417,"Product 1417","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
1534,"Product 1534","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
1685,"Product 1685","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
1701,"Product 1701","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
1725,"Product 1725","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
1758,"Product 1758","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
1759,"Product 1759","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
1760,"Product 1760","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
1763,"Product 1763","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
1765,"Product 1765","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
1766,"Product 1766","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
1767,"Product 1767","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
1769,"Product 1769","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
1827,"Product 1827","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
1828,"Product 1828","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
1835,"Product 1835","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
1850,"Product 1850","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
1884,"Product 1884","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
1885,"Product 1885","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
1887,"Product 1887","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
1888,"Product 1888","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
1889,"Product 1889","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
1890,"Product 1890","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
1891,"Product 1891","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
1892,"Product 1892","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
1893,"Product 1893","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
1894,"Product 1894","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
1924,"Product 1924","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
1940,"Product 1940","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
1968,"Product 1968","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
2158,"Product 2158","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
2167,"Product 2167","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
2170,"Product 2170","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
2171,"Product 2171","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
2201,"Product 2201","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
2208,"Product 2208","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
2214,"Product 2214","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
2240,"Product 2240","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
2249,"Product 2249","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
2250,"Product 2250","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
2253,"Product 2253","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
2259,"Product 2259","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
2263,"Product 2263","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
2268,"Product 2268","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
2269,"Product 2269","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
2270,"Product 2270","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
2271,"Product 2271","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
2272,"Product 2272","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
2273,"Product 2273","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
2274,"Product 2274","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
2276,"Product 2276","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
2279,"Product 2279","Wheat Flour","Food","https://powerbiexperience.com/arquivos/FotosProdutos/farinha.jpg"
