ProductSubcategoryKey,SubcategoryName,ProductCategoryKey,Category name
1,"Mountain Bikes",1,"Bike"
2,"Road Bikes",1,"Bike"
3,"Touring Bikes",1,"Bike"
4,"Handlebars",2,"components"
5,"Bottom Brackets",2,"components"
6,"Brakes",2,"components"
7,"Chains",2,"components"
8,"Cranksets",2,"components"
9,"Derailleurs",2,"components"
10,"Forks",2,"components"
11,"Headsets",2,"components"
12,"Mountain Frames",2,"components"
13,"Pedals",2,"components"
14,"Road Frames",2,"components"
15,"Saddles",2,"components"
16,"Touring Frames",2,"components"
17,"Wheels",2,"components"
18,"Bib-Shorts",3,"clothing"
19,"Caps",3,"clothing"
20,"Gloves",3,"clothing"
21,"Jerseys",3,"clothing"
22,"Shorts",3,"clothing"
23,"Socks",3,"clothing"
24,"Tights",3,"clothing"
25,"Vests",3,"clothing"
26,"Bike Racks",4,"accessories"
27,"Bike Stands",4,"accessories"
28,"Bottles and Cages",4,"accessories"
29,"Cleaners",4,"accessories"
30,"Fenders",4,"accessories"
31,"Helmets",4,"accessories"
32,"Hydration Packs",4,"accessories"
33,"Lights",4,"accessories"
34,"Locks",4,"accessories"
35,"Panniers",4,"accessories"
36,"Pumps",4,"accessories"
37,"Tires and Tubes",4,"accessories"
