Date,MonthShort,Year,MonthNumber,CustomMonthNum,Month Name,Quarter,Week of Year,Day Name,Period,Fiscal Period,Fiscal Year,Fiscal Quarter,FYQtr Round Up,Merged
2021-07-01 00:00:00.000,"Jul",2021,7,"07","July",3,27,"Thursday","Jul-2021","10","2020",3.3333333333333335,4,"Q4-2020"
2021-07-31 00:00:00.000,"Jul",2021,7,"07","July",3,31,"Saturday","Jul-2021","10","2020",3.3333333333333335,4,"Q4-2020"
2021-07-30 00:00:00.000,"Jul",2021,7,"07","July",3,31,"Friday","Jul-2021","10","2020",3.3333333333333335,4,"Q4-2020"
2021-07-29 00:00:00.000,"Jul",2021,7,"07","July",3,31,"Thursday","Jul-2021","10","2020",3.3333333333333335,4,"Q4-2020"
2021-07-28 00:00:00.000,"Jul",2021,7,"07","July",3,31,"Wednesday","Jul-2021","10","2020",3.3333333333333335,4,"Q4-2020"
2021-07-27 00:00:00.000,"Jul",2021,7,"07","July",3,31,"Tuesday","Jul-2021","10","2020",3.3333333333333335,4,"Q4-2020"
2021-07-26 00:00:00.000,"Jul",2021,7,"07","July",3,31,"Monday","Jul-2021","10","2020",3.3333333333333335,4,"Q4-2020"
2021-07-25 00:00:00.000,"Jul",2021,7,"07","July",3,31,"Sunday","Jul-2021","10","2020",3.3333333333333335,4,"Q4-2020"
2021-07-24 00:00:00.000,"Jul",2021,7,"07","July",3,30,"Saturday","Jul-2021","10","2020",3.3333333333333335,4,"Q4-2020"
2021-07-23 00:00:00.000,"Jul",2021,7,"07","July",3,30,"Friday","Jul-2021","10","2020",3.3333333333333335,4,"Q4-2020"
2021-07-22 00:00:00.000,"Jul",2021,7,"07","July",3,30,"Thursday","Jul-2021","10","2020",3.3333333333333335,4,"Q4-2020"
2021-07-21 00:00:00.000,"Jul",2021,7,"07","July",3,30,"Wednesday","Jul-2021","10","2020",3.3333333333333335,4,"Q4-2020"
2021-07-20 00:00:00.000,"Jul",2021,7,"07","July",3,30,"Tuesday","Jul-2021","10","2020",3.3333333333333335,4,"Q4-2020"
2021-07-19 00:00:00.000,"Jul",2021,7,"07","July",3,30,"Monday","Jul-2021","10","2020",3.3333333333333335,4,"Q4-2020"
2021-07-18 00:00:00.000,"Jul",2021,7,"07","July",3,30,"Sunday","Jul-2021","10","2020",3.3333333333333335,4,"Q4-2020"
2021-07-17 00:00:00.000,"Jul",2021,7,"07","July",3,29,"Saturday","Jul-2021","10","2020",3.3333333333333335,4,"Q4-2020"
2021-07-15 00:00:00.000,"Jul",2021,7,"07","July",3,29,"Thursday","Jul-2021","10","2020",3.3333333333333335,4,"Q4-2020"
2021-07-14 00:00:00.000,"Jul",2021,7,"07","July",3,29,"Wednesday","Jul-2021","10","2020",3.3333333333333335,4,"Q4-2020"
2021-07-13 00:00:00.000,"Jul",2021,7,"07","July",3,29,"Tuesday","Jul-2021","10","2020",3.3333333333333335,4,"Q4-2020"
2021-07-12 00:00:00.000,"Jul",2021,7,"07","July",3,29,"Monday","Jul-2021","10","2020",3.3333333333333335,4,"Q4-2020"
2021-07-11 00:00:00.000,"Jul",2021,7,"07","July",3,29,"Sunday","Jul-2021","10","2020",3.3333333333333335,4,"Q4-2020"
2021-07-10 00:00:00.000,"Jul",2021,7,"07","July",3,28,"Saturday","Jul-2021","10","2020",3.3333333333333335,4,"Q4-2020"
2021-07-09 00:00:00.000,"Jul",2021,7,"07","July",3,28,"Friday","Jul-2021","10","2020",3.3333333333333335,4,"Q4-2020"
2021-07-08 00:00:00.000,"Jul",2021,7,"07","July",3,28,"Thursday","Jul-2021","10","2020",3.3333333333333335,4,"Q4-2020"
2021-07-07 00:00:00.000,"Jul",2021,7,"07","July",3,28,"Wednesday","Jul-2021","10","2020",3.3333333333333335,4,"Q4-2020"
2021-07-06 00:00:00.000,"Jul",2021,7,"07","July",3,28,"Tuesday","Jul-2021","10","2020",3.3333333333333335,4,"Q4-2020"
2021-07-05 00:00:00.000,"Jul",2021,7,"07","July",3,28,"Monday","Jul-2021","10","2020",3.3333333333333335,4,"Q4-2020"
2021-07-04 00:00:00.000,"Jul",2021,7,"07","July",3,28,"Sunday","Jul-2021","10","2020",3.3333333333333335,4,"Q4-2020"
2021-07-03 00:00:00.000,"Jul",2021,7,"07","July",3,27,"Saturday","Jul-2021","10","2020",3.3333333333333335,4,"Q4-2020"
2021-07-02 00:00:00.000,"Jul",2021,7,"07","July",3,27,"Friday","Jul-2021","10","2020",3.3333333333333335,4,"Q4-2020"
2021-07-16 00:00:00.000,"Jul",2021,7,"07","July",3,29,"Friday","Jul-2021","10","2020",3.3333333333333335,4,"Q4-2020"
2021-08-28 00:00:00.000,"Aug",2021,8,"08","August",3,35,"Saturday","Aug-2021","11","2020",3.6666666666666665,4,"Q4-2020"
2021-08-25 00:00:00.000,"Aug",2021,8,"08","August",3,35,"Wednesday","Aug-2021","11","2020",3.6666666666666665,4,"Q4-2020"
2021-08-24 00:00:00.000,"Aug",2021,8,"08","August",3,35,"Tuesday","Aug-2021","11","2020",3.6666666666666665,4,"Q4-2020"
