ProductKey,OrderDateKey,DueDateKey,ShipDateKey,ResellerKey,EmployeeKey,PromotionKey,CurrencyKey,SalesTerritoryKey,SalesOrderNumber,SalesOrderLineNumber,RevisionNumber,OrderQuantity,UnitPrice,ExtendedAmount,UnitPriceDiscountPct,DiscountAmount,ProductStandardCost,TotalProductCost,SalesAmount,TaxAmt,Freight,CarrierTrackingNumber,CustomerPONumber,OrderDate,DueDate,ShipDate
267,20120129,20120210,20120205,317,291,1,19,6,SO47013,12,1,1,202.332,202.332,0.0,0.0,187.1571,187.1571,202.332,16.1866,5.0583,4AB0-4FA0-95,PO1827132360,2012-01-29 00:00:00.000,2012-02-10 00:00:00.000,2012-02-05 00:00:00.000
360,20121128,20121210,20121205,75,281,1,100,4,SO50747,2,1,2,1229.4589,2458.9178,0.0,0.0,1105.81,2211.62,2458.9178,196.7134,61.4729,A59F-46DA-BE,PO5597196496,2012-11-28 00:00:00.000,2012-12-10 00:00:00.000,2012-12-05 00:00:00.000
471,20131129,20131211,20131206,539,283,1,100,2,SO71894,4,1,6,38.1,228.6,0.0,0.0,23.749,142.494,228.6,18.288,5.715,8013-4FC0-B4,PO7685115663,2013-11-29 00:00:00.000,2013-12-11 00:00:00.000,2013-12-06 00:00:00.000
461,20120330,20120411,20120406,221,287,1,100,4,SO47720,42,1,2,53.994,107.988,0.0,0.0,37.1209,74.2418,107.988,8.639,2.6997,30D0-4EF0-B1,PO7859164121,2012-03-30 00:00:00.000,2012-04-11 00:00:00.000,2012-04-06 00:00:00.000
436,20130128,20130209,20130204,70,290,1,98,10,SO51811,1,1,1,356.898,356.898,0.0,0.0,360.9428,360.9428,356.898,28.5518,8.9225,1B4C-45BC-B2,PO8381113111,2013-01-28 00:00:00.000,2013-02-09 00:00:00.000,2013-02-04 00:00:00.000
453,20120430,20120512,20120507,403,282,1,100,4,SO48080,36,1,5,35.994,179.97,0.0,0.0,24.7459,123.7295,179.97,14.3976,4.4993,4DC7-4772-87,PO7656157590,2012-04-30 00:00:00.000,2012-05-12 00:00:00.000,2012-05-07 00:00:00.000
353,20130630,20130712,20130707,196,288,1,98,10,SO61229,40,1,2,1391.994,2783.988,0.0,0.0,1265.6195,2531.239,2783.988,222.719,69.5997,AC88-46DA-A3,PO10324197030,2013-06-30 00:00:00.000,2013-07-12 00:00:00.000,2013-07-07 00:00:00.000
233,20120430,20120512,20120507,2,289,1,100,1,SO47997,1,1,3,28.8404,86.5212,0.0,0.0,29.0807,87.2421,86.5212,6.9217,2.163,2B6D-4DAC-9A,PO14558139554,2012-04-30 00:00:00.000,2012-05-12 00:00:00.000,2012-05-07 00:00:00.000
463,20131129,20131211,20131206,408,284,1,19,6,SO71808,4,1,1,14.694,14.694,0.0,0.0,9.1593,9.1593,14.694,1.1755,0.3674,2E63-4616-B1,PO14761198562,2013-11-29 00:00:00.000,2013-12-11 00:00:00.000,2013-12-06 00:00:00.000
295,20130430,20130512,20130507,345,281,1,100,4,SO57128,1,1,4,818.7,3274.8,0.0,0.0,747.2002,2988.8008,3274.8,261.984,81.87,52E0-4277-80,PO6525176590,2013-04-30 00:00:00.000,2013-05-12 00:00:00.000,2013-05-07 00:00:00.000
325,20120530,20120611,20120606,461,291,1,19,6,SO48339,18,1,5,469.794,2348.97,0.0,0.0,486.7066,2433.533,2348.97,187.9176,58.7243,EAB2-42EA-9C,PO10614150674,2012-05-30 00:00:00.000,2012-06-11 00:00:00.000,2012-06-06 00:00:00.000
388,20130430,20130512,20130507,479,291,1,19,6,SO57093,6,1,1,672.294,672.294,0.0,0.0,713.0798,713.0798,672.294,53.7835,16.8074,2F7C-4AF6-8B,PO18705165751,2013-04-30 00:00:00.000,2013-05-12 00:00:00.000,2013-05-07 00:00:00.000
356,20121028,20121109,20121104,546,282,1,100,3,SO50322,39,1,4,1242.8518,4971.4072,0.0,0.0,1117.8559,4471.4236,4971.4072,397.7126,124.2852,4BC2-4C6D-83,PO8845166508,2012-10-28 00:00:00.000,2012-11-09 00:00:00.000,2012-11-04 00:00:00.000
