ProductID,Products,RetailPrice,CategoryID,SupplierID,Category,Supplier
1,"Quad",43.95,3,"GB","Freestyle","Gel Boomerangs"
6,"Carlota",23.95,3,"GB","Freestyle","Gel Boomerangs"
4,"Bellen",26.95,1,"GB","Beginner","Gel Boomerangs"
2,"Yanaki",27.95,1,"CO","Beginner","Colorado Boomerangs"
5,"Aspen",24.95,1,"CO","Beginner","Colorado Boomerangs"
3,"Eagle",19.95,2,"CC","Advanced","Channel Craft"
7,"Sunshine",19.95,4,"GB","Competition","Gel Boomerangs"
8,"Sunset",22.95,4,"GB","Competition","Gel Boomerangs"
9,"Beaut",35.95,5,"CO","Long Distance","Colorado Boomerangs"
10,"Kangaroo",25,2,"CC","Advanced","Channel Craft"
11,"Elevate",48.95,5,"GB","Long Distance","Gel Boomerangs"
12,"Flattop",25.95,2,"CO","Advanced","Colorado Boomerangs"
13,"Vrang",12.95,4,"DB","Competition","Darnell Booms"
14,"TriFly",21.95,3,"DB","Freestyle","Darnell Booms"
15,"NaturalElbow",35,4,"DB","Competition","Darnell Booms"
16,"LongRang",41,5,"CC","Long Distance","Channel Craft"
