Country,variable,value
AFG,1990,0.298
AGO,1990,
ALB,1990,0.644
AND,1990,
ARE,1990,0.723
ARG,1990,0.707
ARM,1990,0.633
ATG,1990,
AUS,1990,0.866
AUT,1990,0.795
AZE,1990,
BDI,1990,0.295
BEL,1990,0.806
BEN,1990,0.348
BFA,1990,
BGD,1990,0.388
BGR,1990,0.694
BHR,1990,0.736
BHS,1990,
BIH,1990,
BLR,1990,
BLZ,1990,0.613
BOL,1990,0.54
BRA,1990,0.613
BRB,1990,0.732
BRN,1990,0.768
BTN,1990,
BWA,1990,0.57
CAF,1990,0.32
CAN,1990,0.85
CHE,1990,0.832
CHL,1990,0.703
CHN,1990,0.501
CIV,1990,0.391
CMR,1990,0.445
COD,1990,0.377
COG,1990,0.531
COL,1990,0.6
COM,1990,
CPV,1990,
CRI,1990,0.655
CUB,1990,0.676
CYP,1990,0.731
CZE,1990,0.73
DEU,1990,0.801
DJI,1990,
DMA,1990,
DNK,1990,0.799
DOM,1990,0.593
DZA,1990,0.578
ECU,1990,0.642
EGY,1990,0.546
ERI,1990,
ESP,1990,0.754
EST,1990,0.73
ETH,1990,
FIN,1990,0.784
FJI,1990,0.64
FRA,1990,0.78
FSM,1990,
GAB,1990,0.619
GBR,1990,0.775
GEO,1990,
GHA,1990,0.454
GIN,1990,0.278
GMB,1990,0.328
GNB,1990,
GNQ,1990,
GRC,1990,0.753
GRD,1990,
GTM,1990,0.477
GUY,1990,0.537
HKG,1990,0.781
HND,1990,0.508
HRV,1990,0.67
HTI,1990,0.412
HUN,1990,0.704
IDN,1990,0.525
IND,1990,0.431
IRL,1990,0.764
IRN,1990,0.577
IRQ,1990,0.574
ISL,1990,0.804
ISR,1990,0.792
ITA,1990,0.769
JAM,1990,0.641
JOR,1990,0.616
JPN,1990,0.816
KAZ,1990,0.69
KEN,1990,0.467
KGZ,1990,0.618
KHM,1990,0.384
KIR,1990,
KNA,1990,
KOR,1990,0.728
KWT,1990,0.712
LAO,1990,0.399
LBN,1990,
LBR,1990,
LBY,1990,0.676
LCA,1990,
LIE,1990,
LKA,1990,0.625
LSO,1990,0.488
LTU,1990,0.732
LUX,1990,0.79
LVA,1990,0.698
MAR,1990,0.458
MDA,1990,0.653
MDG,1990,
MDV,1990,
MEX,1990,0.652
MHL,1990,
MKD,1990,
MLI,1990,0.231
MLT,1990,0.744
MMR,1990,0.349
MNE,1990,
MNG,1990,0.583
MOZ,1990,0.217
MRT,1990,0.378
MUS,1990,0.62
MWI,1990,0.303
MYS,1990,0.644
NAM,1990,0.579
NER,1990,0.213
NGA,1990,
NIC,1990,0.494
NLD,1990,0.83
NOR,1990,0.85
NPL,1990,0.38
NZL,1990,0.82
OMN,1990,
PAK,1990,0.404
PAN,1990,0.659
PER,1990,0.613
PHL,1990,0.59
PLW,1990,
PNG,1990,0.377
POL,1990,0.712
PRT,1990,0.711
PRY,1990,0.588
PSE,1990,
QAT,1990,0.757
ROU,1990,0.701
RUS,1990,0.734
RWA,1990,0.245
SAU,1990,0.698
SDN,1990,0.332
SEN,1990,0.377
SGP,1990,0.718
SLB,1990,
SLE,1990,0.27
SLV,1990,0.529
SRB,1990,0.706
SSD,1990,
STP,1990,0.437
SUR,1990,
SVK,1990,0.739
SVN,1990,0.829
SWE,1990,0.816
SWZ,1990,0.545
SYC,1990,
SYR,1990,0.558
TCD,1990,
TGO,1990,0.405
THA,1990,0.574
TJK,1990,0.603
TKM,1990,
TLS,1990,
TON,1990,0.645
TTO,1990,0.667
TUN,1990,0.569
TUR,1990,0.579
TZA,1990,0.373
UGA,1990,0.312
UKR,1990,0.705
URY,1990,0.692
USA,1990,0.86
UZB,1990,
VCT,1990,
VEN,1990,0.638
VNM,1990,0.475
VUT,1990,
WSM,1990,0.621
YEM,1990,0.392
ZAF,1990,0.625
ZMB,1990,0.424
ZWE,1990,0.498
AFG,1991,0.304
AGO,1991,
ALB,1991,0.625
AND,1991,
ARE,1991,0.735
ARG,1991,0.714
ARM,1991,0.629
ATG,1991,
AUS,1991,0.867
AUT,1991,0.799
AZE,1991,
BDI,1991,0.298
BEL,1991,0.81
BEN,1991,0.354
BFA,1991,
BGD,1991,0.395
BGR,1991,0.691
BHR,1991,0.755
BHS,1991,
BIH,1991,
BLR,1991,
BLZ,1991,0.618
BOL,1991,0.549
BRA,1991,0.62
BRB,1991,0.733
BRN,1991,0.773
BTN,1991,
BWA,1991,0.576
CAF,1991,0.314
CAN,1991,0.853
CHE,1991,0.834
CHL,1991,0.712
CHN,1991,0.509
CIV,1991,0.393
CMR,1991,0.442
COD,1991,0.371
COG,1991,0.53
COL,1991,0.603
COM,1991,
CPV,1991,
CRI,1991,0.661
CUB,1991,0.67
CYP,1991,0.733
CZE,1991,0.726
DEU,1991,0.809
DJI,1991,
DMA,1991,
DNK,1991,0.804
DOM,1991,0.597
DZA,1991,0.582
ECU,1991,0.645
EGY,1991,0.551
ERI,1991,
ESP,1991,0.764
EST,1991,0.725
ETH,1991,
FIN,1991,0.787
FJI,1991,0.645
FRA,1991,0.79
FSM,1991,
GAB,1991,0.623
GBR,1991,0.787
GEO,1991,
GHA,1991,0.459
GIN,1991,0.283
GMB,1991,0.335
GNB,1991,
GNQ,1991,
GRC,1991,0.763
GRD,1991,
GTM,1991,0.483
GUY,1991,0.533
HKG,1991,0.786
HND,1991,0.507
HRV,1991,0.665
HTI,1991,0.416
HUN,1991,0.702
IDN,1991,0.53
IND,1991,0.436
IRL,1991,0.767
IRN,1991,0.594
IRQ,1991,0.532
ISL,1991,0.817
ISR,1991,0.8
ITA,1991,0.774
JAM,1991,0.646
JOR,1991,0.627
JPN,1991,0.821
KAZ,1991,0.684
KEN,1991,0.465
KGZ,1991,0.611
KHM,1991,0.388
KIR,1991,
KNA,1991,
KOR,1991,0.739
KWT,1991,0.673
LAO,1991,0.404
LBN,1991,
LBR,1991,
LBY,1991,0.688
LCA,1991,
LIE,1991,
LKA,1991,0.63
LSO,1991,0.487
LTU,1991,0.728
LUX,1991,0.798
LVA,1991,0.693
MAR,1991,0.464
MDA,1991,0.642
MDG,1991,
MDV,1991,
MEX,1991,0.655
MHL,1991,
MKD,1991,
MLI,1991,0.238
MLT,1991,0.749
MMR,1991,0.357
MNE,1991,
MNG,1991,0.575
MOZ,1991,0.22
MRT,1991,0.383
MUS,1991,0.627
MWI,1991,0.31
MYS,1991,0.652
NAM,1991,0.582
NER,1991,0.217
NGA,1991,
NIC,1991,0.491
NLD,1991,0.834
NOR,1991,0.856
NPL,1991,0.388
NZL,1991,0.821
