ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,PromotionKey,CurrencyKey,SalesTerritoryKey,Sales Order Number,Sales Order Line Number,Revision Number,Order Quantity,Unit Price,Extended Amount,Unit Price Discount Pct,Discount Amount,Product Standard Cost,Total Product Cost,Sales Amount,Tax Amt,Freight,Carrier Tracking Number,Customer PO Number,Order Date,Due Date,Ship Date,TemperatureKey
310,20060511,20060523,20060518,12084,1,100,1,SO46180,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2006-05-11 00:00:00.000,2006-05-23 00:00:00.000,2006-05-18 00:00:00.000,Northwest5
225,20071014,20071026,20071021,24392,1,19,6,SO56115,2,1,1,8.99,8.99,0,0,6.9223,6.9223,8.99,0.7192,0.2248,,,2007-10-14 00:00:00.000,2007-10-26 00:00:00.000,2007-10-21 00:00:00.000,Canada10
222,20080322,20080403,20080329,24213,1,98,10,SO66694,2,1,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748,,,2008-03-22 00:00:00.000,2008-04-03 00:00:00.000,2008-03-29 00:00:00.000,United Kingdom3
479,20071201,20071213,20071208,19977,1,6,9,SO59123,3,1,1,8.99,8.99,0,0,3.3623,3.3623,8.99,0.7192,0.2248,,,2007-12-01 00:00:00.000,2007-12-13 00:00:00.000,2007-12-08 00:00:00.000,Australia12
477,20070724,20070805,20070731,19424,1,98,10,SO51548,2,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248,,,2007-07-24 00:00:00.000,2007-08-05 00:00:00.000,2007-07-31 00:00:00.000,United Kingdom7
537,20071029,20071110,20071105,11120,1,6,9,SO56903,2,1,1,35.0,35.0,0,0,13.09,13.09,35.0,2.8,0.875,,,2007-10-29 00:00:00.000,2007-11-10 00:00:00.000,2007-11-05 00:00:00.000,Australia10
378,20080115,20080127,20080122,17354,1,6,9,SO62139,1,1,1,2443.35,2443.35,0,0,1554.9479,1554.9479,2443.35,195.468,61.0838,,,2008-01-15 00:00:00.000,2008-01-27 00:00:00.000,2008-01-22 00:00:00.000,Australia1
541,20080624,20080706,20080701,23974,1,100,7,SO73680,1,1,1,28.99,28.99,0,0,10.8423,10.8423,28.99,2.3192,0.7248,,,2008-06-24 00:00:00.000,2008-07-06 00:00:00.000,2008-07-01 00:00:00.000,France6
311,20050711,20050723,20050718,13261,1,29,8,SO43737,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2005-07-11 00:00:00.000,2005-07-23 00:00:00.000,2005-07-18 00:00:00.000,Germany7
539,20071223,20080104,20071230,11711,1,19,6,SO60577,1,1,1,24.99,24.99,0,0,9.3463,9.3463,24.99,1.9992,0.6248,,,2007-12-23 00:00:00.000,2008-01-04 00:00:00.000,2007-12-30 00:00:00.000,Canada12
