ProductKey,ProductAlternateKey,ProductSubcategoryKey,Weight Unit Measure Code,Size Unit Measure Code,English Product Name,Spanish Product Name,French Product Name,Standard Cost,Finished Goods Flag,Color,Safety Stock Level,Reorder Point,List Price,Size,Size Range,Weight,Days To Manufacture,Product Line,Dealer Price,Class,Style,Model Name,Large Photo,English Description,French Description,Chinese Description,Arabic Description,Hebrew Description,Thai Description,German Description,Japanese Description,Turkish Description,Start Date,End Date,Status
1,"AR-5381","","","","Adjustable Race","","","",False,"NA",1000,750,"","","NA",,0,"","","","","","","","","","","","","","","",1998-06-01 00:00:00.000,"","Current"
2,"BA-8327","","","","Bearing Ball","","","",False,"NA",1000,750,"","","NA",,0,"","","","","","","","","","","","","","","",1998-06-01 00:00:00.000,"","Current"
12,"CR-9981","","","","Crown Race","","","",False,"NA",1000,750,"","","NA",,0,"","","","","","","","","","","","","","","",1998-06-01 00:00:00.000,"","Current"
14,"DC-8732","","","","Decal 1","","","",False,"NA",1000,750,"","","NA",,0,"","","","","","","","","","","","","","","",1998-06-01 00:00:00.000,"","Current"
15,"DC-9824","","","","Decal 2","","","",False,"NA",1000,750,"","","NA",,0,"","","","","","","","","","","","","","","",1998-06-01 00:00:00.000,"","Current"
22,"FW-1000","","","","Flat Washer 1","","","",False,"NA",1000,750,"","","NA",,0,"","","","","","","","","","","","","","","",1998-06-01 00:00:00.000,"","Current"
23,"FW-1200","","","","Flat Washer 6","","","",False,"NA",1000,750,"","","NA",,0,"","","","","","","","","","","","","","","",1998-06-01 00:00:00.000,"","Current"
24,"FW-1400","","","","Flat Washer 2","","","",False,"NA",1000,750,"","","NA",,0,"","","","","","","","","","","","","","","",1998-06-01 00:00:00.000,"","Current"
25,"FW-3400","","","","Flat Washer 9","","","",False,"NA",1000,750,"","","NA",,0,"","","","","","","","","","","","","","","",1998-06-01 00:00:00.000,"","Current"
26,"FW-3800","","","","Flat Washer 4","","","",False,"NA",1000,750,"","","NA",,0,"","","","","","","","","","","","","","","",1998-06-01 00:00:00.000,"","Current"
27,"FW-5160","","","","Flat Washer 3","","","",False,"NA",1000,750,"","","NA",,0,"","","","","","","","","","","","","","","",1998-06-01 00:00:00.000,"","Current"
28,"FW-5800","","","","Flat Washer 8","","","",False,"NA",1000,750,"","","NA",,0,"","","","","","","","","","","","","","","",1998-06-01 00:00:00.000,"","Current"
29,"FW-7160","","","","Flat Washer 5","","","",False,"NA",1000,750,"","","NA",,0,"","","","","","","","","","","","","","","",1998-06-01 00:00:00.000,"","Current"
30,"FW-9160","","","","Flat Washer 7","","","",False,"NA",1000,750,"","","NA",,0,"","","","","","","","","","","","","","","",1998-06-01 00:00:00.000,"","Current"
38,"HJ-1213","","","","Thin-Jam Hex Nut 9","","","",False,"NA",1000,750,"","","NA",,0,"","","","","","","","","","","","","","","",1998-06-01 00:00:00.000,"","Current"
