Player,Player Team,NO,Runs,Mat,Inns,HS,Ave,BF,SR,100,50,0,4s,6s,Outrate,BRPI,MRA
"KL Rahul","(Kings XI Punjab)",2,670,14,14,"132*",55.83,518,129.34,1,5,0,58,23,0.023166023166023165,26.428571428571427,0.42857142857142855
"S Dhawan","(Delhi Capitals)",3,618,17,17,"106*",44.14,427,144.73,2,4,4,67,12,0.032786885245901641,20,0.35294117647058826
"DA Warner","(Sunrisers Hyderabad)",2,548,16,16,"85*",39.14,407,134.64,0,4,0,52,14,0.0343980343980344,18.25,0.25
"SS Iyer","(Delhi Capitals)",2,519,17,17,"88*",34.6,421,123.27,0,3,0,40,16,0.035629453681710214,15.058823529411764,0.17647058823529413
"Ishan Kishan","(Mumbai Indians)",4,516,14,13,"99",57.33,354,145.76,0,4,1,36,30,0.025423728813559324,24.923076923076923,0.30769230769230771
"Q de Kock","(Mumbai Indians)",2,503,16,16,"78*",35.92,358,140.5,0,4,1,46,22,0.039106145251396648,19.75,0.25
"SA Yadav","(Mumbai Indians)",3,480,16,15,"79*",40,331,145.01,0,4,2,61,11,0.036253776435045321,20.666666666666668,0.26666666666666666
"D Padikkal","(Royal Challengers Bangalore)",0,473,15,15,"74",31.53,379,124.8,0,5,0,51,8,0.0395778364116095,16.8,0.33333333333333331
"V Kohli","(Royal Challengers Bangalore)",4,466,15,15,"90*",42.36,384,121.35,0,3,0,23,11,0.028645833333333332,10.533333333333333,0.2
"AB de Villiers","(Royal Challengers Bangalore)",4,454,15,14,"73*",45.4,286,158.74,0,5,1,33,23,0.034965034965034968,19.285714285714285,0.35714285714285715
"F du Plessis","(Chennai Super Kings)",2,449,13,13,"87*",40.81,319,140.75,0,4,1,42,14,0.034482758620689655,19.384615384615383,0.30769230769230771
"Shubman Gill","(Kolkata Knight Riders)",1,440,14,14,"70*",33.84,373,117.96,0,3,0,44,9,0.034852546916890083,16.428571428571427,0.21428571428571427
"MK Pandey","(Sunrisers Hyderabad)",2,425,16,15,"83*",32.69,333,127.62,0,3,0,35,18,0.03903903903903904,16.533333333333335,0.2
"MA Agarwal","(Kings XI Punjab)",0,424,11,11,"106",38.54,271,156.45,1,2,0,44,15,0.040590405904059039,24.181818181818183,0.27272727272727271
