num_boletim,data_hora_boletim,numero_envolvido,condutor,codigo_severidade,desc_severidade,sexo,cinto_seguranca,Embreagues,Idade,nascimento,categoria_habilitacao,descricao_habilitacao,declaracao_obito,cod_severidade_antiga,especie_veiculo,pedestre,passageiro
"2017-012311710-001",2017-06-12 13:29:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",53,"12/07/1963","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-012324594-001",2017-06-12 17:11:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",28,"20/01/1989","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-012371529-001",2017-06-13 07:25:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",42,"24/10/1974","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-012379174-001",2017-06-13 11:05:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",59,"01/02/1958","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-012428805-001",2017-06-13 22:17:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",58,"03/02/1959","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-012428980-001",2017-06-13 22:34:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",42,"05/10/1974","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-012446982-001",2017-06-14 09:28:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",32,"15/04/1985","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-012500585-001",2017-06-14 17:06:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",27,"11/10/1989","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-012508315-001",2017-06-14 18:58:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",47,"13/02/1970","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
"2017-012513963-001",2017-06-14 21:13:00.000,1,"S",3,"SEM FERIMENTOS","M","SIM","NÃO",63,"05/03/1954","B","VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,"AUTOMOVEL","N","N"
