Status,OrderNo,Date,DateTime,Description,Total Amount
Booking confirmed,3949365270,2017-10-10 00:00:00.000,2017-10-10 20:14:00.000,Manjeet Kaur,468.28
Payment Failed,5686831930,2018-07-29 00:00:00.000,2018-07-29 16:37:00.000,Travel,4306
Payment Failed,5686857231,2018-07-29 00:00:00.000,2018-07-29 16:41:00.000,Travel,4306
Payment Failed,6028250604,2018-09-14 00:00:00.000,2018-09-14 16:54:00.000,Paytm Balance,2000
Payment Failed,6413730959,2018-10-31 00:00:00.000,2018-10-31 10:20:00.000,Paytm Balance,1000
Payment Failed,6413733250,2018-10-31 00:00:00.000,2018-10-31 10:20:00.000,Paytm Balance,500
Successful,1799963299,2016-06-10 00:00:00.000,2016-06-10 08:07:00.000,Paytm Cash,200
Successful,1845733191,2016-06-28 00:00:00.000,2016-06-28 17:24:00.000,Paytm Cash,100
Successful,1845742890,2016-06-28 00:00:00.000,2016-06-28 17:28:00.000,Paytm Cash,300
Successful,2228705344,2016-11-16 00:00:00.000,2016-11-16 17:06:00.000,Paytm Cash,400
Successful,2257647746,2016-11-23 00:00:00.000,2016-11-23 12:27:00.000,Paytm Cash,200
Successful,2276055930,2016-11-27 00:00:00.000,2016-11-27 11:11:00.000,Paytm Cash,500
Successful,2312003707,2016-12-03 00:00:00.000,2016-12-03 19:02:00.000,Paytm Cash,500
Successful,2407517835,2016-12-17 00:00:00.000,2016-12-17 17:15:00.000,Paytm Cash,1000
Successful,2455635788,2016-12-25 00:00:00.000,2016-12-25 06:54:00.000,Paytm Cash,500
Successful,2645959853,2017-01-26 00:00:00.000,2017-01-26 15:47:00.000,Paytm Cash,1000
Successful,2711434957,2017-02-08 00:00:00.000,2017-02-08 10:35:00.000,Paytm Cash,500
Successful,2739536569,2017-02-12 00:00:00.000,2017-02-12 22:17:00.000,Paytm Cash,777
Successful,2755787152,2017-02-15 00:00:00.000,2017-02-15 18:24:00.000,Paytm Cash,1000
Successful,2821072283,2017-02-27 00:00:00.000,2017-02-27 09:48:00.000,Paytm Cash,500
