ID_Estado,Estado_UF,Municipio,Valor_Total,ID_Local
1,"MG","SANTA MARIA DO SALTO","100.100,00",2
2,"AP","SERRA DO NAVIO","68.200,12",25
3,"RN","CAMPO REDONDO","180.400,00",17
4,"MS","CHAPADÃO DO SUL","500.500,00",18
5,"MG","RIO PARANAÍBA","194.700,00",2
6,"RO","CORUMBIARA","75.900,00",21
7,"PA","SANTA MARIA DO PARÁ","619.300,00",12
8,"AM","ITACOATIARA","3.711.400,00",15
9,"PI","BOCAINA","72.600,00",20
10,"RS","MARIANA PIMENTEL","74.800,00",18
11,"GO","SANTA TEREZINHA DE GOIÁS","448.800,00",9
12,"MG","FRANCISCO BADARÓ","160.970,70",2
13,"CE","MORADA NOVA","1.991.000,00",8
14,"RS","NOVA HARTZ","261.604,20",4
15,"SC","PIRATUBA","57.200,00",7
16,"PI","CURRALINHOS","9.900,00",20
17,"PR","CRUZEIRO DO OESTE","684.200,50",3
18,"MA","MIRANDA DO NORTE","551.100,00",19
19,"SC","CAMPOS NOVOS","756.800,88",7
20,"RN","SÃO JOÃO DO SABUGI","75.900,00",17
21,"RN","CAIÇARA DO NORTE","49.500,00",17
22,"BA","BARREIRAS","4.518.800,11",6
23,"SP","SÃO PAULO","231.496.211,94",1
24,"MG","RIO MANSO","45.100,00",2
25,"PB","SERTÃOZINHO","28.600,00",16
26,"MG","RIO PARDO DE MINAS","793.100,00",2
27,"BA","ITAPICURU","475.200,50",6
28,"MG","ARAGUARI","3.018.400,00",2
29,"BA","ACAJUTIBA","684.200,00",6
30,"GO","TURVELÂNDIA","56.100,00",9
31,"PR","RENASCENÇA","94.600,00",3
32,"AC","CAPIXABA","126.500,00",27
33,"MS","RIO BRILHANTE","1.015.300,00",18
34,"SC","MONTE CASTELO","123.200,00",7
35,"MT","NOVA BRASILÂNDIA","176.000,00",13
36,"RS","QUATRO IRMÃOS","22.000,00",4
37,"MG","LAGAMAR","144.100,00",2
38,"MA","VILA NOVA DOS MARTÍRIOS","225.500,00",19
39,"PI","ALEGRETE DO PIAUÍ","53.900,00",20
40,"BA","LAJEDÃO","261.800,00",6
41,"ES","FUNDÃO","333.300,00",10
42,"MG","MIRAVÂNIA","62.700,00",2
43,"SP","APARECIDA","1.266.100,00",1
44,"CE","MORADA NOVA","3.400,00",8
45,"BA","BARREIRAS","31.450,00",6
46,"MG","MIRAVANIA","164.900,00",2
47,"MG","SABARA","2.607.000,83",2
48,"BA","PALMEIRAS","297.000,00",6
49,"PE","IBIRAJUBA","108.900,00",11
50,"SC","CUNHA PORÃ","107.800,00",7
