Product Number,Product Name,Liter Conversion Rate,Plan Product
"202000200004","Product A","0.237","TRUE"
"202000600006","Product B","1","FALSE"
"202002300028","Product C","0.22","FALSE"
"202002300027","Product D","0.125","FALSE"
"202002400002","Product E","0.22","FALSE"
"202002400003","Product F","0.22","FALSE"
"202001000003","Product G","1","FALSE"
"202001300002","Product H","0.22","FALSE"
"202000900020","Product I","1.79664","FALSE"
"202002300029","Product J","1","FALSE"
"202002300030","Product K","1","FALSE"
"202000200006","Product L","0.237","TRUE"
"202000200005","Product M","0.237","TRUE"
"202000200007","Product N","0.22","TRUE"
"202002400004","Product O","4.32","FALSE"
"202000700021","Product P","0.5","FALSE"
"202002400006","Product Q","0.5","FALSE"
