Column1,Game Name,Average Players,Monthly Peak,Achievements,Categories,Cluster,Release Date,Genres,Positive Ratings,Negative Ratings,Average Playtime,Indie,Years Released,Cluster - Copy
993,"Alpha Protocol",24.9599029126214,72.8543689320388,0,"Single-player","Decay",2010-05-27 00:00:00.000,"Action",3113,785,267,0,10.9,4
1356,"Antichamber",56.2564356435644,245.732673267327,0,"Single-player","Decay",2013-01-31 00:00:00.000,"Adventure",12232,612,176,1,8.2,4
1530,"Art of War: Red Tides",150.465510204082,321.408163265306,0,"Single-player","Decay",2016-12-22 00:00:00.000,"Violent",4858,1169,345,1,4.3,4
1672,"Assassin's Creed Syndicate",497.709523809524,1310.92063492063,0,"Single-player","Decay",2015-11-18 00:00:00.000,"Action",7203,2391,564,0,5.4,4
1823,"Assetto Corsa Competizione",879.749310344828,2713.89655172414,0,"Single-player","Decay",2018-09-12 00:00:00.000,"Racing",1744,278,0,0,2.6,4
2035,"Aura Kingdom",520.593703703704,818.148148148148,0,"Single-player","Decay",2014-07-01 00:00:00.000,"Adventure",5666,1533,485,0,6.8,4
2781,"Beat Saber",1404.73914285714,3736.74285714286,0,"Single-player","Decay",2018-05-01 00:00:00.000,"Early Access",11083,797,1204,1,2.9,4
2816,"BEEP",10.38,85.9417475728155,0,"Single-player","Decay",2011-05-06 00:00:00.000,"Adventure",4036,731,140,1,9.9,4
4015,"Brick Rigs",434.210196078431,922.352941176471,0,"Single-player","Decay",2016-11-07 00:00:00.000,"Simulation",3207,636,1683,0,4.4,4
4261,"Bully: Scholarship Edition",107.297961165049,316.776699029126,0,"Single-player","Decay",2008-10-21 00:00:00.000,"Action",8504,1764,319,0,12.5,4
4415,"Car Mechanic Simulator 2014",34.8598823529412,142.2,0,"Single-player","Decay",2014-01-24 00:00:00.000,"Simulation",3333,743,128,0,7.2,4
4500,"Car Mechanic Simulator 2015",330.662253521127,934.718309859155,0,"Single-player","Decay",2015-04-23 00:00:00.000,"Racing",8238,827,680,0,6,4
4677,"Caster",6.79495145631068,64,0,"Single-player","Decay",2009-03-19 00:00:00.000,"Action",3277,868,120,1,12.1,4
5070,"Cell to Singularity - Evolution Never Ends",875.520384615385,1256.42307692308,0,"Single-player","Decay",2018-12-12 00:00:00.000,"Casual",471,119,0,0,2.3,4
5096,"Child of Light",88.3801204819277,317.433734939759,0,"Single-player","Decay",2014-04-29 00:00:00.000,"RPG",9980,747,605,0,7,4
5489,"Conqueror's Blade",2500.82210526316,7074.94736842105,0,"Single-player","Decay",2019-05-01 00:00:00.000,"Action",259,235,0,0,1.9,4
6122,"Cry of Fear",136.991170212766,302.255319148936,0,"Single-player","Decay",2013-04-25 00:00:00.000,"Action",20990,3497,3830,1,8,4
6295,"Crysis",87.0055339805825,283.038834951456,0,"Single-player","Decay",2008-09-17 00:00:00.000,"Action",6075,1277,313,0,12.6,4
6945,"Dead Bits",60.67875,998.05,0,"Single-player","Decay",2014-06-07 00:00:00.000,"Action",4845,3470,272,1,6.8,4
7073,"Dead Space",116.353009708738,321.52427184466,0,"Single-player","Decay",2009-01-09 00:00:00.000,"Action",9136,1049,295,0,12.3,4
8589,"Dragon Age: Origins",216.609514563107,497.194174757282,0,"Single-player","Decay",2009-11-05 00:00:00.000,"RPG",6207,468,2061,0,11.4,4
8692,"Dragon Age: Origins - Ultimate Edition",664.364854368932,1534.65048543689,0,"Single-player","Decay",2010-10-29 00:00:00.000,"RPG",8808,726,686,0,10.5,4
9205,"Enclave",44.4818181818182,972.284090909091,0,"Single-player","Decay",2013-10-04 00:00:00.000,"RPG",4076,1139,213,0,7.5,4
9293,"Endless Sky",116.51873015873,211.174603174603,0,"Single-player","Decay",2015-10-30 00:00:00.000,"Action",3420,366,33,0,5.5,4
9629,"Eternal Senia",20.3560294117647,51.6029411764706,0,"Single-player","Decay",2015-06-18 00:00:00.000,"Action",10106,227,15961,1,5.8,4
9697,"Euro Truck Simulator",29.0198947368421,92.6315789473684,0,"Single-player","Decay",2013-03-08 00:00:00.000,"Simulation",3772,973,315,1,8.1,4
10113,"F.E.A.R.",52.0578640776699,159.116504854369,0,"Single-player","Decay",2010-05-21 00:00:00.000,"Action",6371,438,389,0,10.9,4
10216,"Fable - The Lost Chapters",99.0101941747573,277.029126213592,0,"Single-player","Decay",2011-12-19 00:00:00.000,"Action",4384,364,494,0,9.3,4
10475,"Fallout 3",127.017281553398,305.165048543689,0,"Single-player","Decay",2008-10-28 00:00:00.000,"RPG",9921,2709,588,0,12.5,4
10790,"Far Cry",55.2712621359223,156.611650485437,0,"Single-player","Decay",2008-04-01 00:00:00.000,"Action",3099,609,126,0,13,4
10893,"Far Cry New Dawn",870.246666666667,2107.58333333333,0,"Single-player","Decay",2019-02-15 00:00:00.000,"Action",2755,1161,1597,0,2.2,4
10917,"Far Cry Primal",459.411016949153,1325.81355932203,0,"Single-player","Decay",2016-02-29 00:00:00.000,"Action",8428,2633,949,0,5.1,4
11577,"Five Nights at Freddy's",77.3047435897436,197.410256410256,0,"Single-player","Decay",2014-08-19 00:00:00.000,"Simulation",15784,2179,474,1,6.6,4
11655,"Five Nights at Freddy's 2",40.7522666666667,98.68,0,"Single-player","Decay",2014-11-10 00:00:00.000,"Indie",8032,851,171,1,6.4,4
11730,"Five Nights at Freddy's 3",15.1654929577465,41.1408450704225,0,"Single-player","Decay",2015-03-02 00:00:00.000,"Action",4917,678,133,1,6.1,4
11801,"Five Nights at Freddy's 4",15.4470149253731,58.6417910447761,0,"Single-player","Decay",2015-07-23 00:00:00.000,"Action",6348,507,139,1,5.7,4
11868,"Five Nights at Freddy's: Sister Location",48.1507547169811,170.283018867925,0,"Single-player","Decay",2016-10-07 00:00:00.000,"Action",4763,491,100,1,4.5,4
11921,"FlatOut 2",54.2311650485437,159.019417475728,0,"Single-player","Decay",2006-12-21 00:00:00.000,"Racing",5438,343,293,0,14.3,4
12024,"Floating Point",10.15925,37.5875,0,"Single-player","Decay",2014-06-06 00:00:00.000,"Casual",3262,139,7076,1,6.9,4
12104,"Foundation",501.6264,1299.2,0,"Single-player","Decay",2019-02-01 00:00:00.000,"Simulation",1228,386,219,1,2.2,4
12195,"Freddy Fazbear's Pizzeria Simulator",128.367631578947,277.078947368421,0,"Single-player","Decay",2017-12-04 00:00:00.000,"Free to Play",7846,580,100,1,3.4,4
12671,"Garfield Kart",36.88328125,63.15625,0,"Single-player","Decay",2015-10-16 00:00:00.000,"Racing",4262,598,41,0,5.5,4
13229,"GORN",88.8948837209302,355.883720930233,0,"Single-player","Decay",2017-07-10 00:00:00.000,"Action",3357,124,394,1,3.8,4
13314,"Gothic II: Gold Edition",97.2223300970874,235.436893203883,0,"Single-player","Decay",2010-01-13 00:00:00.000,"Action",3809,475,102,0,11.2,4
13417,"Granado Espada",1164.86425,1445.475,0,"Single-player","Decay",2017-10-15 00:00:00.000,"Free to Play",181,124,44,0,3.5,4
13457,"Grand Theft Auto III",67.6049514563107,171.242718446602,0,"Single-player","Decay",2008-01-04 00:00:00.000,"Action",4718,750,98,0,13.3,4
13560,"Grand Theft Auto: San Andreas",724.132233009709,1525.84466019417,0,"Single-player","Decay",2008-01-04 00:00:00.000,"Action",26877,3243,807,0,13.3,4
13663,"Grand Theft Auto: Vice City",179.598155339806,400.174757281553,0,"Single-player","Decay",2011-01-10 00:00:00.000,"Action",9817,819,209,0,10.3,4
13796,"Green Hell",1356.1924137931,3854.20689655172,0,"Single-player","Decay",2018-08-29 00:00:00.000,"Simulation",2767,516,663,1,2.6,4
14568,"Half-Life 2: Lost Coast",19.478932038835,50.1456310679612,0,"Single-player","Decay",2005-10-27 00:00:00.000,"Action",5783,1020,46,0,15.5,4
14682,"Half-Life: Blue Shift",38.0420388349515,88.9611650485437,0,"Single-player","Decay",2001-06-01 00:00:00.000,"Action",3822,420,361,0,19.9,4
14785,"Half-Life: Source",54.1544660194175,144.854368932039,0,"Single-player","Decay",2004-06-01 00:00:00.000,"Action",3767,1053,190,0,16.9,4
15626,"Hitman: Blood Money",93.1466990291262,242.932038834951,0,"Single-player","Decay",2007-03-15 00:00:00.000,"Action",5864,391,435,0,14.1,4
15729,"Holdfast: Nations At War",255.075531914894,987.872340425532,0,"Single-player","Decay",2017-09-21 00:00:00.000,"Action",4354,741,1560,1,3.6,4
17473,"Kenshi",1271.83894736842,2086.93684210526,0,"Single-player","Decay",2018-12-06 00:00:00.000,"Action",9512,1171,1756,1,2.3,4
18675,"Little Inferno",45.9230303030303,191.020202020202,0,"Single-player","Decay",2012-11-19 00:00:00.000,"Adventure",6403,459,177,1,8.4,4
19316,"Lucy -The Eternity She Wished For-",12.5315254237288,47.728813559322,0,"Single-player","Decay",2016-02-28 00:00:00.000,"Casual",5341,238,213,1,5.1,4
19885,"Mass Effect",376.894368932039,954.980582524272,0,"Single-player","Decay",2008-12-19 00:00:00.000,"Action",10107,666,612,0,12.3,4
19988,"Mass Effect 2",413.387378640777,892.26213592233,0,"Single-player","Decay",2010-01-28 00:00:00.000,"RPG",10675,542,1087,0,11.2,4
20091,"Material Girl",64.3488636363636,225.068181818182,0,"Single-player","Decay",2017-06-20 00:00:00.000,"Adventure",6922,648,221,1,3.8,4
20135,"Max Payne",33.9826213592233,104.543689320388,0,"Single-player","Decay",2008-01-04 00:00:00.000,"Action",3926,435,316,0,13.3,4
20925,"Mirror's Edge",138.047378640777,461.47572815534,0,"Single-player","Decay",2009-01-14 00:00:00.000,"Action",17880,2341,260,0,12.2,4
21212,"Mount & Blade",136.011067961165,315.805825242718,0,"Single-player","Decay",2008-11-03 00:00:00.000,"RPG",3205,291,415,1,12.4,4
22754,"Osiris: New Dawn",155.783962264151,535.528301886792,0,"Single-player","Decay",2016-09-28 00:00:00.000,"Action",6333,3149,418,1,4.5,4
23026,"Overgrowth",37.0154651162791,106.53488372093,0,"Single-player","Decay",2017-10-16 00:00:00.000,"Action",3200,1315,777,1,3.5,4
23112,"Overlord",55.5520388349515,203.04854368932,0,"Single-player","Decay",2009-11-12 00:00:00.000,"RPG",3439,276,304,0,11.4,4
24075,"Plug & Play",1.6356338028169,9.56338028169014,0,"Single-player","Decay",2015-03-05 00:00:00.000,"Adventure",3065,588,18,1,6.1,4
24482,"Post Scriptum",560.683939393939,1789.75757575758,0,"Single-player","Decay",2018-08-09 00:00:00.000,"Action",2889,1556,607,1,2.7,4
24808,"Prototype",59.2422330097087,195.611650485437,0,"Single-player","Decay",2009-06-12 00:00:00.000,"Action",3702,904,645,0,11.8,4
25450,"Ravenfield",608.739333333333,1133.68888888889,0,"Single-player","Decay",2017-05-18 00:00:00.000,"Action",9119,569,2095,1,3.9,4
25607,"Recettear: An Item Shop's Tale",65.7140776699029,204.504854368932,0,"Single-player","Decay",2010-09-10 00:00:00.000,"RPG",5047,183,764,1,10.6,4
26194,"Risen",104.56786407767,312.126213592233,0,"Single-player","Decay",2009-10-02 00:00:00.000,"RPG",3848,585,994,0,11.5,4
26476,"RPG Maker MV",814.103125,1169.71875,0,"Single-player","Decay",2015-10-23 00:00:00.000,"Design & Illustration",2344,324,331,0,5.5,4
26540,"RPG Maker VX Ace",334.938415841584,644.871287128713,0,"Single-player","Decay",2012-12-10 00:00:00.000,"Design & Illustration",3372,210,405,0,8.3,4
26695,"Saints Row 2",178.998932038835,488.941747572816,0,"Single-player","Decay",2009-01-07 00:00:00.000,"Action",9442,2881,322,0,12.3,4
27064,"Sakura Clicker",254.610151515152,368.984848484848,0,"Single-player","Decay",2015-07-29 00:00:00.000,"Sexual Content",11952,2209,1055,1,5.7,4
27130,"Sakura Spirit",16.0663291139241,59.0506329113924,0,"Single-player","Decay",2014-07-09 00:00:00.000,"Sexual Content",5905,1567,311,1,6.8,4
27608,"Serena",4.11571428571429,46.9166666666667,0,"Single-player","Decay",2014-01-30 00:00:00.000,"Adventure",4593,1342,15924,1,7.2,4
27936,"Shadowrun Returns",230.779894736842,1097.66315789474,0,"Single-player","Decay",2013-07-25 00:00:00.000,"Adventure",8676,1132,278,1,7.7,4
28108,"Shakes and Fidget",1815.63220338983,3569,0,"Single-player","Decay",2016-02-24 00:00:00.000,"Adventure",6591,988,1752,1,5.1,4
28901,"Source Filmmaker",715.123106796117,1080.07766990291,0,"Single-player","Decay",2012-07-10 00:00:00.000,"Animation & Modeling",15083,1111,239,0,8.8,4
29372,"Spooky's Jump Scare Mansion",36.4758571428571,102.142857142857,0,"Single-player","Decay",2015-07-28 00:00:00.000,"Action",9030,725,7131,1,5.7,4
