Date,Game,Earnings,Players,Tournaments
2000-07-01 00:00:00.000,"Marvel vs. Capcom 2",0,3,1
2000-07-01 00:00:00.000,"Street Fighter Alpha 2",0,3,1
2000-07-01 00:00:00.000,"Street Fighter Alpha 3",0,3,1
2000-07-01 00:00:00.000,"Street Fighter III 3rd Strike",0,3,1
2000-07-01 00:00:00.000,"Super Street Fighter II Turbo",0,3,1
2000-10-01 00:00:00.000,"Doom II Hell on Earth",0,3,1
2001-08-01 00:00:00.000,"Capcom vs. SNK",0,3,1
2001-08-01 00:00:00.000,"Marvel vs. Capcom 2",0,3,1
2001-08-01 00:00:00.000,"Street Fighter Alpha 3",0,3,1
2001-08-01 00:00:00.000,"Super Street Fighter II Turbo",0,3,1
2002-04-01 00:00:00.000,"Super Smash Bros. Melee",0,3,1
2002-08-01 00:00:00.000,"Capcom vs. SNK 2",0,3,1
2002-08-01 00:00:00.000,"Marvel vs. Capcom 2",0,3,1
2002-08-01 00:00:00.000,"Super Street Fighter II Turbo",0,3,1
2003-08-01 00:00:00.000,"Capcom vs. SNK 2",0,3,1
2003-08-01 00:00:00.000,"Guilty Gear XX",0,3,1
2003-08-01 00:00:00.000,"Marvel vs. Capcom 2",0,3,1
2003-08-01 00:00:00.000,"Soul Calibur II",0,3,1
2003-08-01 00:00:00.000,"Street Fighter III 3rd Strike",0,3,1
2003-08-01 00:00:00.000,"Super Street Fighter II Turbo",0,3,1
2003-08-01 00:00:00.000,"Tekken 4",0,3,1
2003-08-01 00:00:00.000,"Tekken Tag Tournament",0,3,1
2003-08-01 00:00:00.000,"Virtua Fighter 4 Evolution",0,3,1
2004-08-01 00:00:00.000,"Capcom vs. SNK 2",0,3,1
2004-08-01 00:00:00.000,"Guilty Gear XX",0,3,1
2004-08-01 00:00:00.000,"Marvel vs. Capcom 2",0,3,1
2004-08-01 00:00:00.000,"Soul Calibur II",0,3,1
2004-08-01 00:00:00.000,"Street Fighter III 3rd Strike",0,3,1
2004-08-01 00:00:00.000,"Super Street Fighter II Turbo",0,3,1
2004-08-01 00:00:00.000,"Tekken 4",0,3,1
2004-08-01 00:00:00.000,"Tekken Tag Tournament",0,3,1
2004-08-01 00:00:00.000,"Virtua Fighter 4 Evolution",0,3,1
2005-03-01 00:00:00.000,"FIFA 05",0,3,1
2005-03-01 00:00:00.000,"Need for Speed Underground 2",0,3,1
2005-03-01 00:00:00.000,"Project Gotham Racing 2",0,3,1
2005-08-01 00:00:00.000,"Capcom vs. SNK 2",0,3,1
2005-08-01 00:00:00.000,"Guilty Gear XX #Reload",0,3,1
2005-08-01 00:00:00.000,"Marvel vs. Capcom 2",0,3,1
2005-08-01 00:00:00.000,"Street Fighter III 3rd Strike",0,3,1
2005-08-01 00:00:00.000,"Super Street Fighter II Turbo",0,3,1
2005-08-01 00:00:00.000,"Tekken Tag Tournament",0,3,1
2006-03-01 00:00:00.000,"Need for Speed Most Wanted",0,3,1
2007-12-01 00:00:00.000,"Super Smash Bros.",0,3,1
2008-10-01 00:00:00.000,"Capcom vs. SNK 2",0,3,1
2009-07-01 00:00:00.000,"Guilty Gear XX Accent Core Plus",0,3,1
2009-07-01 00:00:00.000,"Marvel vs. Capcom 2",0,3,1
2009-07-01 00:00:00.000,"Street Fighter IV",0,3,1
2009-07-01 00:00:00.000,"Super Street Fighter II Turbo HD Remix",0,3,1
2010-07-01 00:00:00.000,"Marvel vs. Capcom 2",0,3,1
2010-07-01 00:00:00.000,"Melty Blood Actress Again",0,3,1
2010-07-01 00:00:00.000,"Super Street Fighter II Turbo HD Remix",0,3,1
2010-07-01 00:00:00.000,"Tatsunoko vs. Capcom Ultimate All Stars",0,3,1
2010-07-01 00:00:00.000,"Tekken 6",0,3,1
2011-01-01 00:00:00.000,"Mortal Kombat vs. DC Universe",0,3,1
2011-01-01 00:00:00.000,"Super Street Fighter II Turbo HD Remix",0,3,1
2011-01-01 00:00:00.000,"Ultimate Mortal Kombat 3",0,3,1
2012-06-01 00:00:00.000,"Tekken 6",0,3,1
2012-07-01 00:00:00.000,"King of Fighters XIII",0,3,1
2012-07-01 00:00:00.000,"Mortal Kombat 9",0,3,1
2012-07-01 00:00:00.000,"Soul Calibur V",0,3,1
2012-07-01 00:00:00.000,"Ultimate Marvel vs. Capcom 3",0,3,1
2013-03-01 00:00:00.000,"TrackMania 2 Canyon",0,3,1
2013-05-01 00:00:00.000,"BlazBlue Continuum Shift Extend",0,3,1
2013-05-01 00:00:00.000,"Mortal Kombat 9",0,3,1
2013-11-01 00:00:00.000,"Persona 4 Arena",0,3,1
2013-11-01 00:00:00.000,"Street Fighter X Tekken",0,3,1
2014-11-01 00:00:00.000,"Just Dance 2014",0,3,1
2015-06-01 00:00:00.000,"BlazBlue Chronophantasma Extend",0,3,1
2016-05-01 00:00:00.000,"Tekken Tag Tournament 2",0,3,1
2018-08-01 00:00:00.000,"Clash Royale",0,3,1
2000-02-01 00:00:00.000,"Quake III Arena",4000,3,1
2000-08-01 00:00:00.000,"Quake III Arena",5750,3,1
2002-06-01 00:00:00.000,"Super Smash Bros. Melee",40,3,1
2002-07-01 00:00:00.000,"StarCraft Brood War",2000,3,1
2002-09-01 00:00:00.000,"Age of Empires",100,3,1
2003-03-01 00:00:00.000,"Super Smash Bros. Melee",12500,3,1
2003-04-01 00:00:00.000,"WarCraft III",15741.88,3,1
2003-08-01 00:00:00.000,"Unreal Tournament 2003",9457.36,3,1
2003-08-01 00:00:00.000,"FIFA 03",5066.44,3,1
2003-10-01 00:00:00.000,"Gran Turismo 3 A Spec",1500,3,1
2003-10-01 00:00:00.000,"Madden NFL 2004",1500,3,1
2003-10-01 00:00:00.000,"Soul Calibur II",1500,3,1
2004-09-01 00:00:00.000,"Super Smash Bros. Melee",1000,3,1
2004-10-01 00:00:00.000,"FIFA 04",40000,3,1
2004-10-01 00:00:00.000,"Unreal Tournament 2004",40000,3,1
2004-10-01 00:00:00.000,"Need for Speed Underground",35000,3,1
2004-10-01 00:00:00.000,"Project Gotham Racing 2",35000,3,1
2004-10-01 00:00:00.000,"Gran Turismo 3 A Spec",1750,3,1
2005-03-01 00:00:00.000,"Unreal Tournament 2004",13470.46,3,1
2005-04-01 00:00:00.000,"StarCraft Brood War",6913.61,3,1
2005-04-01 00:00:00.000,"WarCraft III",4364.5,3,1
2005-08-01 00:00:00.000,"Doom 3",50000,3,1
2005-08-01 00:00:00.000,"Quake II",20000,3,1
2005-08-01 00:00:00.000,"Need for Speed Underground 2",629.48,3,1
2005-09-01 00:00:00.000,"StarCraft Brood War",3500,3,1
2005-09-01 00:00:00.000,"Pro Evolution Soccer 4",550.64,3,1
2005-11-01 00:00:00.000,"FIFA 05",35000,3,1
2005-11-01 00:00:00.000,"Need for Speed Underground 2",35000,3,1
2005-11-01 00:00:00.000,"Warhammer 40,000 Dawn of War",35000,3,1
2005-11-01 00:00:00.000,"Dead or Alive Ultimate",30000,3,1
2005-12-01 00:00:00.000,"Live for Speed",1010.87,3,1
2006-06-01 00:00:00.000,"Age of Empires II",200,3,1
2006-07-01 00:00:00.000,"Project Gotham Racing 3",9000,3,1
2006-07-01 00:00:00.000,"Age of Empires II",153.54,3,1
2006-10-01 00:00:00.000,"Warhammer 40,000 Dawn of War",43000,3,1
2006-10-01 00:00:00.000,"FIFA 06",27000,3,1
2006-12-01 00:00:00.000,"Project Gotham Racing 3",35000,3,1
2006-12-01 00:00:00.000,"Quake 4",35000,3,1
2006-12-01 00:00:00.000,"FIFA 07",26000,3,1
2007-02-01 00:00:00.000,"Age of Empires II",777.9,3,1
2007-03-01 00:00:00.000,"FIFA 07",9322.58,3,1
2007-03-01 00:00:00.000,"Need for Speed Carbon",9322.58,3,1
2007-03-01 00:00:00.000,"Dead or Alive 4",7990.78,3,1
2007-03-01 00:00:00.000,"Project Gotham Racing 3",7990.78,3,1
2007-03-01 00:00:00.000,"TrackMania Nations",822,3,1
2007-04-01 00:00:00.000,"Dead or Alive 4",996.07,3,1
2007-04-01 00:00:00.000,"Project Gotham Racing 3",996.07,3,1
2007-06-01 00:00:00.000,"Pro Evolution Soccer 6",1216.82,3,1
2007-07-01 00:00:00.000,"Pro Evolution Soccer 6",19000,3,1
2007-07-01 00:00:00.000,"Super Smash Bros.",525,3,1
2007-10-01 00:00:00.000,"FIFA 07",26000,3,1
2007-10-01 00:00:00.000,"Age of Empires III",20000,3,1
2007-10-01 00:00:00.000,"Carom 3D",20000,3,1
2007-10-01 00:00:00.000,"Command & Conquer 3",20000,3,1
2007-10-01 00:00:00.000,"Dead or Alive 4",20000,3,1
2007-10-01 00:00:00.000,"Need for Speed Carbon",20000,3,1
2007-10-01 00:00:00.000,"Project Gotham Racing 3",20000,3,1
2007-10-01 00:00:00.000,"Super Smash Bros. Melee",1800,3,1
2007-11-01 00:00:00.000,"Trackmania United",1027.5,3,1
2007-12-01 00:00:00.000,"Age of Empires II",100,3,1
2008-03-01 00:00:00.000,"Need for Speed ProStreet",7708.46,3,1
2008-03-01 00:00:00.000,"Project Gotham Racing 4",7708.46,3,1
2008-05-01 00:00:00.000,"FIFA 08",26000,3,1
2008-05-01 00:00:00.000,"Super Smash Bros. Melee",132,3,1
2008-07-01 00:00:00.000,"TrackMania Nations Forever",5000,3,1
2008-08-01 00:00:00.000,"Quake III Arena",23000,3,1
2008-08-01 00:00:00.000,"Street Fighter III 3rd Strike",2040,3,1
2008-08-01 00:00:00.000,"Marvel vs. Capcom 2",1610,3,1
2008-08-01 00:00:00.000,"Capcom vs. SNK 2",1450,3,1
2008-08-01 00:00:00.000,"Super Street Fighter II Turbo",1370,3,1
2008-08-01 00:00:00.000,"Tekken 5 Dark Resurrection",740,3,1
2008-10-01 00:00:00.000,"Tekken 5 Dark Resurrection",980,3,1
2008-10-01 00:00:00.000,"Street Fighter III 3rd Strike",850,3,1
2008-10-01 00:00:00.000,"Super Smash Bros. Brawl",670,3,1
2008-10-01 00:00:00.000,"Super Street Fighter II Turbo",400,3,1
2008-11-01 00:00:00.000,"FIFA 08",23000,3,1
2008-11-01 00:00:00.000,"Age of Empires III",17500,3,1
2008-11-01 00:00:00.000,"Asphalt 4",17500,3,1
2008-11-01 00:00:00.000,"Carom 3D",17500,3,1
2008-11-01 00:00:00.000,"Command & Conquer 3",17500,3,1
2008-11-01 00:00:00.000,"Need for Speed ProStreet",17500,3,1
2008-11-01 00:00:00.000,"Project Gotham Racing 4",17500,3,1
2008-11-01 00:00:00.000,"Virtua Fighter 5",17500,3,1
2008-11-01 00:00:00.000,"TrackMania Nations Forever",1970,3,1
2008-11-01 00:00:00.000,"Marvel vs. Capcom 2",150,3,1
2008-11-01 00:00:00.000,"Guilty Gear XX Accent Core",80,3,1
2009-02-01 00:00:00.000,"FIFA 08",2560.19,3,1
2009-02-01 00:00:00.000,"Quake III Arena",327.35,3,1
2009-02-01 00:00:00.000,"TrackMania Nations Forever",327.35,3,1
2009-04-01 00:00:00.000,"Quake III Arena",3303.34,3,1
2009-04-01 00:00:00.000,"Age of Empires II",134.84,3,1
2009-04-01 00:00:00.000,"Marvel vs. Capcom 2",90,3,1
2009-04-01 00:00:00.000,"Street Fighter III 3rd Strike",45,3,1
2009-04-01 00:00:00.000,"Guilty Gear XX Accent Core",35,3,1
2009-04-01 00:00:00.000,"King of Fighters XI",25,3,1
2009-05-01 00:00:00.000,"FIFA 09",26000,3,1
2009-07-01 00:00:00.000,"Quake Live",8000,3,1
2009-09-01 00:00:00.000,"BlazBlue Calamity Trigger",35,3,1
2009-10-01 00:00:00.000,"Super Smash Bros. Brawl",40,3,1
2009-11-01 00:00:00.000,"FIFA 09",16000,3,1
2009-11-01 00:00:00.000,"Asphalt 4",12000,3,1
2009-11-01 00:00:00.000,"Carom 3D",12000,3,1
2009-11-01 00:00:00.000,"Virtua Fighter 5",12000,3,1
2009-11-01 00:00:00.000,"Wise Star 2",12000,3,1
2009-11-01 00:00:00.000,"Quake III Arena",519.84,3,1
2009-11-01 00:00:00.000,"Super Smash Bros. Brawl",240,3,1
2010-02-01 00:00:00.000,"Pro Evolution Soccer 2009",682.91,3,1
2010-02-01 00:00:00.000,"TrackMania Nations Forever",682.91,3,1
2010-03-01 00:00:00.000,"Tekken 6",116.44,3,1
2010-06-01 00:00:00.000,"Super Street Fighter II Turbo HD Remix",160,3,1
2010-06-01 00:00:00.000,"Capcom vs. SNK",140,3,1
2010-06-01 00:00:00.000,"Marvel vs. Capcom 2",130,3,1
2010-07-01 00:00:00.000,"Guitar Hero 5",10500,3,1
2010-07-01 00:00:00.000,"Need for Speed Shift",10500,3,1
2010-07-01 00:00:00.000,"Age of Empires II",300,3,1
2010-08-01 00:00:00.000,"Super Smash Bros.",110,3,1
2010-10-01 00:00:00.000,"Carom 3D",11000,3,1
2010-10-01 00:00:00.000,"FIFA 10",11000,3,1
2010-10-01 00:00:00.000,"Forza Motorsport 3",11000,3,1
2010-12-01 00:00:00.000,"Tekken 6",406.92,3,1
2011-01-01 00:00:00.000,"Age of Empires II",1979.41,3,1
2011-04-01 00:00:00.000,"Tekken 6",1200.69,3,1
2011-05-01 00:00:00.000,"Marvel vs. Capcom 3",118,3,1
2011-06-01 00:00:00.000,"Soul Calibur IV",260,3,1
2011-07-01 00:00:00.000,"Super Street Fighter IV Arcade Edition",14560,3,1
2011-07-01 00:00:00.000,"Marvel vs. Capcom 3",10720,3,1
2011-07-01 00:00:00.000,"Tekken 6",7240,3,1
2011-07-01 00:00:00.000,"BlazBlue Continuum Shift II",2080,3,1
2011-07-01 00:00:00.000,"Super Street Fighter IV",1641.8,3,1
2011-07-01 00:00:00.000,"Super Smash Bros.",330,3,1
2011-07-01 00:00:00.000,"Age of Empires Online",100,3,1
2011-08-01 00:00:00.000,"Super Street Fighter IV Arcade Edition",5096.71,3,1
2011-09-01 00:00:00.000,"iRacing.com",15500,3,1
2011-10-01 00:00:00.000,"iRacing.com",15500,3,1
2011-10-01 00:00:00.000,"Tekken 6",6000,3,1
2011-11-01 00:00:00.000,"Marvel vs. Capcom 3",820,3,1
2011-11-01 00:00:00.000,"BlazBlue Continuum Shift II",390,3,1
2011-11-01 00:00:00.000,"Street Fighter III 3rd Strike",240,3,1
2011-11-01 00:00:00.000,"Super Street Fighter II Turbo",180,3,1
2011-12-01 00:00:00.000,"Tekken 6",14000,3,1
2011-12-01 00:00:00.000,"TrackMania 2 Canyon",2302.66,3,1
2011-12-01 00:00:00.000,"StarCraft Brood War",70,3,1
2012-02-01 00:00:00.000,"Tekken 6",3971.22,3,1
2012-02-01 00:00:00.000,"Super Street Fighter IV Arcade Edition",330.93,3,1
2012-03-01 00:00:00.000,"StarCraft Brood War",2309.37,3,1
2012-03-01 00:00:00.000,"Bloodline Champions",300,3,1
2012-04-01 00:00:00.000,"TrackMania Nations Forever",457.75,3,1
2012-04-01 00:00:00.000,"Super Street Fighter IV Arcade Edition",210,3,1
2012-04-01 00:00:00.000,"Age of Empires III",145,3,1
2012-06-01 00:00:00.000,"Ultimate Marvel vs. Capcom 3",3000,3,1
2012-07-01 00:00:00.000,"Tekken Tag Tournament 2",21100,3,1
2012-08-01 00:00:00.000,"Ultimate Marvel vs. Capcom 3",696.23,3,1
2012-08-01 00:00:00.000,"Persona 4 Arena",181.63,3,1
2012-09-01 00:00:00.000,"StarCraft Brood War",140,3,1
2012-10-01 00:00:00.000,"StarCraft Brood War",6261.46,3,1
2012-11-01 00:00:00.000,"TrackMania 2 Canyon",10000,3,1
2012-11-01 00:00:00.000,"King of Fighters XIII",295,3,1
2012-11-01 00:00:00.000,"Persona 4 Arena",295,3,1
2012-12-01 00:00:00.000,"FIFA 12",17000,3,1
2012-12-01 00:00:00.000,"TrackMania Nations Forever",1001.77,3,1
2013-03-01 00:00:00.000,"TrackMania Nations Forever",1116.91,3,1
2013-03-01 00:00:00.000,"Super Smash Bros. Melee",150,3,1
2013-04-01 00:00:00.000,"TrackMania 2 Stadium",226.91,3,1
2013-05-01 00:00:00.000,"TrackMania 2 Canyon",1427.78,3,1
2013-05-01 00:00:00.000,"King of Fighters XIII",500,3,1
2013-05-01 00:00:00.000,"Persona 4 Arena",500,3,1
2013-06-01 00:00:00.000,"Persona 4 Arena",540,3,1
2013-06-01 00:00:00.000,"King of Fighters XIII",440,3,1
2013-06-01 00:00:00.000,"Mortal Kombat 9",310,3,1
2013-06-01 00:00:00.000,"Soul Calibur V",310,3,1
2013-06-01 00:00:00.000,"Skullgirls",300,3,1
2013-07-01 00:00:00.000,"TrackMania 2 Stadium",1295.1,3,1
2013-08-01 00:00:00.000,"Dragon Ball Z Budokai 3",204.06,3,1
2013-10-01 00:00:00.000,"Quake Live",500,3,1
2013-10-01 00:00:00.000,"Trackmania 2 Valley",238.68,3,1
2013-11-01 00:00:00.000,"TrackMania 2 Stadium",8000,3,1
2013-12-01 00:00:00.000,"Street Fighter X Tekken",5000,3,1
2013-12-01 00:00:00.000,"ShootMania Storm",2634.29,3,1
2013-12-01 00:00:00.000,"Super Smash Bros.",40,3,1
