Game,ReleaseDate,Genre,TotalEarnings,OnlineEarnings,TotalPlayers,TotalTournaments,genmatch,img
"ComPet",2016,"Strategy",2000,0,50,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/ComPet.png"
"Identity V",2018,"Strategy",31911.1,31911.1,6,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Identity V.png"
"Internet Chess Club",1995,"Strategy",10000,0,6,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Internet Chess Club.png"
"Rise of Nations Rise of Legends",2006,"Strategy",69600,69600,8,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Rise of Nations Rise of Legends.png"
"Star Wars Squadrons",2020,"Strategy",800,0,4,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Star Wars Squadrons.png"
"Super Mario Party",2018,"Strategy",220,220,4,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Super Mario Party.png"
"Supreme Commander",2007,"Strategy",4901.26,4901.26,0,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Supreme Commander.png"
"Supreme Commander Forged Alliance",2007,"Strategy",1290.01,1290.01,0,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Supreme Commander Forged Alliance.png"
"TEPPEN",2019,"Strategy",456721.47,456721.47,12,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/TEPPEN.png"
"Aliens versus Predator 2",2001,"Shooter",40000,40000,1,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Aliens versus Predator 2.png"
"Battlefield Hardline",2015,"Shooter",13463.28,13463.28,20,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Battlefield Hardline.png"
"Big Buck Hunter Arcade",2016,"Shooter",76200,76200,3,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Big Buck Hunter Arcade.png"
"Borderlands 3",2019,"Shooter",50000,0,16,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Borderlands 3.png"
"Descent 3",1999,"Shooter",50000,50000,1,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Descent 3.png"
"Doom (2016)",2016,"Shooter",7000,7000,6,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Doom (2016).png"
"Gundam Versus",2017,"Shooter",280,280,6,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/Gundam Versus.png"
"MechWarrior Online",2013,"Shooter",143490,143490,0,1,"Match","https://playerskev.blob.core.windows.net/nbaimage/MechWarrior Online.png"
