Soft Skills,Title,Certification,Education,Score
"Communication","Artillery Military Mechanic","","",10
"Teamwork","Artillery Military Mechanic","","",10
"Problem-solving","Artillery Military Mechanic","","",10
"Critical Thinking","Artillery Military Mechanic","","",10
"Organizational","Artillery Military Mechanic","","",10
"Leadership","Artillery Military Mechanic","","",10
"Attention to details","Artillery Military Mechanic","","",10
"Time Management","Artillery Military Mechanic","","",10
"Communication","Business Development Executive & Sales","","",10
"Teamwork","Business Development Executive & Sales","","",6
"Problem-solving","Business Development Executive & Sales","","",10
"Decision-Making","Business Development Executive & Sales","","",9
"Organizational","Business Development Executive & Sales","","",10
"Adaptability","Business Development Executive & Sales","","",10
"Negotiation","Business Development Executive & Sales","","",10
"Time Management","Business Development Executive & Sales","","",7
"Communication","Internship","","",8
"Teamwork","Internship","","",7
"Organizational","Internship","","",10
"Attention to details","Internship","","",7
"Communication","Mechanical Supervisor","","",10
"Teamwork","Mechanical Supervisor","","",10
"Problem-solving","Mechanical Supervisor","","",10
"Critical Thinking","Mechanical Supervisor","","",10
"Decision-Making","Mechanical Supervisor","","",7
"Organizational","Mechanical Supervisor","","",10
"Adaptability","Mechanical Supervisor","","",8
"Leadership","Mechanical Supervisor","","",10
"Negotiation","Mechanical Supervisor","","",6
"Attention to details","Mechanical Supervisor","","",8
"Time Management","Mechanical Supervisor","","",10
"Communication","Project Expeditor - Logistics Department","","",10
"Teamwork","Project Expeditor - Logistics Department","","",9
"Problem-solving","Project Expeditor - Logistics Department","","",9
"Organizational","Project Expeditor - Logistics Department","","",9
"Adaptability","Project Expeditor - Logistics Department","","",10
"Leadership","Project Expeditor - Logistics Department","","",10
"Time Management","Project Expeditor - Logistics Department","","",9
"Communication","Project Management Foundations : Small Projects @ LinkedIn","","",9
"Teamwork","Project Management Foundations : Small Projects @ LinkedIn","","",9
"Problem-solving","Project Management Foundations : Small Projects @ LinkedIn","","",9
"Critical Thinking","Project Management Foundations : Small Projects @ LinkedIn","","",9
"Decision-Making","Project Management Foundations : Small Projects @ LinkedIn","","",8
"Organizational","Project Management Foundations : Small Projects @ LinkedIn","","",9
"Leadership","Project Management Foundations : Small Projects @ LinkedIn","","",9
"Negotiation","Project Management Foundations : Small Projects @ LinkedIn","","",8
"Attention to details","Project Management Foundations : Small Projects @ LinkedIn","","",6
"Time Management","Project Management Foundations : Small Projects @ LinkedIn","","",7
"Communication","Purchase Specialist","","",10
"Problem-solving","Purchase Specialist","","",8
"Critical Thinking","Purchase Specialist","","",8
"Decision-Making","Purchase Specialist","","",8
"Organizational","Purchase Specialist","","",10
"Negotiation","Purchase Specialist","","",10
"Attention to details","Purchase Specialist","","",6
"Time Management","Purchase Specialist","","",8
"Communication","Quality Department - Pre-commissioning","","",7
"Teamwork","Quality Department - Pre-commissioning","","",7
"Problem-solving","Quality Department - Pre-commissioning","","",8
"Critical Thinking","Quality Department - Pre-commissioning","","",8
"Decision-Making","Quality Department - Pre-commissioning","","",7
"Organizational","Quality Department - Pre-commissioning","","",10
"Adaptability","Quality Department - Pre-commissioning","","",9
"Leadership","Quality Department - Pre-commissioning","","",8
"Attention to details","Quality Department - Pre-commissioning","","",10
"Time Management","Quality Department - Pre-commissioning","","",10
"Communication","Quality Engineer - QA/QC Department","","",8
"Teamwork","Quality Engineer - QA/QC Department","","",10
"Problem-solving","Quality Engineer - QA/QC Department","","",10
"Critical Thinking","Quality Engineer - QA/QC Department","","",8
"Decision-Making","Quality Engineer - QA/QC Department","","",6
"Organizational","Quality Engineer - QA/QC Department","","",10
"Adaptability","Quality Engineer - QA/QC Department","","",10
"Leadership","Quality Engineer - QA/QC Department","","",9
"Attention to details","Quality Engineer - QA/QC Department","","",10
"Time Management","Quality Engineer - QA/QC Department","","",10
"Communication","","","Executive M.B.A. @ International Hellenic University",10
"Teamwork","","","Executive M.B.A. @ International Hellenic University",10
"Problem-solving","","","Executive M.B.A. @ International Hellenic University",7
"Critical Thinking","","","Executive M.B.A. @ International Hellenic University",8
"Decision-Making","","","Executive M.B.A. @ International Hellenic University",8
"Organizational","","","Executive M.B.A. @ International Hellenic University",10
"Adaptability","","","Executive M.B.A. @ International Hellenic University",10
"Leadership","","","Executive M.B.A. @ International Hellenic University",9
"Negotiation","","","Executive M.B.A. @ International Hellenic University",9
"Attention to details","","","Executive M.B.A. @ International Hellenic University",6
"Time Management","","","Executive M.B.A. @ International Hellenic University",9
"Teamwork","","","MSc Mechanical Engineering @ University of Western Macedonia",10
"Problem-solving","","","MSc Mechanical Engineering @ University of Western Macedonia",10
"Critical Thinking","","","MSc Mechanical Engineering @ University of Western Macedonia",10
"Decision-Making","","","MSc Mechanical Engineering @ University of Western Macedonia",10
"Organizational","","","MSc Mechanical Engineering @ University of Western Macedonia",10
"Attention to details","","","MSc Mechanical Engineering @ University of Western Macedonia",10
"Communication","","Business Development Foundations @ LinkedIn","",8
"Problem-solving","","Business Development Foundations @ LinkedIn","",7
"Critical Thinking","","Business Development Foundations @ LinkedIn","",8
"Decision-Making","","Business Development Foundations @ LinkedIn","",8
"Organizational","","Business Development Foundations @ LinkedIn","",9
"Leadership","","Business Development Foundations @ LinkedIn","",7
"Negotiation","","Business Development Foundations @ LinkedIn","",8
"Attention to details","","Business Development Foundations @ LinkedIn","",7
"Time Management","","Business Development Foundations @ LinkedIn","",9
"Problem-solving","","LNG @ Lloyd's Maritime Academy","",8
"Critical Thinking","","LNG @ Lloyd's Maritime Academy","",8
"Decision-Making","","LNG @ Lloyd's Maritime Academy","",8
"Problem-solving","","Microsoft Power BI @ Udemy","",10
"Critical Thinking","","Microsoft Power BI @ Udemy","",10
"Decision-Making","","Microsoft Power BI @ Udemy","",10
"Attention to details","","Microsoft Power BI @ Udemy","",10
"Problem-solving","","Microsoft Project ALL: BEGINNER to EXPERT @ Udemy","",10
"Critical Thinking","","Microsoft Project ALL: BEGINNER to EXPERT @ Udemy","",10
"Decision-Making","","Microsoft Project ALL: BEGINNER to EXPERT @ Udemy","",10
"Organizational","","Microsoft Project ALL: BEGINNER to EXPERT @ Udemy","",10
"Leadership","","Microsoft Project ALL: BEGINNER to EXPERT @ Udemy","",10
"Attention to details","","Microsoft Project ALL: BEGINNER to EXPERT @ Udemy","",9
"Time Management","","Microsoft Project ALL: BEGINNER to EXPERT @ Udemy","",10
"Problem-solving","","PMP @ Project Management Institution","",8
"Critical Thinking","","PMP @ Project Management Institution","",9
"Decision-Making","","PMP @ Project Management Institution","",10
"Organizational","","PMP @ Project Management Institution","",10
"Adaptability","","PMP @ Project Management Institution","",9
"Leadership","","PMP @ Project Management Institution","",8
"Negotiation","","PMP @ Project Management Institution","",9
"Attention to details","","PMP @ Project Management Institution","",10
"Time Management","","PMP @ Project Management Institution","",10
"Problem-solving","","R- Programming @ Udemy","",8
"Critical Thinking","","R- Programming @ Udemy","",9
"Decision-Making","","R- Programming @ Udemy","",10
"Attention to details","","R- Programming @ Udemy","",10
"Problem-solving","","Strategic Thinking @ LinkedIn","",9
"Critical Thinking","","Strategic Thinking @ LinkedIn","",10
"Decision-Making","","Strategic Thinking @ LinkedIn","",10
"Organizational","","Strategic Thinking @ LinkedIn","",7
"Adaptability","","Strategic Thinking @ LinkedIn","",9
"Leadership","","Strategic Thinking @ LinkedIn","",10
"Negotiation","","Strategic Thinking @ LinkedIn","",9
"Time Management","","Strategic Thinking @ LinkedIn","",10
