id_amostra,Sampling point,Date
"amostra1","G-01",2006-05-17 00:00:00.000
"amostra2","G-01",2007-03-21 00:00:00.000
"amostra3","G-01",2007-09-13 00:00:00.000
"amostra4","G-01",2007-11-27 00:00:00.000
"amostra5","G-01",2007-12-27 00:00:00.000
"amostra6","G-01",2008-01-23 00:00:00.000
"amostra7","G-01",2008-04-23 00:00:00.000
"amostra8","G-01",2008-05-27 00:00:00.000
"amostra9","G-01",2008-06-23 00:00:00.000
"amostra10","G-01",2009-05-05 00:00:00.000
"amostra11","G-01",2010-03-24 00:00:00.000
"amostra12","G-02",2003-07-17 00:00:00.000
"amostra13","G-02",2004-06-28 00:00:00.000
"amostra14","G-02",2006-04-18 00:00:00.000
"amostra15","G-02",2006-05-17 00:00:00.000
"amostra16","G-02",2006-06-20 00:00:00.000
"amostra17","G-02",2006-07-24 00:00:00.000
"amostra18","G-02",2006-08-29 00:00:00.000
"amostra19","G-02",2006-09-18 00:00:00.000
"amostra20","G-02",2006-11-17 00:00:00.000
"amostra21","G-02",2006-12-14 00:00:00.000
"amostra22","G-02",2007-01-19 00:00:00.000
"amostra23","G-02",2007-02-21 00:00:00.000
"amostra24","G-02",2007-03-21 00:00:00.000
"amostra25","G-02",2007-04-18 00:00:00.000
"amostra26","G-02",2007-05-29 00:00:00.000
"amostra27","G-02",2007-07-10 00:00:00.000
"amostra28","G-02",2007-08-08 00:00:00.000
"amostra29","G-02",2007-09-13 00:00:00.000
"amostra30","G-02",2007-10-09 00:00:00.000
"amostra31","G-02",2007-11-27 00:00:00.000
"amostra32","G-02",2007-12-27 00:00:00.000
"amostra33","G-02",2008-01-23 00:00:00.000
"amostra34","G-02",2008-02-22 00:00:00.000
"amostra35","G-02",2008-03-11 00:00:00.000
"amostra36","G-02",2008-04-23 00:00:00.000
"amostra37","G-02",2008-05-27 00:00:00.000
"amostra38","G-02",2008-06-23 00:00:00.000
"amostra39","G-02",2008-07-21 00:00:00.000
"amostra40","G-02",2008-08-25 00:00:00.000
"amostra41","G-02",2008-09-17 00:00:00.000
"amostra42","G-02",2009-05-05 00:00:00.000
"amostra43","G-03",2006-05-17 00:00:00.000
"amostra44","G-03",2007-01-19 00:00:00.000
"amostra45","G-03",2007-05-28 00:00:00.000
"amostra46","G-03",2007-11-26 00:00:00.000
"amostra47","G-03",2008-05-27 00:00:00.000
"amostra48","G-03",2009-05-05 00:00:00.000
"amostra49","G-03",2010-03-24 00:00:00.000
"amostra50","G-04",2003-07-17 00:00:00.000
"amostra51","G-04",2004-06-28 00:00:00.000
"amostra52","G-04",2006-04-18 00:00:00.000
"amostra53","G-04",2006-05-16 00:00:00.000
"amostra54","G-04",2006-06-20 00:00:00.000
"amostra55","G-04",2006-07-24 00:00:00.000
"amostra56","G-04",2006-08-29 00:00:00.000
"amostra57","G-04",2006-09-18 00:00:00.000
"amostra58","G-04",2006-11-17 00:00:00.000
"amostra59","G-04",2006-12-15 00:00:00.000
"amostra60","G-04",2007-01-18 00:00:00.000
"amostra61","G-04",2007-02-21 00:00:00.000
"amostra62","G-04",2007-03-20 00:00:00.000
"amostra63","G-04",2007-04-17 00:00:00.000
"amostra64","G-04",2007-05-30 00:00:00.000
"amostra65","G-04",2007-06-27 00:00:00.000
"amostra66","G-04",2007-08-08 00:00:00.000
"amostra67","G-04",2007-09-13 00:00:00.000
"amostra68","G-04",2007-10-09 00:00:00.000
"amostra69","G-04",2007-11-21 00:00:00.000
"amostra70","G-04",2007-12-26 00:00:00.000
"amostra71","G-04",2008-01-21 00:00:00.000
"amostra72","G-04",2008-02-22 00:00:00.000
"amostra73","G-04",2008-03-11 00:00:00.000
"amostra74","G-04",2008-04-23 00:00:00.000
"amostra75","G-04",2008-05-28 00:00:00.000
"amostra76","G-04",2008-06-23 00:00:00.000
"amostra77","G-04",2008-07-21 00:00:00.000
"amostra78","G-04",2008-08-25 00:00:00.000
"amostra79","G-04",2008-09-16 00:00:00.000
"amostra80","G-04",2009-05-05 00:00:00.000
"amostra81","G-04",2010-03-24 00:00:00.000
"amostra82","G-05",2006-05-17 00:00:00.000
"amostra83","G-05",2007-01-18 00:00:00.000
"amostra84","G-05",2007-05-30 00:00:00.000
"amostra85","G-05",2007-11-21 00:00:00.000
"amostra86","G-05",2008-05-28 00:00:00.000
"amostra87","G-05",2009-05-04 00:00:00.000
"amostra88","G-05",2010-03-24 00:00:00.000
"amostra89","G-06",2003-07-17 00:00:00.000
"amostra90","G-06",2004-06-28 00:00:00.000
"amostra91","G-06",2006-04-18 00:00:00.000
"amostra92","G-06",2006-05-17 00:00:00.000
"amostra93","G-06",2006-06-20 00:00:00.000
"amostra94","G-06",2006-07-24 00:00:00.000
"amostra95","G-06",2006-08-29 00:00:00.000
"amostra96","G-06",2006-09-18 00:00:00.000
"amostra97","G-06",2006-11-17 00:00:00.000
"amostra98","G-06",2006-12-15 00:00:00.000
"amostra99","G-06",2007-01-18 00:00:00.000
"amostra100","G-06",2007-02-21 00:00:00.000
"amostra101","G-06",2007-03-20 00:00:00.000
"amostra102","G-06",2007-04-17 00:00:00.000
"amostra103","G-06",2007-05-30 00:00:00.000
"amostra104","G-06",2007-06-27 00:00:00.000
"amostra105","G-06",2007-08-08 00:00:00.000
"amostra106","G-06",2007-09-13 00:00:00.000
"amostra107","G-06",2007-10-09 00:00:00.000
"amostra108","G-06",2007-11-21 00:00:00.000
"amostra109","G-06",2007-12-26 00:00:00.000
"amostra110","G-06",2008-01-21 00:00:00.000
"amostra111","G-06",2008-02-22 00:00:00.000
"amostra112","G-06",2008-03-11 00:00:00.000
"amostra113","G-06",2008-04-23 00:00:00.000
"amostra114","G-06",2008-05-28 00:00:00.000
"amostra115","G-06",2008-06-23 00:00:00.000
"amostra116","G-06",2008-07-21 00:00:00.000
"amostra117","G-06",2008-08-25 00:00:00.000
"amostra118","G-06",2008-09-16 00:00:00.000
"amostra119","G-06",2009-05-04 00:00:00.000
"amostra120","G-06",2010-03-24 00:00:00.000
"amostra121","G-07",2008-09-17 00:00:00.000
"amostra122","G-08",2007-01-18 00:00:00.000
"amostra123","G-08",2007-05-30 00:00:00.000
"amostra124","G-08",2007-11-21 00:00:00.000
"amostra125","G-08",2008-05-28 00:00:00.000
"amostra126","G-08",2009-05-04 00:00:00.000
"amostra127","G-09",2006-05-16 00:00:00.000
"amostra128","G-09",2007-01-17 00:00:00.000
"amostra129","G-09",2007-05-30 00:00:00.000
"amostra130","G-09",2007-11-21 00:00:00.000
"amostra131","G-09",2008-05-28 00:00:00.000
"amostra132","G-09",2009-05-04 00:00:00.000
"amostra133","G-09",2010-03-24 00:00:00.000
"amostra134","G-10",2006-05-16 00:00:00.000
"amostra135","G-10",2006-07-24 00:00:00.000
"amostra136","G-10",2006-08-29 00:00:00.000
"amostra137","G-10",2006-09-18 00:00:00.000
"amostra138","G-10",2006-11-16 00:00:00.000
"amostra139","G-10",2006-12-12 00:00:00.000
"amostra140","G-10",2007-01-17 00:00:00.000
"amostra141","G-10",2007-02-20 00:00:00.000
"amostra142","G-10",2007-03-21 00:00:00.000
"amostra143","G-10",2007-04-17 00:00:00.000
"amostra144","G-10",2007-05-30 00:00:00.000
"amostra145","G-10",2007-07-10 00:00:00.000
"amostra146","G-10",2007-08-23 00:00:00.000
"amostra147","G-10",2007-09-13 00:00:00.000
"amostra148","G-10",2007-10-09 00:00:00.000
"amostra149","G-10",2007-11-22 00:00:00.000
"amostra150","G-10",2007-12-27 00:00:00.000
"amostra151","G-10",2008-01-22 00:00:00.000
"amostra152","G-10",2008-02-22 00:00:00.000
"amostra153","G-10",2008-03-11 00:00:00.000
"amostra154","G-10",2008-04-24 00:00:00.000
"amostra155","G-10",2008-05-28 00:00:00.000
"amostra156","G-10",2008-06-23 00:00:00.000
"amostra157","G-10",2008-07-21 00:00:00.000
"amostra158","G-10",2008-08-25 00:00:00.000
"amostra159","G-10",2008-09-16 00:00:00.000
"amostra160","G-10",2009-05-04 00:00:00.000
"amostra161","G-10",2010-03-24 00:00:00.000
"amostra162","G-11",2006-04-18 00:00:00.000
"amostra163","G-11",2006-05-16 00:00:00.000
"amostra164","G-11",2006-06-20 00:00:00.000
"amostra165","G-11",2006-07-24 00:00:00.000
"amostra166","G-11",2006-08-29 00:00:00.000
"amostra167","G-11",2006-09-18 00:00:00.000
"amostra168","G-11",2006-11-16 00:00:00.000
"amostra169","G-11",2006-12-12 00:00:00.000
"amostra170","G-11",2007-01-17 00:00:00.000
"amostra171","G-11",2007-02-21 00:00:00.000
"amostra172","G-11",2007-03-21 00:00:00.000
"amostra173","G-11",2007-04-17 00:00:00.000
"amostra174","G-11",2007-05-30 00:00:00.000
"amostra175","G-11",2007-07-10 00:00:00.000
"amostra176","G-11",2007-08-08 00:00:00.000
"amostra177","G-11",2007-09-13 00:00:00.000
"amostra178","G-11",2007-10-09 00:00:00.000
"amostra179","G-11",2007-11-22 00:00:00.000
"amostra180","G-11",2007-12-27 00:00:00.000
"amostra181","G-11",2008-01-22 00:00:00.000
"amostra182","G-11",2008-02-22 00:00:00.000
"amostra183","G-11",2008-03-11 00:00:00.000
"amostra184","G-11",2008-04-24 00:00:00.000
"amostra185","G-11",2008-05-28 00:00:00.000
"amostra186","G-11",2008-06-23 00:00:00.000
"amostra187","G-11",2008-07-19 00:00:00.000
"amostra188","G-11",2008-08-25 00:00:00.000
"amostra189","G-11",2008-09-16 00:00:00.000
"amostra190","G-11",2009-05-04 00:00:00.000
"amostra191","G-11",2010-03-24 00:00:00.000
"amostra192","G-12",2006-05-17 00:00:00.000
"amostra193","G-12",2006-08-29 00:00:00.000
"amostra194","G-12",2006-09-18 00:00:00.000
"amostra195","G-12",2006-12-14 00:00:00.000
"amostra196","G-12",2007-01-19 00:00:00.000
"amostra197","G-12",2007-02-20 00:00:00.000
"amostra198","G-12",2007-03-21 00:00:00.000
"amostra199","G-12",2007-04-18 00:00:00.000
"amostra200","G-12",2007-05-30 00:00:00.000
"amostra201","G-12",2007-07-10 00:00:00.000
"amostra202","G-12",2007-08-23 00:00:00.000
"amostra203","G-12",2007-09-13 00:00:00.000
"amostra204","G-12",2007-10-09 00:00:00.000
"amostra205","G-12",2007-11-27 00:00:00.000
"amostra206","G-12",2007-12-27 00:00:00.000
"amostra207","G-12",2008-01-23 00:00:00.000
"amostra208","G-12",2008-02-22 00:00:00.000
"amostra209","G-12",2008-03-11 00:00:00.000
"amostra210","G-12",2008-04-23 00:00:00.000
"amostra211","G-12",2008-05-28 00:00:00.000
"amostra212","G-12",2008-06-23 00:00:00.000
"amostra213","G-12",2008-07-21 00:00:00.000
"amostra214","G-12",2009-05-04 00:00:00.000
"amostra215","G-12",2010-03-24 00:00:00.000
"amostra216","G-13",2003-07-17 00:00:00.000
"amostra217","G-13",2004-06-28 00:00:00.000
"amostra218","G-13",2009-05-05 00:00:00.000
"amostra219","G-13",2010-03-24 00:00:00.000
"amostra220","G-14",2006-05-17 00:00:00.000
"amostra221","G-14",2007-01-19 00:00:00.000
"amostra222","G-14",2007-05-28 00:00:00.000
"amostra223","G-14",2007-11-22 00:00:00.000
"amostra224","G-14",2008-05-27 00:00:00.000
"amostra225","G-14",2009-05-04 00:00:00.000
"amostra226","G-14",2010-03-24 00:00:00.000
"amostra227","G-15",2006-05-17 00:00:00.000
"amostra228","G-15",2007-01-19 00:00:00.000
"amostra229","G-15",2007-05-28 00:00:00.000
