id_amostra,param,valor_texto,valor_numerico,detectado,unidade,valor_texto_final
amostra219,N org,1,1.0,Sim,mg l-1,"1,0000"
amostra285,Cr,<0.05,0.05,Não,μg l-1,"< 0,0500"
amostra134,SiO2,30,30.0,Sim,mg l-1,"30,0000"
amostra219,PO4,<0.04,0.04,Não,mg l-1,"< 0,0400"
amostra147,Zn,<1.0,1.0,Não,μg l-1,"< 1,0000"
amostra105,Br,4.4992000000000001,4.4992,Sim,mg l-1,"4,4992"
amostra102,Cu,<0.2,0.2,Não,μg l-1,"< 0,2000"
amostra217,CO3,0,0.0,Sim,mg l-1,"0,0000"
amostra129,Fe,831,831.0,Sim,μg l-1,"831,0000"
amostra238,Cr,<0.05,0.05,Não,μg l-1,"< 0,0500"
amostra137,As,<0.05,0.05,Não,μg l-1,"< 0,0500"
amostra2,NO2,<0.05,0.05,Não,mg l-1,"< 0,0500"
amostra246,Cr,<0.05,0.05,Não,μg l-1,"< 0,0500"
amostra15,NH4,0.24,0.24,Sim,mg l-1,"0,2400"
amostra8,NO2,<0.05,0.05,Não,mg l-1,"< 0,0500"
amostra60,SiO2,37.299999999999997,37.3,Sim,mg l-1,"37,3000"
amostra214,PO4,<0.04,0.04,Não,mg l-1,"< 0,0400"
amostra73,EC,10503,10503.0,Sim,μS cm-1,"10503,0000"
amostra257,Cr,<0.05,0.05,Não,μg l-1,"< 0,0500"
amostra298,NH4,<0.05,0.05,Não,mg l-1,"< 0,0500"
amostra36,SiO2,31.7,31.7,Sim,mg l-1,"31,7000"
amostra103,Zn,<1.0,1.0,Não,μg l-1,"< 1,0000"
amostra249,PO4,<0.04,0.04,Não,mg l-1,"< 0,0400"
amostra263,Cd,<0.2,0.2,Não,μg l-1,"< 0,2000"
amostra147,SiO2,39.700000000000003,39.7,Sim,mg l-1,"39,7000"
amostra202,NH4,<0.05,0.05,Não,mg l-1,"< 0,0500"
amostra120,Cu,<0.2,0.2,Não,μg l-1,"< 0,2000"
amostra320,Cr,<0.05,0.05,Não,μg l-1,"< 0,0500"
amostra28,K,17,17.0,Sim,mg l-1,"17,0000"
amostra49,Mg,268,268.0,Sim,mg l-1,"268,0000"
amostra180,DQO,25,25.0,Sim,mg l-1,"25,0000"
amostra299,CO3,0,0.0,Sim,mg l-1,"0,0000"
amostra300,EC,3505,3505.0,Sim,μS cm-1,"3505,0000"
amostra228,Cd,<0.2,0.2,Não,μg l-1,"< 0,2000"
amostra180,Na,328,328.0,Sim,mg l-1,"328,0000"
amostra307,Cd,<0.2,0.2,Não,μg l-1,"< 0,2000"
amostra146,Fe,<15,15.0,Não,μg l-1,"< 15,0000"
amostra328,Cd,<0.2,0.2,Não,μg l-1,"< 0,2000"
amostra104,Ca,590,590.0,Sim,mg l-1,"590,0000"
amostra323,Pb,<0.2,0.2,Não,μg l-1,"< 0,2000"
amostra262,HCO3,384,384.0,Sim,mg l-1,"384,0000"
amostra152,B,0.11700000000000001,0.117,Sim,mg l-1,"0,1170"
amostra197,Cu,<0.2,0.2,Não,μg l-1,"< 0,2000"
amostra11,Mn,104,104.0,Sim,μg l-1,"104,0000"
