storagearray_pk,resource_fk,Array,identifier,category,element_type,vendor_define_type,serial_number,manufacturer,Model,vendor,software_version,capacity,Used Capacity,free_capacity,capacity_tb,used_capacity_tb,free_capacity_tb,percent_free,percent_used,raw_capacity,raw_used_capacity,raw_free_capacity,raw_spare_capacity,raw_capacity_tb,raw_used_capacity_tb,raw_free_capacity_tb,raw_spare_capacity_tb,exposed_capacity,thin_total_capacity,thin_used_capacity,thin_free_capacity,exposed_capacity_tb,thin_total_capacity_tb,thin_used_capacity_tb,thin_free_capacity_tb,percent_thin_free,percent_thin_used,thin_savings_ratio,thin_savings,compression_ratio,compression_savings,data_reduction_ratio,data_reduction_savings,total_reduction_ratio,total_reduction_savings,uptime,first_added,last_edited,last_changed,storagearray_fk,storagearray_name,storagearray_identifier,disk_counts,storagearray_type
6753,6753,"10.92.10.15..data.col1.backup.mtree.json","array|10.92.10.15..data.col1.backup.mtree.json","{array}","array","Array (ARRAY)","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",2021-10-21 01:48:30.216,2021-11-11 20:18:12.360,2021-10-21 01:48:30.216,6753,"10.92.10.15..data.col1.backup.mtree.json","array|10.92.10.15..data.col1.backup.mtree.json","","Array (ARRAY)"
6754,6754,"10.92.10.15..data.col1.d42do-530.mtree.json","array|10.92.10.15..data.col1.d42do-530.mtree.json","{array}","array","Array (ARRAY)","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",2021-10-21 01:48:30.233,2021-11-11 20:18:12.366,2021-10-21 01:48:30.233,6754,"10.92.10.15..data.col1.d42do-530.mtree.json","array|10.92.10.15..data.col1.d42do-530.mtree.json","","Array (ARRAY)"
6755,6755,"10.92.10.15..data.col1.test.mtree.json","array|10.92.10.15..data.col1.test.mtree.json","{array}","array","Array (ARRAY)","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",2021-10-21 01:48:30.240,2021-11-11 20:18:12.376,2021-10-21 01:48:30.240,6755,"10.92.10.15..data.col1.test.mtree.json","array|10.92.10.15..data.col1.test.mtree.json","","Array (ARRAY)"
6756,6756,"10.92.10.15..data.col1.tp-storage.mtree.json","array|10.92.10.15..data.col1.tp-storage.mtree.json","{array}","array","Array (ARRAY)","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",2021-10-21 01:48:30.246,2021-11-11 20:18:12.383,2021-10-21 01:48:30.246,6756,"10.92.10.15..data.col1.tp-storage.mtree.json","array|10.92.10.15..data.col1.tp-storage.mtree.json","","Array (ARRAY)"
2318,2318,"","array|VIRT2039MB5BCH","{array}","array","Array (UNITY)","VIRT2039MB5BCH","EMC","UnityVSA","EMC","5.0.0",139.5,21.601,117.899,0.136,0.021,0.115,84.515,15.485,0,0,0,,0,0,0,,128,,,,0.125,,,,,,,,,,,,7.3748,126.438,"",2021-02-11 21:04:05.310,2021-11-11 21:03:12.036,2021-11-03 20:02:12.546,2318,"","array|VIRT2039MB5BCH","","Array (UNITY)"
6344,6344,"NetApp_Cluster","array|c374983a-ce1d-11eb-822c-0050568a7ee4","{array}","array","Array (NETAPP)","1-80-000011","","","","9.5P6",34.277,13.253,21.024,0.033,0.013,0.021,61,39,223.72,27.888,195.832,167.79,0.218,0.027,0.191,0.164,13.178,,,,0.013,,,,,,,,1,0,1,0,1,0,"",2021-06-16 18:08:08.296,2021-11-11 19:08:12.043,2021-11-11 19:08:12.000,6344,"NetApp_Cluster","array|c374983a-ce1d-11eb-822c-0050568a7ee4","4GB fcal x56","Array (NETAPP)"
6301,6301,"CKM00164000536","array|CKM00164000536","{array}","array","Array (UNITY)","CKM00164000536","EMC","Unity 300","EMC","4.2.0",1541,101.25,1439.75,1.505,0.099,1.406,93.43,6.57,0,0,0,,0,0,0,,266,,,,0.26,,,,,,,,,,,,3.22479,251.811,"",2021-06-15 17:02:08.283,2021-11-01 01:02:12.040,2021-10-01 01:01:33.656,6301,"CKM00164000536","array|CKM00164000536","1.8TB sas x4","Array (UNITY)"
6108,6108,"wbd42isilon1","array|0007430adbc0bda7ce5fc816b9df16b7bcb0","{array}","array","Array (ISILON)","SX200-201239-0051","","Isilon OneFS","EMC","v8.0.0.7",33218.6,40.255,33178.3,32.44,0.039,32.401,99.879,0.121,33534.5,33534.5,0,,32.749,32.749,0,,,,,,,,,,,,1,0,,,1,0,1,0,"",2021-06-07 18:25:08.303,2021-11-11 23:01:12.076,2021-11-11 23:01:12.023,6108,"wbd42isilon1","array|0007430adbc0bda7ce5fc816b9df16b7bcb0","1.0TB sata x36","Array (ISILON)"
6069,6069,"dev42vnx5100","array|APM00125186274","{array}","array","Array (VNX)","APM00125186274","","VNX5300","EMC Corporation","05.32.000.5.225",1238,202,1036,1.209,0.197,1.012,84,16,2574.46,2574.46,0,0,2.514,2.514,0,0,202,0,0,0,0.197,0,0,0,0,0,0,0,,,,,0,0,"0d 0h 0m",2021-06-07 17:51:29.730,2021-11-12 11:01:12.070,2021-11-12 11:01:12.030,6069,"dev42vnx5100","array|APM00125186274","200GB ssd x2, 600GB sas x4","Array (VNX)"
2490,2490,"d42dev","array|000c29c7bf33cd753d5f461e3eff5fb4a8c3","{array}","array","Array (ISILON)","SV200-000NZY-OL6L","","Isilon OneFS","EMC","v8.2.1.0",156.611,4.355,152.256,0.153,0.004,0.149,97.219,2.781,201,201,0,,0.196,0.196,0,,,,,,,,,,,,1,0,,,1,0,1,0,"",2021-02-12 21:00:05.250,2021-11-11 23:01:12.080,2021-11-11 23:01:12.026,2490,"d42dev","array|000c29c7bf33cd753d5f461e3eff5fb4a8c3","0.5GB sas x2, 5GB sas x40","Array (ISILON)"
