Listener Device,Listener OS,Listener OS Version,Listener OS Version Number,Listener Tag,Listener App Comp,Listener Affinity Group,Listener Business App,Listener Object Category,Listening IP,Listening Port,Listening Service,Listener Service User,Port Communication,Protocol,Client Service,Client Service User,Client App Comp,Client Device,Client OS,Client OS Version,Client OS Version Number,Client Tag,Client Affinity Group,Client Business App,Client Object Category,Client IP,Client Port Communication,Process Display Name,Process Name,Communication Last Detected,Netstat # Times Port Actively Connected at Discovery,Netstat # Times Discovery Checked for Connection,Netstat Total # Port Connections at Discovery,Netstat Time First Time Port Connected at Discovery,Netstat Last Time Port Connected at Discovery
"s5-apache-9064.device42.pvt","Ubuntu","18.04","4.15.0-46-generic","demo,demo_group,App_A","","","Align-Demo Application","Florida Lab","10.90.6.4",22,"sshd","root",22,"TCP","","","","","","","","","","","","10.42.31.92",22,"","",2022-01-19 19:37:00.740,199,2605,384,2020-12-24 17:03:40.973,2022-01-19 19:37:00.740
"s5-apache-9064.device42.pvt","Ubuntu","18.04","4.15.0-46-generic","demo,demo_group,App_A","","","Align-Demo Application","Florida Lab","10.90.6.4",22,"sshd","root",22,"TCP","","","","","","","","","","","","10.42.100.187",22,"","",2022-01-27 13:00:00.676,772,2374,931,2021-09-23 20:10:48.693,2022-01-27 13:00:00.676
"s5-apache-9064.device42.pvt","Ubuntu","18.04","4.15.0-46-generic","demo,demo_group,App_A","","","Align-Demo Application","Florida Lab","10.90.6.4",22,"sshd","root",22,"TCP","","","","","","","","","","","","10.42.160.26",22,"","",2022-01-20 11:52:00.726,110,1602,266,2021-11-07 05:52:20.210,2022-01-20 11:52:00.726
"s5-apache-9064.device42.pvt","Ubuntu","18.04","4.15.0-46-generic","demo,demo_group,App_A","","","Align-Demo Application","Florida Lab","10.90.6.4",22,"sshd","root",22,"TCP","","","","","","","","","","","","10.90.7.5",22,"","",2022-01-13 16:19:11.546,43,2915,155,2020-10-07 15:28:49.483,2022-01-13 16:19:11.546
"s5-apache-9064.device42.pvt","Ubuntu","18.04","4.15.0-46-generic","demo,demo_group,App_A","","","Align-Demo Application","Florida Lab","10.90.6.4",22,"sshd","root",22,"TCP","","","","","","","","","","","","10.90.7.15",22,"","",2022-01-21 18:33:00.706,74,3105,74,2020-08-31 22:37:14.470,2022-01-21 18:33:00.706
"s5-apache-9064.device42.pvt","Ubuntu","18.04","4.15.0-46-generic","demo,demo_group,App_A","","","Align-Demo Application","Florida Lab","10.90.6.4",22,"sshd","root",22,"TCP","","","","","","","","","","","","10.91.2.4",22,"","",2022-01-13 20:46:03.316,177,3836,690,2020-02-11 17:04:52.833,2022-01-13 20:46:03.316
"s5-apache-9064.device42.pvt","Ubuntu","18.04","4.15.0-46-generic","demo,demo_group,App_A","","","Align-Demo Application","Florida Lab","10.90.6.4",22,"sshd","root",22,"TCP","","","","","","","","","","","","10.91.2.7",22,"","",2022-01-13 19:39:03.293,1170,2713,6339,2020-11-18 14:45:52.383,2022-01-13 19:39:03.293
"s5-apache-9064.device42.pvt","Ubuntu","18.04","4.15.0-46-generic","demo,demo_group,App_A","","","Align-Demo Application","Florida Lab","10.90.6.4",22,"sshd","root",22,"TCP","","","","","","","","","","","","10.91.2.24",22,"","",2022-01-22 17:25:00.723,2,109,2,2022-01-22 02:20:00.770,2022-01-22 17:25:00.723
"s5-apache-9064.device42.pvt","Ubuntu","18.04","4.15.0-46-generic","demo,demo_group,App_A","","","Align-Demo Application","Florida Lab","10.90.6.4",22,"sshd","root",22,"TCP","","","","","","","","","","","","10.91.5.53",22,"","",2022-01-21 10:46:00.690,184,2170,187,2021-10-05 19:07:42.103,2022-01-21 10:46:00.690
"s5-apache-9064.device42.pvt","Ubuntu","18.04","4.15.0-46-generic","demo,demo_group,App_A","","","Align-Demo Application","Florida Lab","10.90.6.4",22,"sshd","root",22,"TCP","","","","","","","","","","","","10.91.7.6",22,"","",2022-01-11 04:29:03.280,17,2302,18,2021-09-27 03:50:48.640,2022-01-11 04:29:03.280
"s5-apache-9064.device42.pvt","Ubuntu","18.04","4.15.0-46-generic","demo,demo_group,App_A","","","Align-Demo Application","Florida Lab","10.90.6.4",22,"sshd","root",22,"TCP","","","","","","","","","","","","10.92.11.27",22,"","",2022-01-26 07:30:00.760,45,2361,45,2021-09-23 23:30:56.676,2022-01-26 07:30:00.760
"s5-apache-9064.device42.pvt","Ubuntu","18.04","4.15.0-46-generic","demo,demo_group,App_A","","","Align-Demo Application","Florida Lab","10.90.6.4",22,"sshd","root",22,"TCP","","","","","","","","","","","","10.92.11.48",22,"","",2022-01-27 13:00:00.676,853,2367,3459,2021-09-23 16:50:48.683,2022-01-27 13:00:00.676
"s5-apache-9064.device42.pvt","Ubuntu","18.04","4.15.0-46-generic","demo,demo_group,App_A","","","Benefits Calculator","Florida Lab","10.90.6.4",22,"sshd","root",22,"TCP","","","","","","","","","","","","10.42.31.92",22,"","",2022-01-19 19:37:00.740,199,2605,384,2020-12-24 17:03:40.973,2022-01-19 19:37:00.740
"s5-apache-9064.device42.pvt","Ubuntu","18.04","4.15.0-46-generic","demo,demo_group,App_A","","","Benefits Calculator","Florida Lab","10.90.6.4",22,"sshd","root",22,"TCP","","","","","","","","","","","","10.42.100.187",22,"","",2022-01-27 13:00:00.676,772,2374,931,2021-09-23 20:10:48.693,2022-01-27 13:00:00.676
"s5-apache-9064.device42.pvt","Ubuntu","18.04","4.15.0-46-generic","demo,demo_group,App_A","","","Benefits Calculator","Florida Lab","10.90.6.4",22,"sshd","root",22,"TCP","","","","","","","","","","","","10.42.160.26",22,"","",2022-01-20 11:52:00.726,110,1602,266,2021-11-07 05:52:20.210,2022-01-20 11:52:00.726
"s5-apache-9064.device42.pvt","Ubuntu","18.04","4.15.0-46-generic","demo,demo_group,App_A","","","Benefits Calculator","Florida Lab","10.90.6.4",22,"sshd","root",22,"TCP","","","","","","","","","","","","10.90.7.5",22,"","",2022-01-13 16:19:11.546,43,2915,155,2020-10-07 15:28:49.483,2022-01-13 16:19:11.546
"s5-apache-9064.device42.pvt","Ubuntu","18.04","4.15.0-46-generic","demo,demo_group,App_A","","","Benefits Calculator","Florida Lab","10.90.6.4",22,"sshd","root",22,"TCP","","","","","","","","","","","","10.90.7.15",22,"","",2022-01-21 18:33:00.706,74,3105,74,2020-08-31 22:37:14.470,2022-01-21 18:33:00.706
"s5-apache-9064.device42.pvt","Ubuntu","18.04","4.15.0-46-generic","demo,demo_group,App_A","","","Benefits Calculator","Florida Lab","10.90.6.4",22,"sshd","root",22,"TCP","","","","","","","","","","","","10.91.2.4",22,"","",2022-01-13 20:46:03.316,177,3836,690,2020-02-11 17:04:52.833,2022-01-13 20:46:03.316
"s5-apache-9064.device42.pvt","Ubuntu","18.04","4.15.0-46-generic","demo,demo_group,App_A","","","Benefits Calculator","Florida Lab","10.90.6.4",22,"sshd","root",22,"TCP","","","","","","","","","","","","10.91.2.7",22,"","",2022-01-13 19:39:03.293,1170,2713,6339,2020-11-18 14:45:52.383,2022-01-13 19:39:03.293
"s5-apache-9064.device42.pvt","Ubuntu","18.04","4.15.0-46-generic","demo,demo_group,App_A","","","Benefits Calculator","Florida Lab","10.90.6.4",22,"sshd","root",22,"TCP","","","","","","","","","","","","10.91.2.24",22,"","",2022-01-22 17:25:00.723,2,109,2,2022-01-22 02:20:00.770,2022-01-22 17:25:00.723
"s5-apache-9064.device42.pvt","Ubuntu","18.04","4.15.0-46-generic","demo,demo_group,App_A","","","Benefits Calculator","Florida Lab","10.90.6.4",22,"sshd","root",22,"TCP","","","","","","","","","","","","10.91.5.53",22,"","",2022-01-21 10:46:00.690,184,2170,187,2021-10-05 19:07:42.103,2022-01-21 10:46:00.690
"s5-apache-9064.device42.pvt","Ubuntu","18.04","4.15.0-46-generic","demo,demo_group,App_A","","","Benefits Calculator","Florida Lab","10.90.6.4",22,"sshd","root",22,"TCP","","","","","","","","","","","","10.91.7.6",22,"","",2022-01-11 04:29:03.280,17,2302,18,2021-09-27 03:50:48.640,2022-01-11 04:29:03.280
"s5-apache-9064.device42.pvt","Ubuntu","18.04","4.15.0-46-generic","demo,demo_group,App_A","","","Benefits Calculator","Florida Lab","10.90.6.4",22,"sshd","root",22,"TCP","","","","","","","","","","","","10.92.11.27",22,"","",2022-01-26 07:30:00.760,45,2361,45,2021-09-23 23:30:56.676,2022-01-26 07:30:00.760
"s5-apache-9064.device42.pvt","Ubuntu","18.04","4.15.0-46-generic","demo,demo_group,App_A","","","Benefits Calculator","Florida Lab","10.90.6.4",22,"sshd","root",22,"TCP","","","","","","","","","","","","10.92.11.48",22,"","",2022-01-27 13:00:00.676,853,2367,3459,2021-09-23 16:50:48.683,2022-01-27 13:00:00.676
"s5-apache-9064.device42.pvt","Ubuntu","18.04","4.15.0-46-generic","demo,demo_group,App_A","","","Demo App 1","Florida Lab","10.90.6.4",22,"sshd","root",22,"TCP","","","","","","","","","","","","10.42.31.92",22,"","",2022-01-19 19:37:00.740,199,2605,384,2020-12-24 17:03:40.973,2022-01-19 19:37:00.740
"s5-apache-9064.device42.pvt","Ubuntu","18.04","4.15.0-46-generic","demo,demo_group,App_A","","","Demo App 1","Florida Lab","10.90.6.4",22,"sshd","root",22,"TCP","","","","","","","","","","","","10.42.100.187",22,"","",2022-01-27 13:00:00.676,772,2374,931,2021-09-23 20:10:48.693,2022-01-27 13:00:00.676
"s5-apache-9064.device42.pvt","Ubuntu","18.04","4.15.0-46-generic","demo,demo_group,App_A","","","Demo App 1","Florida Lab","10.90.6.4",22,"sshd","root",22,"TCP","","","","","","","","","","","","10.42.160.26",22,"","",2022-01-20 11:52:00.726,110,1602,266,2021-11-07 05:52:20.210,2022-01-20 11:52:00.726
