ProductModelID,ProductDescriptionID,Culture,rowguid,ModifiedDate
70,1425,ar,705EEE86-C714-402D-BC29-F1638BED4422,2007-06-01 00:00:00.000
7,1575,fr,B80E8C3B-4A65-45FD-90E5-A9E8DB628612,2007-06-01 00:00:00.000
40,321,en,2216FA96-0360-4E28-94BE-B9CE71F7FDFB,2007-06-01 00:00:00.000
69,1663,th,DBF0FBDC-261F-416F-B241-F27762A5B01F,2007-06-01 00:00:00.000
88,1818,he,EC20F340-5E99-4360-86D1-543273A1EE7D,2007-06-01 00:00:00.000
25,1623,th,9609B25A-6446-4577-9894-9D7C1FAC3C7E,2007-06-01 00:00:00.000
37,1963,zh-cht,270C734F-DCA7-4CE9-B5D1-5B50FA703532,2007-06-01 00:00:00.000
119,1215,en,4FA510C8-4215-4440-AAAD-60B302A74AB5,2007-06-01 00:00:00.000
117,1844,he,187FBCDD-FB00-422D-AD40-3FC36A23004C,2007-06-01 00:00:00.000
110,1203,en,B4B11F08-3F83-4B4D-911E-76BFC2961825,2007-06-01 00:00:00.000
67,893,en,EF4618DE-EA57-4B24-82EB-F8B4B5B097CE,2007-06-01 00:00:00.000
126,2002,th,5737276E-17C8-4083-BF9C-B33619B55812,2007-06-01 00:00:00.000
66,1558,fr,A0365C0D-EB1F-4E52-87F4-DDDFCFE9A522,2007-06-01 00:00:00.000
46,1520,fr,36833117-2CA8-4C9C-AFB0-E446E9355DAA,2007-06-01 00:00:00.000
28,1868,zh-cht,8DCEC26F-9931-46F1-888C-BD65BF09666A,2007-06-01 00:00:00.000
89,1443,ar,FF5BDFE5-F40A-4E66-BA7B-42142824AB6D,2007-06-01 00:00:00.000
11,1599,fr,000AA434-8C55-4A8E-A850-9AE32EDF537B,2007-06-01 00:00:00.000
39,1492,fr,90F79B7C-00E4-49DE-B9E1-4936E12990C0,2007-06-01 00:00:00.000
45,1642,th,C07515EF-9092-4BDD-BA2A-A49AB7FD98D3,2007-06-01 00:00:00.000
75,1801,he,E7C06F3F-4713-4DF5-9456-5AA024A04F6D,2007-06-01 00:00:00.000
104,1511,fr,A3E147DD-97E9-450C-A5FB-990CE93EE908,2007-06-01 00:00:00.000
77,1803,he,E8F43AEB-A25F-4D7C-A6DC-8F5E9E23B4A5,2007-06-01 00:00:00.000
50,1895,zh-cht,202FAE3A-78F5-4E2B-A649-C2B8345F44B4,2007-06-01 00:00:00.000
99,1628,th,B49A2DA2-83C1-49FE-9104-2CD3B5B8E657,2007-06-01 00:00:00.000
70,1664,th,4ADDDDFB-50CF-438B-BD4E-3339CA00A879,2007-06-01 00:00:00.000
114,1711,th,84A45F47-2D20-4872-9D06-D42B8B9A8F03,2007-06-01 00:00:00.000
116,1831,he,7D13294B-A448-400B-A799-A55E36B088C0,2007-06-01 00:00:00.000
79,1552,fr,3AAE19A7-92EE-4C76-8BDE-D70A6F5E25FB,2007-06-01 00:00:00.000
66,1681,th,11741AC2-72DD-4982-9A86-BEDD7C77744D,2007-06-01 00:00:00.000
61,1788,he,9304730A-9BD6-4453-9C9A-3F0E7E821F58,2007-06-01 00:00:00.000
44,1647,th,F11BFBA8-47F7-4585-9739-889055D275EE,2007-06-01 00:00:00.000
69,1793,he,5DA8E92D-7C7C-4DD5-BFE8-33DF2AB65EDC,2007-06-01 00:00:00.000
78,872,en,96B17C9C-6199-450A-89B5-D0C2041D9434,2007-06-01 00:00:00.000
100,1629,th,31A013E2-DEF0-42CC-A64C-76A2128F015F,2007-06-01 00:00:00.000
32,1205,en,7DD01ECF-D739-4FDF-8574-AEC55267323C,2007-06-01 00:00:00.000
70,1541,fr,B9FF2313-0B35-4EA2-B994-D52081559D2D,2007-06-01 00:00:00.000
41,1498,fr,E99B0653-C32D-499F-A651-42DF2C4AD642,2007-06-01 00:00:00.000
114,1964,zh-cht,BF50D509-4D09-4FC1-9842-11A267694970,2007-06-01 00:00:00.000
46,1893,zh-cht,034D429F-895E-46A7-ABC1-D5ACBE9CBF5B,2007-06-01 00:00:00.000
101,1391,ar,31C16511-5D84-4DB6-A4DD-040201DC1393,2007-06-01 00:00:00.000
89,1565,fr,0BB75E40-68D7-4A84-8D20-6D52C2DBB9B2,2007-06-01 00:00:00.000
105,1395,ar,C340663E-ED24-458C-B086-8263598E0B03,2007-06-01 00:00:00.000
116,1582,fr,76FE3FFD-7131-4CC9-84D0-6D38837FF210,2007-06-01 00:00:00.000
