id,symbol,totalAmount,allTimeHighWorth,buyPrice,buyDate,buyAmount,coinWorthNow,currentWorth,totalInvested,coinCount,totalWorth,numberOfCoinsThatWentToZero,coinsThatWentToZero
"291","MAID","7247.726903","576.2756868","0.054022014","1.1.2015","264.4424595","264.4424595","5131.879604","31300","37","2923849.056","0","[List]"
"291","MAID","7247.726903","576.2756868","0.051198561","8.1.2015","279.0257007","279.0257007","5131.879604","31300","37","2923849.056","0","[List]"
"291","MAID","7247.726903","576.2756868","0.034699667","15.1.2015","411.6960023","411.6960023","5131.879604","31300","37","2923849.056","0","[List]"
"291","MAID","7247.726903","576.2756868","0.031604242","15.2.2015","452.0188928","452.0188928","5131.879604","31300","37","2923849.056","0","[List]"
"291","MAID","7247.726903","576.2756868","0.024567623","22.2.2015","581.4854154","581.4854154","5131.879604","31300","37","2923849.056","0","[List]"
"291","MAID","7247.726903","576.2756868","0.032730423","1.3.2015","436.4659242","436.4659242","5131.879604","31300","37","2923849.056","0","[List]"
"291","MAID","7247.726903","576.2756868","0.023447394","1.5.2015","609.2666016","609.2666016","5131.879604","31300","37","2923849.056","0","[List]"
"291","MAID","7247.726903","576.2756868","0.020784341","8.5.2015","687.3306411","687.3306411","5131.879604","31300","37","2923849.056","0","[List]"
"291","MAID","7247.726903","576.2756868","0.031687595","22.7.2015","450.8298692","450.8298692","5131.879604","31300","37","2923849.056","0","[List]"
"291","MAID","7247.726903","576.2756868","0.032606043","1.8.2015","438.1308802","438.1308802","5131.879604","31300","37","2923849.056","0","[List]"
"291","MAID","7247.726903","576.2756868","0.053626485","15.2.2016","266.3928885","266.3928885","5131.879604","31300","37","2923849.056","0","[List]"
"291","MAID","7247.726903","576.2756868","0.059382733","22.2.2016","240.5701721","240.5701721","5131.879604","31300","37","2923849.056","0","[List]"
"291","MAID","7247.726903","576.2756868","0.080695808","1.3.2016","177.031678","177.031678","5131.879604","31300","37","2923849.056","0","[List]"
"291","MAID","7247.726903","576.2756868","0.105140314","8.3.2016","135.8728523","135.8728523","5131.879604","31300","37","2923849.056","0","[List]"
"291","MAID","7247.726903","576.2756868","0.10348656","15.3.2016","138.0441503","138.0441503","5131.879604","31300","37","2923849.056","0","[List]"
"291","MAID","7247.726903","576.2756868","0.08675506","22.3.2016","164.6672176","164.6672176","5131.879604","31300","37","2923849.056","0","[List]"
"291","MAID","7247.726903","576.2756868","0.08001174","1.4.2016","178.5452263","178.5452263","5131.879604","31300","37","2923849.056","0","[List]"
"291","MAID","7247.726903","576.2756868","0.07610859","8.4.2016","187.7017342","187.7017342","5131.879604","31300","37","2923849.056","0","[List]"
"291","MAID","7247.726903","576.2756868","0.075720154","15.4.2016","188.6646233","188.6646233","5131.879604","31300","37","2923849.056","0","[List]"
"291","MAID","7247.726903","576.2756868","0.071670406","22.4.2016","199.3251492","199.3251492","5131.879604","31300","37","2923849.056","0","[List]"
"291","MAID","7247.726903","576.2756868","0.058075137","1.5.2016","245.9867495","245.9867495","5131.879604","31300","37","2923849.056","0","[List]"
"291","MAID","7247.726903","576.2756868","0.051702321","15.5.2016","276.3070231","276.3070231","5131.879604","31300","37","2923849.056","0","[List]"
"291","MAID","7247.726903","576.2756868","0.060042918","22.5.2016","237.9250514","237.9250514","5131.879604","31300","37","2923849.056","0","[List]"
