symbol,Name
"BTC","Bitcoin"
"XRP","Ripple"
"LTC","Litecoin"
"ETH","Ethereum"
"BCH","Bitcoin Cash"
"DASH","Dash"
"EOS","EOS"
"BNB","Binance Coin"
"DOGE","Dogecoin"
"XLM","Stellar"
"ADA","Cardano"
"ETC","Ethereum Classic"
"BSV","Bitcoin SV"
"BTS","BitShares"
"DOT","Polkadot"
"XMR","Monero"
"XEM","NEM"
"MAID","MaidSafeCoin"
"LINK","Chainlink"
"DAO","DAO Maker"
"NEO","Neo"
"STEEM","Steem"
"BANX","Banx"
"MIOTA","IOTA"
"PPC","Peercoin"
"XPY","PayCoin"
"UNI","UniSwap"
"LSK","Lisk"
"TRX","TRON"
"FCT","Factom"
"NXT","Nxt"
"BCC","BitConnect"
"BCN","ByteCoin"
"BTG","Bitcoin Gold"
"CRO","Crypto.com Coin"
"DGD","DigixDAO"
"EMC","Emercoin"
