index,cas_suspects,cas_confirmes,deces,taux_de_letalite,date_Id,adm1code
54,23,0,0,0.0,20200410,HT03
66,7,1,0,0.0,20200409,HT09
38,8,0,0,0.0,20200413,HT07
16,14,1,0,0.0,20200416,HT06
61,13,1,0,0.0,20200409,HT06
0,47,4,0,0.0,20200415,HT05
79,12,1,0,0.0,20200407,HT05
22,2,0,0,0.0,20200414,HT08
14,28,0,0,0.0,20200416,HT03
28,8,0,0,0.0,20200414,HT07
4,28,0,0,0.0,20200415,HT03
41,14,1,0,0.0,20200412,HT06
52,2,0,0,0.0,20200410,HT08
37,286,21,1,0.05,20200413,HT01
45,20,7,2,0.29,20200412,HT04
49,21,4,0,0.0,20200412,HT02
25,20,7,2,0.29,20200414,HT04
75,6,1,0,0.0,20200408,HT09
65,10,3,1,0.33,20200409,HT04
43,16,2,0,0.0,20200412,HT10
32,2,0,0,0.0,20200413,HT08
59,21,4,0,0.0,20200410,HT02
39,21,4,0,0.0,20200413,HT02
15,19,2,0,0.0,20200416,HT10
80,11,0,0,0.0,20200407,HT06
34,28,0,0,0.0,20200413,HT03
84,5,1,0,0.0,20200407,HT04
13,24,4,0,0.0,20200416,HT02
82,14,2,0,0.0,20200407,HT10
6,7,1,0,0.0,20200415,HT09
10,325,24,1,0.04,20200416,HT01
50,12,1,0,0.0,20200410,HT05
56,7,1,0,0.0,20200410,HT09
20,47,4,0,0.0,20200414,HT05
69,12,1,0,0.0,20200408,HT05
42,2,0,0,0.0,20200412,HT08
9,22,4,0,0.0,20200415,HT02
68,21,4,0,0.0,20200409,HT02
77,7,0,0,0.0,20200408,HT07
23,16,2,0,0.0,20200414,HT10
5,24,7,2,0.29,20200415,HT04
31,14,1,0,0.0,20200413,HT06
81,1,0,0,0.0,20200407,HT08
17,8,0,0,0.0,20200416,HT07
30,47,4,0,0.0,20200413,HT05
3,16,2,0,0.0,20200415,HT10
21,14,1,0,0.0,20200414,HT06
48,8,0,0,0.0,20200412,HT07
11,47,4,0,0.0,20200416,HT05
85,6,1,0,0.0,20200407,HT09
8,8,0,0,0.0,20200415,HT07
83,19,0,0,0.0,20200407,HT03
44,28,0,0,0.0,20200412,HT03
35,20,7,2,0.29,20200413,HT04
86,196,18,1,0.06,20200407,HT01
67,8,0,0,0.0,20200409,HT07
53,14,2,0,0.0,20200410,HT10
62,2,0,0,0.0,20200409,HT08
58,8,0,0,0.0,20200410,HT07
76,227,19,1,0.05,20200408,HT01
19,2,0,0,0.0,20200416,HT08
74,10,3,1,0.33,20200408,HT04
33,16,2,0,0.0,20200413,HT10
88,21,4,0,0.0,20200407,HT02
51,13,1,0,0.0,20200410,HT06
71,2,0,0,0.0,20200408,HT08
60,12,1,0,0.0,20200409,HT05
27,290,22,1,0.05,20200414,HT01
70,11,0,0,0.0,20200408,HT06
40,47,4,0,0.0,20200412,HT05
57,263,21,1,0.05,20200410,HT01
72,14,2,0,0.0,20200408,HT10
78,21,4,0,0.0,20200408,HT02
12,24,8,2,0.25,20200416,HT04
46,7,1,0,0.0,20200412,HT09
36,7,1,0,0.0,20200413,HT09
1,14,1,0,0.0,20200415,HT06
64,21,0,0,0.0,20200409,HT03
26,7,1,0,0.0,20200414,HT09
2,2,0,0,0.0,20200415,HT08
29,21,4,0,0.0,20200414,HT02
55,10,3,1,0.33,20200410,HT04
7,317,24,1,0.04,20200415,HT01
47,276,21,1,0.05,20200412,HT01
24,28,0,0,0.0,20200414,HT03
73,21,0,0,0.0,20200408,HT03
87,6,0,0,0.0,20200407,HT07
18,7,1,0,0.0,20200416,HT09
63,14,2,0,0.0,20200409,HT10
