adm2code,adm1code,adm2_en,adm2_fr,adm2_ht,IHSI_UNFPA_2019,IHSI_UNFPA_2019_female,IHSI_UNFPA_2019_male
"HT0111","HT01","Port-au-Prince","Port-au-Prince","",1227541,648353,579188
"HT0112","HT01","Delmas","Delmas","",491434,258526,232908
"HT0113","HT01","Carrefour","Carrefour","",635763,333500,302263
"HT0114","HT01","Petion-Ville","Pétion-Ville","",468525,241407,227118
"HT0115","HT01","Kenscoff","Kenscoff","",71408,35608,35800
"HT0116","HT01","Gressier","Gressier","",45323,22541,22782
"HT0117","HT01","Cite Soleil","Cité Soleil","",329569,168078,161491
"HT0118","HT01","Tabarre","Tabarre","",161983,85544,76439
"HT0121","HT01","Leogane","Léogâne","",248433,125081,123352
"HT0122","HT01","Petit-Goave","Petit-Goâve","",215052,106311,108741
"HT0123","HT01","Grand-Goave","Grand-Goâve","",169715,89555,80160
"HT0131","HT01","Croix-Des-Bouquets","Croix-Des-Bouquets","",310366,158269,152097
"HT0132","HT01","Thomazeau","Thomazeau","",65847,32191,33656
"HT0133","HT01","Ganthier","Ganthier","",77750,38694,39056
"HT0134","HT01","Cornillon / Grand Bois","Cornillon / Grand Bois","",74176,36013,38163
"HT0135","HT01","Fonds-Verrettes","Fonds-Verrettes","",62195,30626,31569
"HT0141","HT01","Arcahaie","Arcahaie","",162012,80940,81072
"HT0142","HT01","Cabaret","Cabaret","",84849,42716,42133
"HT0151","HT01","Anse a Galets","Anse à Galets","",77782,38776,39006
"HT0152","HT01","Pointe a Raquette","Pointe à Raquette","",30483,14631,15852
"HT0211","HT02","Jacmel","Jacmel","",264599,133843,130756
"HT0212","HT02","Marigot","Marigot","",105555,55331,50224
"HT0213","HT02","Cayes-Jacmel","Cayes-Jacmel","",57016,29309,27707
"HT0214","HT02","La Vallee","La Vallée","",51474,24476,26998
"HT0221","HT02","Bainet","Bainet","",122590,60095,62495
"HT0222","HT02","Cotes de Fer","Côtes de Fer","",69292,32692,36600
"HT0231","HT02","Belle Anse","Belle Anse","",107321,54574,52747
"HT0232","HT02","Grand Gosier","Grand Gosier","",24104,12044,12060
"HT0233","HT02","Thiotte","Thiotte","",49352,24673,24679
"HT0234","HT02","Anse-a-Pitre","Anse-à-Pître","",42598,21074,21524
"HT0311","HT03","Cap-Haitien","Cap-Haïtien","",298211,159648,138563
"HT0312","HT03","Quartier Morin","Quartier Morin","",29733,14593,15140
"HT0313","HT03","Limonade","Limonade","",59929,29503,30426
"HT0321","HT03","Acul du Nord","Acul du Nord","",60758,30112,30646
"HT0322","HT03","Plaine du Nord","Plaine du Nord","",44836,22869,21967
"HT0323","HT03","Milot","Milot","",34768,17270,17498
"HT0331","HT03","Grande Riviere Du Nord","Grande Riviere Du Nord","",44950,22698,22252
"HT0332","HT03","Bahon","Bahon","",25268,12484,12784
"HT0341","HT03","Saint-Raphael","Saint-Raphaël","",58418,28916,29502
"HT0342","HT03","Dondon","Dondon","",37605,18437,19168
"HT0343","HT03","Ranquitte","Ranquitte","",30107,14671,15436
"HT0344","HT03","Pignon","Pignon","",47017,23425,23592
"HT0345","HT03","La Victoire","La Victoire","",11455,5767,5688
"HT0351","HT03","Borgne","Borgne","",72727,36503,36224
"HT0352","HT03","Port-Margot","Port-Margot","",54205,26964,27241
"HT0361","HT03","Limbe","Limbé","",92701,46560,46141
"HT0362","HT03","Bas Limbe","Bas Limbé","",22712,11486,11226
"HT0371","HT03","Plaisance","Plaisance","",75619,38162,37457
"HT0372","HT03","Pilate","Pilate","",58738,29757,28981
"HT0411","HT04","Fort-Liberte","Fort-Liberté","",38847,19652,19195
"HT0412","HT04","Ferrier","Ferrier","",16519,8028,8491
"HT0413","HT04","Perches","Perches","",13038,6407,6631
"HT0421","HT04","Ouanaminthe","Ouanaminthe","",119732,60693,59039
"HT0422","HT04","Capotille","Capotille","",21865,10664,11201
"HT0423","HT04","Mont-Organise","Mont-Organisé","",23662,11758,11904
"HT0431","HT04","Trou du Nord","Trou du Nord","",55199,28098,27101
"HT0432","HT04","Sainte Suzanne","Sainte Suzanne","",31623,15168,16455
"HT0433","HT04","Terrier Rouge","Terrier Rouge","",34211,16969,17242
"HT0434","HT04","Caracol","Caracol","",8708,4116,4592
"HT0441","HT04","Vallieres","Vallières","",26554,12820,13734
"HT0442","HT04","Carice","Carice","",15361,7573,7788
"HT0443","HT04","Mombin Crochu","Mombin Crochu","",39148,19555,19593
"HT0511","HT05","Gonaives","Gonaïves","",422249,219512,202737
