index,factype,facdesc_1,mga,service_laboratory,num_beds,ambulance,full_time,commune_id
0,7,1,3,1,0,3,5,"HT0111"
117,7,1,2,1,0,3,19,"HT0113"
124,7,1,1,2,0,3,2,"HT0113"
143,7,1,4,1,0,3,8,"HT0114"
150,7,1,3,2,0,3,8,"HT0115"
152,7,1,1,2,0,3,6,"HT0115"
154,7,1,2,2,0,3,4,"HT0115"
155,7,1,4,2,0,3,6,"HT0115"
156,7,1,3,2,0,3,10,"HT0115"
157,7,1,3,2,0,3,6,"HT0115"
158,7,1,1,2,0,3,1,"HT0115"
159,7,1,3,2,0,3,1,"HT0115"
163,7,1,2,2,0,3,7,"HT0116"
169,7,1,3,2,0,3,5,"HT0121"
170,7,1,3,2,0,3,4,"HT0121"
187,7,1,2,2,0,3,1,"HT0122"
197,7,1,1,2,0,3,3,"HT0123"
198,7,1,1,2,0,3,3,"HT0123"
206,7,1,2,1,0,3,6,"HT0131"
231,7,1,2,2,0,3,2,"HT0133"
238,7,1,1,2,0,3,4,"HT0134"
248,7,1,1,1,0,3,6,"HT0141"
249,7,1,2,1,0,3,11,"HT0141"
252,7,1,1,1,0,3,25,"HT0141"
269,7,1,2,2,0,3,5,"HT0152"
276,7,1,1,1,0,3,2,"HT0211"
278,7,1,1,2,0,3,4,"HT0211"
291,7,1,1,1,0,3,1,"HT0211"
292,7,1,3,2,0,3,2,"HT0211"
299,7,1,1,1,0,3,4,"HT0213"
301,7,1,4,2,0,3,7,"HT0221"
302,7,1,1,2,0,3,5,"HT0221"
303,7,1,1,2,0,3,5,"HT0221"
305,7,1,1,2,0,3,6,"HT0221"
306,7,1,1,2,0,3,10,"HT0221"
307,7,1,3,1,0,3,6,"HT0221"
308,7,1,1,2,0,3,5,"HT0221"
311,7,1,3,1,0,3,3,"HT0222"
312,7,1,2,2,0,3,2,"HT0222"
313,7,1,2,2,0,3,4,"HT0222"
314,7,1,4,2,0,3,7,"HT0222"
317,7,1,4,2,0,3,1,"HT0222"
321,7,1,1,1,0,3,5,"HT0231"
322,7,1,1,1,0,3,5,"HT0232"
324,7,1,4,1,0,3,1,"HT0233"
328,7,1,1,2,0,3,4,"HT0233"
331,7,1,1,2,0,3,4,"HT0234"
336,7,1,3,1,0,3,7,"HT0311"
343,7,1,3,1,0,3,3,"HT0311"
348,7,1,4,1,0,3,9,"HT0312"
349,7,1,1,2,0,3,4,"HT0312"
