Column1,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
American,13326,13632,14284,14688,14456,16371,14084,14418,14236,14983,16572,17843,18088,18220,15019,16744,17930,18723,19571,20319,29023,27872,29215,30644,31445
Continental,"$4,354","$4,885","$5,686","$6,388","$6,975","$8,062","$7,156","$6,585","$6,556","$7,129","$7,943","$9,303","$10,357","$10,958","$8,869","$10,093","$11,803",$-,$-,$-,$-,$-,$-,$-,$-
Delta,11386,11981,12773,13179,13203,14138,11876,10734,10272,10823,11346,11660,12768,13767,11206,21215,23397,24427,25801,27953,28218,27376,28235,30887,32848
Northwest,"$7,762","$8,598","$8,722","$7,513","$8,587","$9,523","$8,219","$7,753","$7,617","$8,432","$8,838","$9,051","$9,293","$9,386","$6,837",$-,$-,$-,$-,$-,$-,$-,$-,$-,$-
United,13027,14247,15069,15202,15441,16603,13466,11519,10619,11954,12460,13890,14846,14728,11262,13447,14159,25666,25853,26615,26160,25239,26398,28757,30269
US Airways,"$6,268","$6,799","$7,112","$7,021","$6,848","$7,556","$6,580","$5,224","$4,925","$5,051","$5,046","$7,818","$7,935","$7,973","$6,556","$7,476","$8,362","$8,841","$9,511","$9,957",$-,$-,$-,$-,$-
America West,"$1,443","$1,625","$1,753","$1,853","$2,024","$2,176","$1,933","$1,920","$2,108","$2,192","$2,510",$-,$-,$-,$-,$-,$-,$-,$-,$-,$-,$-,$-,$-,$-
 --sub Network,57566,61768,65399,65844,67533,74429,63313,58153,56333,60564,64715,69565,73287,75031,59748,68974,75651,77658,80736,84845,83401,80487,83848,90288,94562
Southwest,2761,3269,3639,3964,4499,5397,5290,5237,5612,6116,7092,8546,9167,10225,9561,11122,12582,15453,16722,17658,18299,18594,19141,19729,19911
jetBlue,$-,$-,$-,$-,$-,$102,$310,$615,$965,"$1,221","$1,623","$2,223","$2,632","$3,056","$2,928","$3,410","$4,080","$4,549","$4,971","$5,343","$5,893","$6,013","$6,289","$6,857","$7,183"
AirTran,$-,$-,$102,$344,$486,$605,$648,$714,$888,"$1,003","$1,391","$1,810","$2,193","$2,396","$2,079","$2,345","$2,606",$-,$-,$-,$-,$-,$-,$-,$-
Frontier,54,105,131,182,293,433,429,444,558,672,806,952,1112,1203,924,1085,1462,1169,1138,1265,1194,1084,1145,1203,1366
Virgin America,$-,$-,$-,$-,$-,$-,$-,$-,$-,$-,$-,$-,$12,$342,$492,$658,$953,"$1,223","$1,287","$1,312","$1,341","$1,452","$1,487",$-,$-
 -- sub LCC,2814,3374,3871,4490,5279,6538,6678,7010,8023,9012,10912,13531,15117,17220,15982,18621,21683,22394,24119,25577,26727,27143,28061,27789,28460
Alaska,958,1106,1256,1371,1480,1577,1565,1624,1794,1961,2118,2375,2481,2549,2310,2599,3013,3290,3498,3784,3952,4025,4377,6039,6303
Hawaiian,298,326,332,354,400,475,488,542,627,700,750,797,889,1106,1040,1155,1481,1767,1943,2038,2011,2131,2349,2433,2430
Spirit,49,54,64,116,212,274,326,379,438,468,468,516,686,661,550,568,732,832,1045,1221,1267,1312,1499,1890,2124
Allegiant,$-,$-,$-,$-,$-,$-,$-,$-,$-,$46,$91,$178,$259,$331,$375,$458,$532,$631,$708,$801,$824,$860,$937,"$1,043","$1,200"
 -- sub Other,1305,1486,1652,1841,2093,2326,2379,2546,2858,3176,3427,3867,4314,4646,4275,4781,5757,6520,7194,7844,8054,8327,9162,11405,12056
Total All Sectors,61685,66628,70922,72176,74905,83292,72370,67709,67214,72752,79054,86962,92718,96898,80006,92376,103092,106572,112050,118266,118182,115957,121071,129481,135078
Total Industry,69470,75286,79471,80985,84317,93639,80943,73352,77342,85697,93500,101294,107015,111533,91331,103978,114299,115975,120642,126706,126352,124633,129914,138420,144497
