Rank,Year,Nb of Crashes
1,1944,944
2,1943,813
3,1945,737
4,1942,697
5,1951,491
6,1940,459
7,1950,426
8,1946,424
9,1978,408
10,1952,403
11,1948,391
12,1979,382
13,1980,379
14,1972,375
15,1977,373
16,1973,372
17,1947,371
18,1969,364
19,1967,353
20,1949,351
21,1987,341
22,1968,339
23,1953,337
24,1989,337
25,1941,336
26,1975,332
27,1970,330
28,1981,320
29,1974,317
30,1970,313
31,1982,309
32,1976,308
33,1988,306
34,1985,296
35,1965,293
36,1954,289
37,1983,289
38,1992,289
39,1984,284
40,1990,282
41,1966,281
42,1955,278
43,1993,277
44,1986,276
45,1964,273
46,1958,272
47,1991,269
48,1995,266
49,1957,263
50,1961,262
51,1962,262
52,1996,250
53,1956,242
54,1959,242
55,1939,240
56,1929,239
57,1960,234
58,1997,232
59,1994,231
60,1998,225
61,1999,220
62,1936,215
63,1963,211
64,2001,210
65,1938,203
66,2003,201
67,2002,198
68,2000,196
69,2005,194
70,2006,193
71,1928,191
72,2008,190
73,1930,183
74,1935,182
75,2004,179
76,2007,169
77,1937,165
78,1931,164
79,2009,162
80,2010,162
81,2012,156
82,2011,154
83,1933,151
84,1932,142
85,2013,141
86,1934,136
87,2015,127
88,2014,125
89,2019,125
90,2018,115
91,1927,109
92,2016,106
93,2017,102
94,1921,98
95,1920,97
96,1926,84
97,1922,80
98,2020,74
99,1919,62
100,1925,56
101,1923,51
102,1924,36
103,1918,12
