Date,2020-01-01 00:00:00.000,2020-01-02 00:00:00.000,2020-01-03 00:00:00.000,2020-01-04 00:00:00.000,2020-01-05 00:00:00.000,2020-01-06 00:00:00.000,2020-01-07 00:00:00.000,2020-01-08 00:00:00.000,2020-01-09 00:00:00.000,2020-01-10 00:00:00.000,2020-01-11 00:00:00.000,2020-01-12 00:00:00.000,2020-01-13 00:00:00.000,2020-01-14 00:00:00.000,2020-01-15 00:00:00.000,2020-01-16 00:00:00.000,2020-01-17 00:00:00.000,2020-01-18 00:00:00.000,2020-01-19 00:00:00.000,2020-01-20 00:00:00.000,2020-01-21 00:00:00.000,2020-01-22 00:00:00.000,2020-01-23 00:00:00.000,2020-01-24 00:00:00.000,2020-01-25 00:00:00.000,2020-01-26 00:00:00.000,2020-01-27 00:00:00.000,2020-01-28 00:00:00.000,2020-01-29 00:00:00.000,2020-01-30 00:00:00.000,2020-01-31 00:00:00.000,2020-02-01 00:00:00.000,2020-02-02 00:00:00.000,2020-02-03 00:00:00.000,2020-02-04 00:00:00.000,2020-02-05 00:00:00.000,2020-02-06 00:00:00.000,2020-02-07 00:00:00.000,2020-02-08 00:00:00.000,2020-02-09 00:00:00.000,2020-02-10 00:00:00.000,2020-02-11 00:00:00.000,2020-02-12 00:00:00.000,2020-02-13 00:00:00.000,2020-02-14 00:00:00.000,2020-02-15 00:00:00.000,2020-02-16 00:00:00.000,2020-02-17 00:00:00.000,2020-02-18 00:00:00.000,2020-02-19 00:00:00.000,2020-02-20 00:00:00.000,2020-02-21 00:00:00.000,2020-02-22 00:00:00.000,2020-02-23 00:00:00.000,2020-02-24 00:00:00.000,2020-02-25 00:00:00.000,2020-02-26 00:00:00.000,2020-02-27 00:00:00.000,2020-02-28 00:00:00.000,2020-02-29 00:00:00.000,2020-03-01 00:00:00.000,2020-03-02 00:00:00.000,2020-03-03 00:00:00.000,2020-03-04 00:00:00.000,2020-03-05 00:00:00.000,2020-03-06 00:00:00.000,2020-03-07 00:00:00.000,2020-03-08 00:00:00.000,2020-03-09 00:00:00.000,2020-03-10 00:00:00.000,2020-03-11 00:00:00.000,2020-03-12 00:00:00.000,2020-03-13 00:00:00.000,2020-03-14 00:00:00.000,2020-03-15 00:00:00.000,2020-03-16 00:00:00.000,2020-03-17 00:00:00.000,2020-03-18 00:00:00.000,2020-03-19 00:00:00.000,2020-03-20 00:00:00.000,2020-03-21 00:00:00.000,2020-03-22 00:00:00.000,2020-03-23 00:00:00.000,2020-03-24 00:00:00.000,2020-03-25 00:00:00.000,2020-03-26 00:00:00.000,2020-03-27 00:00:00.000,2020-03-28 00:00:00.000,2020-03-29 00:00:00.000,2020-03-30 00:00:00.000,2020-03-31 00:00:00.000,2020-04-01 00:00:00.000
Year,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
QuarterOfYear,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
MonthOfYear,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
DayOfMonth,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,1
DateInt,20200101,20200102,20200103,20200104,20200105,20200106,20200107,20200108,20200109,20200110,20200111,20200112,20200113,20200114,20200115,20200116,20200117,20200118,20200119,20200120,20200121,20200122,20200123,20200124,20200125,20200126,20200127,20200128,20200129,20200130,20200131,20200201,20200202,20200203,20200204,20200205,20200206,20200207,20200208,20200209,20200210,20200211,20200212,20200213,20200214,20200215,20200216,20200217,20200218,20200219,20200220,20200221,20200222,20200223,20200224,20200225,20200226,20200227,20200228,20200229,20200301,20200302,20200303,20200304,20200305,20200306,20200307,20200308,20200309,20200310,20200311,20200312,20200313,20200314,20200315,20200316,20200317,20200318,20200319,20200320,20200321,20200322,20200323,20200324,20200325,20200326,20200327,20200328,20200329,20200330,20200331,20200401
MonthName,January,January,January,January,January,January,January,January,January,January,January,January,January,January,January,January,January,January,January,January,January,January,January,January,January,January,January,January,January,January,January,February,February,February,February,February,February,February,February,February,February,February,February,February,February,February,February,February,February,February,February,February,February,February,February,February,February,February,February,February,March,March,March,March,March,March,March,March,March,March,March,March,March,March,March,March,March,March,March,March,March,March,March,March,March,March,March,March,March,March,March,April
MonthInCalendar,Jan 2020,Jan 2020,Jan 2020,Jan 2020,Jan 2020,Jan 2020,Jan 2020,Jan 2020,Jan 2020,Jan 2020,Jan 2020,Jan 2020,Jan 2020,Jan 2020,Jan 2020,Jan 2020,Jan 2020,Jan 2020,Jan 2020,Jan 2020,Jan 2020,Jan 2020,Jan 2020,Jan 2020,Jan 2020,Jan 2020,Jan 2020,Jan 2020,Jan 2020,Jan 2020,Jan 2020,Feb 2020,Feb 2020,Feb 2020,Feb 2020,Feb 2020,Feb 2020,Feb 2020,Feb 2020,Feb 2020,Feb 2020,Feb 2020,Feb 2020,Feb 2020,Feb 2020,Feb 2020,Feb 2020,Feb 2020,Feb 2020,Feb 2020,Feb 2020,Feb 2020,Feb 2020,Feb 2020,Feb 2020,Feb 2020,Feb 2020,Feb 2020,Feb 2020,Feb 2020,Mar 2020,Mar 2020,Mar 2020,Mar 2020,Mar 2020,Mar 2020,Mar 2020,Mar 2020,Mar 2020,Mar 2020,Mar 2020,Mar 2020,Mar 2020,Mar 2020,Mar 2020,Mar 2020,Mar 2020,Mar 2020,Mar 2020,Mar 2020,Mar 2020,Mar 2020,Mar 2020,Mar 2020,Mar 2020,Mar 2020,Mar 2020,Mar 2020,Mar 2020,Mar 2020,Mar 2020,Apr 2020
QuarterInCalendar,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q2 2020
DayInWeek,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3
DayOfWeekName,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday
WeekEnding,2020-01-04 00:00:00.000,2020-01-04 00:00:00.000,2020-01-04 00:00:00.000,2020-01-04 00:00:00.000,2020-01-11 00:00:00.000,2020-01-11 00:00:00.000,2020-01-11 00:00:00.000,2020-01-11 00:00:00.000,2020-01-11 00:00:00.000,2020-01-11 00:00:00.000,2020-01-11 00:00:00.000,2020-01-18 00:00:00.000,2020-01-18 00:00:00.000,2020-01-18 00:00:00.000,2020-01-18 00:00:00.000,2020-01-18 00:00:00.000,2020-01-18 00:00:00.000,2020-01-18 00:00:00.000,2020-01-25 00:00:00.000,2020-01-25 00:00:00.000,2020-01-25 00:00:00.000,2020-01-25 00:00:00.000,2020-01-25 00:00:00.000,2020-01-25 00:00:00.000,2020-01-25 00:00:00.000,2020-02-01 00:00:00.000,2020-02-01 00:00:00.000,2020-02-01 00:00:00.000,2020-02-01 00:00:00.000,2020-02-01 00:00:00.000,2020-02-01 00:00:00.000,2020-02-01 00:00:00.000,2020-02-08 00:00:00.000,2020-02-08 00:00:00.000,2020-02-08 00:00:00.000,2020-02-08 00:00:00.000,2020-02-08 00:00:00.000,2020-02-08 00:00:00.000,2020-02-08 00:00:00.000,2020-02-15 00:00:00.000,2020-02-15 00:00:00.000,2020-02-15 00:00:00.000,2020-02-15 00:00:00.000,2020-02-15 00:00:00.000,2020-02-15 00:00:00.000,2020-02-15 00:00:00.000,2020-02-22 00:00:00.000,2020-02-22 00:00:00.000,2020-02-22 00:00:00.000,2020-02-22 00:00:00.000,2020-02-22 00:00:00.000,2020-02-22 00:00:00.000,2020-02-22 00:00:00.000,2020-02-29 00:00:00.000,2020-02-29 00:00:00.000,2020-02-29 00:00:00.000,2020-02-29 00:00:00.000,2020-02-29 00:00:00.000,2020-02-29 00:00:00.000,2020-02-29 00:00:00.000,2020-03-07 00:00:00.000,2020-03-07 00:00:00.000,2020-03-07 00:00:00.000,2020-03-07 00:00:00.000,2020-03-07 00:00:00.000,2020-03-07 00:00:00.000,2020-03-07 00:00:00.000,2020-03-14 00:00:00.000,2020-03-14 00:00:00.000,2020-03-14 00:00:00.000,2020-03-14 00:00:00.000,2020-03-14 00:00:00.000,2020-03-14 00:00:00.000,2020-03-14 00:00:00.000,2020-03-21 00:00:00.000,2020-03-21 00:00:00.000,2020-03-21 00:00:00.000,2020-03-21 00:00:00.000,2020-03-21 00:00:00.000,2020-03-21 00:00:00.000,2020-03-21 00:00:00.000,2020-03-28 00:00:00.000,2020-03-28 00:00:00.000,2020-03-28 00:00:00.000,2020-03-28 00:00:00.000,2020-03-28 00:00:00.000,2020-03-28 00:00:00.000,2020-03-28 00:00:00.000,2020-04-04 00:00:00.000,2020-04-04 00:00:00.000,2020-04-04 00:00:00.000,2020-04-04 00:00:00.000
Week Number,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,9,9,9,9,9,10,10,10,10,10,10,10,11,11,11,11,11,11,11,12,12,12,12,12,12,12,13,13,13,13,13,13,13,14,14,14,14
