SupplierID,CompanyName,ContactName,ContactTitle,SupplierAddress,SupplierCity,SupplierRegion,SupplierPostalCode,SupplierCountry,SupplierPhone
"S101","Exotic Liquids","Charlotte Cooper","Purchasing Manager","49 Gilbert St.","Anchorage","AK",99501,"USA","(171) 555-2222"
"S102","New Orleans Cajun Delights","Shelley Burke","Order Administrator","P.O. Box 78934","New Orleans","LA",70117,"USA","(100) 555-4822"
"S103","Grandma Kelly's Homestead","Regina Murphy","Sales Representative","707 Oxford Rd.","Ann Arbor","MI",48104,"USA","(313) 555-5735"
"S104","Tokyo Traders","Yoshi Nagase","Marketing Manager","9-8 Sekimai Musashino-shi","Phoenix","AZ",85001,"USA","(03) 3555-5011"
"S105","Cooperativa de Quesos 'Las Cabras'","Antonio del Valle Saavedra","Export Administrator","Calle del Rosal 4","Los Angeles","CA",90001,"USA","(98) 598 76 54"
"S106","Mayumi's","Mayumi Ohno","Marketing Representative","92 Setsuko Chuo-ku","Sacramento","CA",94203,"USA","(06) 431-7877"
"S107","Pavlova, Ltd.","Ian Devling","Marketing Manager","74 Rose St.Moonie Ponds","Orlando","FL",32801,"USA","(03) 444-2343"
"S108","Specialty Biscuits, Ltd.","Peter Wilson","Sales Representative","29 King's Way","	Atlanta","GA",30301,"USA","(161) 555-4448"
"S109","PB Knckebrd AB","Lars Peterson","Sales Agent","Kaloadagatan 13","Bellevue","WA",98004,"USA","031-987 65 43"
"S110","Refrescos Americanas LTDA","Carlos Diaz","Marketing Manager","Av. das Americanas 12.890","Cleveland","OH",44101,"USA","(11) 555 4640"
